Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wahala no dey finish,Negative existential clause (NOUN + NEG + VERB),Problems and hardships are endless; challenges are a constant part of life.,There are always difficulties in life.,B1,"Daily speech, social commentary, humor, politics","Colloquial, reflective, mildly ironic",Widely used across southern Nigeria including Port Harcourt; reflects communal resilience amid economic and political instability.,/waˈha.la no de ˈfi.niʃ/,"As dem increase fuel price again, wahala no dey finish for dis kontri.","I just fix my motor yesterday, today e spoil again—wahala no dey finish.","For dis office, wahala no dey finish since new oga come."
Carry last,Verb phrase (bare verb + object) functioning as intransitive idiom,"To be left behind, to miss out, or to be the least successful.",To fall behind others.,A2,"Youth culture, education, workplace competition","Colloquial, humorous, competitive",Popularized in school and street slang; common in Port Harcourt youth discourse.,/ˈka.ri last/,"If you no study well, you go carry last for class.",Run fast make you no carry last for race.,"All my friends don buy land, I no wan carry last."
Chop belleful,Verb phrase (verb + compound noun complement),To eat to full satisfaction; to enjoy abundance.,To eat until completely full.,A1,"Family settings, celebrations, hospitality","Colloquial, warm, convivial",Rooted in communal eating traditions across the Niger Delta and beyond.,/tʃɔp ˈbe.le.ful/,"For wedding yesterday, we chop belleful sotey we no fit waka well.","Mama cook afang soup, everybody chop belleful.","After fasting, dem chop belleful for evening."
Put mouth for matter,Phrasal verb construction (verb + object + prepositional phrase),To interfere or involve oneself in an issue.,To intervene in someone else's issue.,B1,"Family disputes, politics, workplace conflicts","Colloquial, sometimes critical",Reflects oral debate culture in markets and community gatherings.,/put maʊt fɔ ˈma.ta/,No put mouth for matter wey no concern you.,She like put mouth for everybody quarrel.,Chairman put mouth for issue before e turn big problem.
See shege,Verb phrase (perception verb + noun object),To experience severe hardship or suffering.,To go through serious difficulty.,B2,"Economic hardship narratives, migration stories, humor","Colloquial, emphatic",Originates from Hausa loanword 'shege'; gained popularity during economic downturns in the 1980s.,/si ˈʃe.ge/,"For that contract work, I see shege tire.","When rain start beat us for road, we see shege.","If you no prepare well, you go see shege for exam hall."
Body no be firewood,Negative copular clause (NOUN + NEG + copula complement),The body needs rest and cannot endure unlimited stress.,You must rest because your body has limits.,B2,"Health advice, workplace, family care","Advisory, reflective",Common proverb-like expression in southern Nigeria emphasizing human vulnerability.,/ˈbɔ.di no bi ˈfaɪa.wud/,"Rest small, body no be firewood.",You dey hustle day and night—body no be firewood o.,"After three shifts back to back, I remember say body no be firewood."
Man no be God,Negative identity clause (NOUN + NEG + copula + noun),Humans are not perfect and do not have ultimate power.,No one is all-powerful or perfect.,B1,"Religion, moral reflection, consolation","Reflective, philosophical",Influenced by strong Christian and Islamic presence in the Niger Delta region.,/man no bi gɔd/,"Forgive am, man no be God.","We fit try our best, but man no be God.",Even doctor fit make mistake—man no be God.
Blow grammar,Verb phrase (verb + noun object),To speak overly complex English to impress or confuse others.,To use unnecessarily complicated language.,C1,"Education, satire, comedy, politics","Humorous, sarcastic",Emerged from colonial and postcolonial language hierarchies privileging English over indigenous speech.,/blo ˈgra.ma/,"No blow grammar for here, talk wetin you mean.","Anytime dem invite am, e go blow grammar tire.",Politician blow grammar but nobody understand am.
Turn by turn,Reduplicated noun phrase functioning adverbially,Taking turns in sequence; rotating opportunity.,One after another in order.,A2,"Politics, games, traffic, social organization","Neutral, sometimes ironic",Used prominently in Nigerian political discourse referring to power rotation.,/tɔn baɪ tɔn/,Make we answer question turn by turn.,"For junction, driver dem dey pass turn by turn.",Dem say leadership na turn by turn this time.
Cut coat according to your size,Imperative clause with prepositional complement,Live within your means; avoid overspending.,Spend only what you can afford.,B2,"Financial advice, family guidance, entrepreneurship","Advisory, proverbial",Adapted from English proverb but localized in Pidgin pragmatics and economic realities.,/kɔt kot əˈkɔ.din tu jɔ saɪz/,"My brother, cut coat according to your size before debt choke you.","As business small like this, we go cut coat according to our size.",She learn early to cut coat according to her size.
