Idiom (Guarani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Guarani)",First Example Sentence,Second Example Sentence,Third Example Sentence
Oñembotavy hína,Reflexive verb phrase in progressive aspect,Pretending not to know something; playing dumb,He/she is pretending ignorance,B2,"Daily speech, humor, workplace, politics","Colloquial, ironic",Derived from rural speech; used to describe cunning behavior,[oɲẽᵐbotáβɨ hĩna],Juan oñembotavy hína pe mba'e rehe ha ndopytái iñañáva.,"Che sy he'i chéve, “Aníke reñembotavy hína, ha’e ndaha’éi ndéve gueteri.”",Pe intendente oñembotavy hína umi mba’e oiko haguã ndaje.
Oiko kavara ári,Fixed clause; verb + postpositional phrase,Living in luxury; having a comfortable life,He/she lives very well,B1,"Humor, daily speech, economics, gossip","Colloquial, humorous",Refers to riding on a goat as a symbol of comfort and pride in Guarani rural humor,[oiko kaβaɾa aɾi],"Pe karai oiko kavara ári, oĩ mba’e porãme añoite.",Oñemongeta hikuái he’i jepi pe mitãkuña oikoha kavara ári ko’ágã.,Ndaipóri ohasa asy; oiko kavara ári voi upe jagua kuéra reheve.
Ñe’ẽ rupi aña,Compound noun phrase; genitive construction,Malicious gossip; harmful speech,Spreading rumors or speaking ill of others,C1,"Social relations, gossip, morality, literature","Literary, moralistic",Traditional concept linking evil spirits (aña) to destructive words,[ɲẽʔẽ ɾupi aɲa],Pe ñe’ẽ rupi aña ombyai heta tapicha rerakuéra.,Che túva oikuaa porã mba’éichapa iñañáva pe ñe’ẽ rupi aña.,"Oñe’ẽ haguévo hikuái pe ñe’ẽ rupi aña, oiko joavy amongue."
Ha’e kuéra rehe oĩ ñembyasy,Prepositional phrase with abstract noun,They are going through a hard emotional time,They are sad or facing sorrow,B2,"Family, empathy, religion, social contexts","Formal, empathetic",Reflects communal empathy central to Guarani worldview,[haʔẽ kweɾa ɾehe oĩ ɲẽᵐβjasɨ],Ha’e kuéra rehe oĩ ñembyasy ohasa haguére peteĩ ára vai.,Che sy he’i oĩha ñembyasy heta oikóvape.,"Ko’ãga ñande roguerohory ha ñandepy’apy, ha’e kuéra rehe oĩ ñembyasy."
Oñembo’y yvágape,Reflexive verb phrase with locative postposition,To feel proud or superior,He/she acts arrogantly,C1,"Social satire, humor, moral commentary","Ironical, sarcastic",Refers to religious and mythological imagery of the sky (yvaga) as high place,[oɲẽᵐboʔɨ ɨβaɰape],María oñembo’y yvágape oje’e haguére chupe porãha.,Pe mitã oñembo’y yvágape ohupytýre peteĩ diploma.,"Che rembireko he’i chupe ani oñembo’y yvágape, ndaha’éi mba’e porã."
Ho’a yvýre iñakã,Fixed clause; verb + possessive noun,To lose one’s confidence or pride,He/she was humbled,B2,"Politics, work, competition, social life","Colloquial, moralistic",Rooted in agricultural metaphors; fall of head equals humility,[hoʔa ɨβɨɾe iɲakã],Pe intendente ho’a yvýre iñakã ojehecha rire ivaíva.,"Ha’e oikóma oñembo’y yvágape, ha upéi ho’a yvýre iñakã.",Peteĩ ára ñande rehe voi ho’a yvýre ñande akã.
Ñe’ẽ vai ha’e ita,Independent clause with comparative construction,Harsh words leave a lasting wound,Bad words hurt deeply,C2,"Moral lessons, literature, family advice","Philosophical, poetic",Based on proverb structure; ‘ita’ symbolizes weight and pain,[ɲẽʔẽ βai haʔẽ ita],Che ru he’i jepi chéve ñe’ẽ vai ha’e ita.,"Pe mitãrusu ohechakuaa rire, añetehápe ñe’ẽ vai ha’e ita.","Ñe’ẽ vai ha’e ita, upéva rehe oĩva ombyai ñande py’a."
Ha’e kuéra oikohína tatápe,Progressive aspect clause with locative,They are in serious trouble or conflict,They are in a difficult situation,B1,"Politics, conflict, humor, journalism","Colloquial, journalistic",Fire (tata) symbolizes danger and urgency in Guarani worldview,[haʔẽ kweɾa oiko hĩna tata pe],Ha’e kuéra oikohína tatápe upe tendápe.,Pe partido político oĩ tatápe ko’ágã.,Ñande róga rehe oiko hína tatápe oúvo umi marandu vai.
Oñemboja hína jaguáicha,Simile structure with reflexive verb + comparative suffix,Approaching sneakily or timidly,He/she approaches cautiously,B1,"Humor, daily speech, storytelling","Humorous, colloquial",Compares cautious movement to that of a dog (jagua),[oɲẽᵐboʒa hĩna haɰwa itʃa],"Pe mitã oñemboja hína jaguáicha, oñemonda’ỹre.",Karai Pedro oñemboja jaguáicha oikuaase hag̃ua mba’e oiko.,Che ra’y oñemboja hína jaguáicha oikuaase ramo mba’e porã.
Ndoikói mba’eve rehe’ỹ,Negative clause with instrumental postposition,Nothing happens without cause,Everything has a reason,B2,"Religion, reflection, conversation, storytelling","Philosophical, reflective",Proverbial form reflecting Guarani fatalistic wisdom,[ndoikói mbaʔeβe ɾeheʔɨ],"Ndoikói mba’eve rehe’ỹ, upéva hína ñande rekove rape.","Che ru he’i jepi, ndoikói mba’eve rehe’ỹ ñande apytépe.",Ojehecha pe mba’e oiko rire; añetehápe ndoikói mba’eve rehe’ỹ.
