Idiom (Thai),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Thai)",First Example Sentence,Second Example Sentence,Third Example Sentence
จับปลา สอง มือ,ประโยควลี; กริยา + กรรม (คงรูป),พยายามทำสองสิ่งพร้อมกันแต่เสี่ยงที่จะล้มเหลวทั้งคู่,ทำหลายสิ่งพร้อมกันจนไม่สำเร็จสักอย่าง,B1,"ชีวิตประจำวัน, การทำงาน, ครอบครัว","ภาษาพูด, กึ่งเป็นทางการ",สะท้อนวิถีชีวิตชาวบ้านที่หาปลา—หากทำสองสิ่งพร้อมกันมักไม่ได้ผลดี,t͡ɕàp plaa sɔ̌ːŋ mʉː,เขาพยายามจับปลาสองมือทั้งเรียนและทำงานไปพร้อมกันจนทำได้ไม่ดีทั้งคู่,อย่าจับปลาสองมือเลย สุดท้ายจะเสียทุกอย่าง,ถ้าคุณจับปลาสองมือ คุณอาจจะไม่ได้อะไรเลย
น้ำ ขุ่น อยู่ ข้าง ใน น้ำ ใส อยู่ ข้าง นอก,ประโยคซ้อน; ภาพพจน์เปรียบเทียบ,คนที่ดูภายนอกดี อาจซ่อนความคิดหรือความรู้สึกไม่ดีไว้ข้างใน,สิ่งที่เห็นภายนอกอาจไม่ตรงกับความจริงภายใน,C1,"วรรณกรรม, ครอบครัว, การเมือง","กึ่งวรรณกรรม, สุภาพ",มาจากภูมิปัญญาชาวบ้านที่เปรียบน้ำเป็นสัญลักษณ์ของใจคน,náːm khùn jùː kʰâːŋ naj náːm saj jùː kʰâːŋ nɔ̀ːk,เขามีนิสัยน้ำขุ่นอยู่ข้างใน น้ำใสอยู่ข้างนอก ทำให้เดายากว่าเขาคิดอะไร,คำพูดของเธอน้ำใสอยู่ข้างนอก แต่น้ำขุ่นอยู่ข้างใน,อย่ามองคนแค่เปลือก น้ำขุ่นอยู่ข้างใน น้ำใสอยู่ข้างนอกก็เป็นได้
กิน บน เรือน ขึ้น รัง,ประโยคกริยา; กิน + บนเรือน + ขึ้นรัง,เนรคุณ ทำร้ายผู้มีพระคุณ,ทำร้ายคนที่เคยช่วยเหลือเรา,B2,"การเมือง, ครอบครัว, การทำงาน","กึ่งสุภาพ, เชิงตำหนิ",มีที่มาจากการเปรียบเทียบกับสัตว์ที่อาศัยอยู่แต่กลับทำร้ายเจ้าของ,kin bɔ̄n rɯ̄an khʉ̂n raŋ,อย่ากินบนเรือนขึ้นรังกับคนที่เลี้ยงดูเธอมา,เขาถูกตำหนิว่าเป็นคนกินบนเรือนขึ้นรัง,การโกงบริษัทก็เหมือนกินบนเรือนขึ้นรัง
ตี งู ตาย บน หลัง,ประโยคกริยา + กรรม; ภาพพจน์,ทำร้ายผู้บริสุทธิ์โดยไม่ได้ตั้งใจ,คนที่ไม่เกี่ยวข้องต้องรับเคราะห์,C1,"การทำงาน, ชีวิตประจำวัน, การเมือง","กึ่งสุภาพ, เปรียบเปรย",เปรียบเปรยจากการตีงูแต่กลับกระทบคนอื่น,tiː ŋuː taːj bɔn laŋ,การลงโทษผิดคนก็เหมือนตีงูตายบนหลัง,เขากลายเป็นเหยื่อของการตีงูตายบนหลัง,อย่าตัดสินใจผิดจนกลายเป็นตีงูตายบนหลัง
หมา เห่า หอน,ประโยคกริยา; กริยา + กริยา,คนที่พูดมากแต่ไม่มีผลจริง,ขู่แต่ไม่ทำอะไรจริง,A2,"ชีวิตประจำวัน, การเมือง, การทำงาน","ภาษาพูด, เสียดสี",เปรียบเทียบพฤติกรรมสุนัขกับคนชอบขู่,mǎː hàw hɔːn,เขาชอบหมาเห่าหอนแต่ไม่กล้าลงมือทำจริง,เสียงวิจารณ์เหล่านี้ก็แค่หมาเห่าหอน,อย่าไปกลัว เขาก็แค่หมาเห่าหอน
ตัด หญ้า ติด ราก,ประโยคกริยา + กรรม; ภาพพจน์,แก้ปัญหาไม่ถึงต้นเหตุ,จัดการปัญหาแค่ผิวเผิน,B2,"การเมือง, ชีวิตประจำวัน, การทำงาน","ภาษาพูด, เสียดสี",เปรียบกับการตัดหญ้าที่ไม่ถอนรากออก ปัญหายังกลับมาได้,tàt jâː tìt râːk,การแก้ปัญหาคอร์รัปชันเพียงแค่เปลี่ยนคนก็เหมือนตัดหญ้าติดราก,อย่าแก้ปัญหาแบบตัดหญ้าติดราก,การปิดข่าวไม่ใช่การแก้ปัญหา แต่เป็นตัดหญ้าติดราก
น้ำ ข้าว สุก,วลี; นาม + คุณศัพท์,คนที่แก่หรือใกล้เสียชีวิต,ใกล้สิ้นอายุขัย,C2,"ครอบครัว, วรรณกรรม, สุขภาพ","วรรณกรรม, สุภาพ",การเปรียบกับน้ำข้าวที่สุกจนหมดคุณค่า,náːm kʰâːw sùk,ปู่ของฉันอายุมากจนคนพูดว่าเป็นน้ำข้าวสุกแล้ว,เธอแก่ชราจนถูกเรียกว่าน้ำข้าวสุก,คนเฒ่าคนแก่บางคนยอมรับว่าตนเป็นน้ำข้าวสุก
ช้า ได้ พล้า เล่ม งาม,ประโยคสมบูรณ์; กริยา + กรรม,การรอคอยอย่างอดทนจะได้สิ่งที่ดีกว่า,ใจเย็นแล้วผลจะดี,A2,"ชีวิตประจำวัน, ครอบครัว, สุภาษิต","สุภาษิต, ภาษาพูด",มาจากสังคมเกษตรกรรมไทยที่เน้นความอดทน,cháː dâːj pʰláː lêm ŋaːm,อย่ากังวล ช้าได้พล้าเล่มงาม,เธอรอคอยโอกาส ช้าได้พล้าเล่มงามจริงๆ,การลงทุนต้องใจเย็น ช้าได้พล้าเล่มงาม
เสือ สิงห์ กระทิง แรด,วลี; นามเรียงต่อกัน,กลุ่มคนที่แข็งกร้าวและน่ากลัว,คนดุร้าย,B1,"การเมือง, ชีวิตประจำวัน, มิตรภาพ","ภาษาพูด, เปรียบเปรย",เปรียบกับสัตว์ป่าอันดุร้าย,sɯ̌a sǐŋ kràtʰiŋ rɛ̀t,โต๊ะนี้เต็มไปด้วยเสือสิงห์กระทิงแรด,อย่าไปยุ่งกับเขา เขาเป็นเสือสิงห์กระทิงแรด,นักการเมืองเหล่านี้คือเสือสิงห์กระทิงแรด
ปล่อย ปลา ตาย,ประโยคกริยา + กรรม,ช่วยเหลือไม่ถูกวิธีจนกลายเป็นโทษ,ตั้งใจช่วยแต่ผลกลับตรงข้าม,B2,"ครอบครัว, ศาสนา, ชีวิตประจำวัน","กึ่งสุภาพ, เสียดสี",มาจากการปล่อยปลาเพื่อทำบุญ แต่บางครั้งปลาตายเพราะสภาพไม่เหมาะ,plɔ̀j plaa taːj,เขาถูกวิจารณ์ว่าไปปล่อยปลาตายในงานบุญ,การช่วยแบบนี้เหมือนปล่อยปลาตาย,อย่าทำบุญแบบปล่อยปลาตายเลย
