Idiom (Nyanja),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nyanja)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kudya ndalama ngati nkhuku,Infinitive verbal phrase with comparative simile,To spend money wastefully without planning,Kugwiritsa ntchito ndalama mopitirira muyeso,B2,"Daily speech, family discussions, economics","Colloquial, humorous",Compares careless spending to chickens pecking grain continuously in rural compounds,/ku.d͡ʒa ŋkʰu.ku/,Mnyamatayo amadya ndalama ngati nkhuku akalandira malipiro.,Anthu ambiri anati bwanayo amadya ndalama ngati nkhuku pa msika.,Usamadye ndalama ngati nkhuku ngati ufuna kumanga nyumba.
Kugona ndi diso limodzi,Infinitive verb phrase with locative complement,To remain alert because of danger or uncertainty,Kukhala tcheru nthawi zonse,B1,"Security, politics, family life","Neutral, serious",Linked to village vigilance during times of theft or conflict,/ku.go.na ndi di.so li.mo.d͡zi/,Alonda akugona ndi diso limodzi chifukwa cha mbava.,Pa chisankho anthu ambiri anagona ndi diso limodzi.,Ndikakhala mumzinda watsopano ndimagona ndi diso limodzi.
Kutaya mutu,Transitive infinitive clause,To lose emotional control or become confused,Kusokonezeka kwambiri,B1,"Arguments, emotional situations, literature",Colloquial,Traditional metaphor equating the head with wisdom and emotional balance,/ku.ta.ja mu.tu/,Amai anataya mutu atamva nkhani ya ngoziyo.,Musataye mutu chifukwa cha mavuto a ntchito.,Wophunzira uja anataya mutu pa mayeso ovuta.
Kumenya madzi,Verb-object infinitive phrase,To do useless work with no productive result,Kuchita ntchito yopanda phindu,B2,"Workplace, education, criticism","Ironic, colloquial",Inspired by the impossibility of striking water effectively,/ku.me.ɲa ma.d͡zi/,Kukangana nawo nthawi zonse ndi kumenya madzi.,Aphunzitsi anati ophunzira ena akungomenya madzi.,Ntchito yopanda dongosolo imakhala ngati kumenya madzi.
Kupita pa moto,Motion verb with locative complement,To go through severe hardship or danger,Kukumana ndi mavuto akulu,B2,"Politics, storytelling, family struggles","Dramatic, literary",Fire symbolizes suffering and painful endurance in oral narratives,/ku.pi.ta pa mo.to/,Banja limenelo lapita pa moto chaka chino.,Asilikali adapita pa moto pa nkhondo.,Wamalonda uja anapita pa moto asanapambane.
Kukhala ngati mphaka pa denga,Comparative descriptive clause,To behave nervously or uncertainly,Kukhala ndi mantha komanso kusatsimikiza,B1,"Humor, relationships, daily speech","Humorous, colloquial",Cats on rooftops are associated with restless and cautious movement,/ku.kʰa.la ŋga.ti mpʰa.ka pa de.ŋa/,Mwana uja akukhala ngati mphaka pa denga chifukwa cha chilango.,Anthu onse anali ngati amphaka pa denga atadikira zotsatira.,Usakhale ngati mphaka pa denga polankhula ndi abwana.
Kuluma lilime,Verb-object infinitive phrase,To keep silent intentionally,Kusankha kusalankhula,A2,"Family, conflict resolution, social etiquette",Neutral,Connected to restraint and discipline in traditional social gatherings,/ku.lu.ma li.li.me/,Atafunsidwa za nkhaniyo anangoluma lilime.,Nthawi zina ndi bwino kuluma lilime kuti pakhale mtendere.,Mkulu wa mudzi analuma lilime pa mkangano.
Kuyenda m'madzi otentha,Motion verb phrase with locative imagery,To be in serious trouble,Kukhala m'mavuto aakulu,B2,"Politics, crime, workplace","Serious, idiomatic",Hot water imagery symbolizes discomfort and danger,/ku.je.nda m̩.ma.d͡zi o.ten.ta/,Woyang'anira uja akuyenda m'madzi otentha chifukwa cha ziphuphu.,Tikachedwa kulipira tidzayenda m'madzi otentha.,Anthu ena anayamba kuyenda m'madzi otentha pambuyo pa kafukufuku.
Kumanga mtima,Verb-object infinitive phrase,To encourage oneself or endure emotionally,Kudzilimbikitsa,A2,"Bereavement, motivation, education","Encouraging, emotional",Heart imagery represents courage and emotional endurance,/ku.ma.ŋa m̩.ti.ma/,Mwana uja anamanga mtima atalephera mayeso.,Tiyeni timange mtima pa nthawi ya mavuto.,Amai anamanga mtima pambuyo pa imfa ya bambo.
Kusewera ndi moto,Verb phrase with instrumental complement,To engage in dangerous behavior carelessly,Kuchita zinthu zoopsa mosasamala,B1,"Youth behavior, politics, warnings","Warning, figurative",Fire is traditionally associated with risk and destruction,/ku.se.we.ra ndi mo.to/,Achinyamata ena akusewera ndi moto pogwiritsa ntchito mankhwala osokoneza bongo.,Kuba ndalama za boma ndi kusewera ndi moto.,Usamasewere ndi moto ngati ukufuna tsogolo labwino.
