Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Equatoguinean Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
No tener pelos en la lengua,"Verbal phrase, negative construction","Hablar con franqueza, sin rodeos ni censura",Hablar directamente y sin filtros,B2,"conversación diaria, trabajo, política","colloquial, directo","Compartido con otras regiones hispanohablantes, pero usado frecuentemente en Malabo con un tono ligeramente humorístico",[no teˈneɾ ˈpelos en la ˈleŋɡwa],Mi tía no tiene pelos en la lengua y siempre dice lo que piensa.,"En la reunión, Juan habló sin pelos en la lengua sobre los errores del proyecto.","A veces, no tener pelos en la lengua puede ofender a algunos."
Estar como pez en el agua,Similitud con 'estar como X en Y',Sentirse muy cómodo o en su ambiente,Sentirse a gusto,A2,"conversación cotidiana, educación, trabajo","coloquial, amistoso","Se usa en todo el país, en contextos educativos especialmente, para referirse a los niños adaptados",[esˈtaɾ ˈkomo ˈpes en el ˈaɣwa],"Desde que empezó el curso, Ana está como pez en el agua en su nueva escuela.",Luis se siente como pez en el agua trabajando con tecnología.,"En la cocina, ella está como pez en el agua."
Buscarle tres pies al gato,Infinitivo verbal con objeto directo,Complicar algo innecesariamente o buscar problemas donde no los hay,Complicar las cosas sin necesidad,C1,"humor, ironía, familia, amistad","coloquial, irónico",Usado irónicamente en regiones urbanas como Malabo en discusiones familiares,[busˈkaɾle tɾes ˈpjes al ˈɡato],Siempre estás buscándole tres pies al gato con tus teorías.,"No le busques tres pies al gato, la solución es sencilla.","En casa, mamá siempre dice que no le busquemos tres pies al gato cuando limpiamos."
Estar entre la espada y la pared,Locución preposicional y adjetival,Estar en una situación muy difícil sin salida fácil,Estar en un dilema o aprieto,B2,"trabajo, familia, decisiones difíciles","formal, dramático",Recurrente en discursos políticos o mediáticos de Bata y Malabo,[esˈtaɾ enˈtɾe la esˈpaða i la paˈɾeð],"Con esa deuda, estoy entre la espada y la pared.",Eligió mal porque estaba entre la espada y la pared.,"Entre la espada y la pared, prefirió callar."
No dar pie con bola,Negación + verbo + objeto,Equivocarse constantemente en lo que se hace,No acertar en nada,B1,"escuela, trabajo, humor","colloquial, humorístico","En Bata, usado especialmente en contextos escolares con tono burlón",[no daɾ ˈpje kon ˈβola],Hoy en clase no di pie con bola en el examen.,"Cada vez que cocina, no da pie con bola.","No dio pie con bola en la entrevista, pobrecito."
Meter la pata,"Verbo transitivo pronominal, coloquial","Cometer un error, especialmente en una situación social",Hacer algo mal o inapropiado,B1,"familia, trabajo, humor","colloquial, humorístico","Frecuente en interacciones sociales urbanas, común en los barrios de Malabo",[meˈteɾ la ˈpata],Metí la pata al mencionar su ex sin querer.,"Cada vez que habla en público, mete la pata.","Lo siento, metí la pata sin intención."
Dar en el clavo,Verbo transitivo con locución preposicional,Acertar plenamente o tener razón,Acertar,A2,"trabajo, escuela, discusiones","colloquial, directo","Muy usado entre estudiantes para hablar de respuestas correctas, también en programas de radio popular",[daɾ en el ˈklaβo],Tu comentario dio en el clavo.,El nuevo jefe dio en el clavo con sus propuestas.,"Cuando dijiste eso, diste en el clavo."
Estar en la luna,Locución adverbial,Estar distraído o desconectado de la realidad,No estar atento,A2,"educación, humor, familia","colloquial, gracioso",Expresión popular entre profesores en Bata al referirse a alumnos distraídos,[esˈtaɾ en la ˈluna],Pedro está en la luna últimamente en clase.,"Cuando te hablo, parece que estás en la luna.","Mi hermana vive en la luna, ni se enteró del chisme."
Más vale tarde que nunca,Oración comparativa con valor temporal,Es mejor hacer algo tarde que no hacerlo en absoluto,Es mejor actuar tarde que no actuar,B2,"vida cotidiana, reflexión, literatura","neutro, reflexivo","Usado en literatura escolar y discursos políticos, frecuente en debates radiales",[mas ˈβale ˈtaɾðe ke ˈnuŋka],"Terminó el proyecto tarde, pero más vale tarde que nunca.","Llegaste tarde, pero más vale tarde que nunca.","Publicaron el informe con retraso, pero más vale tarde que nunca."
Poner los puntos sobre las íes,Locución verbal con objeto directo plural,Aclarar una situación con precisión,Especificar o aclarar detalles importantes,C1,"discursos, reuniones, familia","formal, enfático","Común en círculos educativos, especialmente en conferencias o en debates formales en Malabo",[poˈneɾ los ˈpuntos soˈβɾe las ˈi.es],El director puso los puntos sobre las íes durante la reunión.,Voy a poner los puntos sobre las íes con ese tema.,Es hora de poner los puntos sobre las íes respecto a nuestra relación.
