Idiom (Piedmontese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Piedmontese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Avej ël sangh ai euj,Espression fissa nominal con verb possessiv,Esse furios o estremament irrità,Esse molt arrabià,B1,"Discussion familiar, litigi, politica","Colloquial, emocional",Espression tradissional ligada a l'idea medievala dle passion umane,/aˈvɛj əl saŋ aj ˈøʎ/,"Quand a l'ha sentù la neuva, a l'aveiva ël sangh ai euj.",Mè pare a l'ha ël sangh ai euj quand quaidun a-j manca ëd respet.,"Dòp la partida persa, l'alenator a l'aveiva ël sangh ai euj."
Esse an brass a Morfé,Costrussion verbal figurativa con infinitiv,Dormì profondament o esse ant un son pesant,Dormì con profondità,A2,"Famija, conversassion quotidiana, umor","Colloquial, poetic","Riferiment a Morfeo, divinità greca dij sògn",/ˈɛsə aŋ bras a murˈfe/,"Dòp dodis ore ëd travaj, i ero an brass a Morfé.",Ël cit a resta an brass a Morfé fin-a a mesdì.,"Con la piòva e ël frèid, tuti a son an brass a Morfé."
Pieje na cantonà,Locussion verbal transitiva,Fé n'error grav o na decision sbalià,Sbaglié gravament,B2,"Lavor, economia, vita personala","Colloquial, ironic",Deriva da l'idea ëd bate contra un canton o un mur,/ˈpjɛje na kantuˈnɑ/,Con cost investiment a l'ha pijà na cantonà.,I l'hai pijà na cantonà fidandom-ne dij sò promesse.,La companya a l'ha pijà na cantonà lançand cost prodot tròp prest.
Fé na figura da ciocolaté,Espression verbala figurativa,Rende-se ridicol an public,Fé na bruta figura,A2,"Scòla, amicissia, socialità","Humoristic, colloquial",Associà al ciocolaté ambulant considerà poc prestigios ant ël passà,/fe na fiˈɡyra da tʃukuˈlɑte/,I l'hai fàit na figura da ciocolaté an conferensa.,Chiel a fa sempre figure da ciocolaté quand a parla sensa pensé.,"Për nen fé na figura da ciocolaté, studia bin prima."
Avej ël diav an còrp,Espression idiomatica con element religios,"Esse agitò, nervos o impossìbil da sté ferm",Esse molt agitò,B1,"Cit, famija, sport","Colloquial, vivid",Influensà da l'imaginari religios popular piemontèis,/aˈvɛj əl djav aŋ kurp/,Cost cit a l'ha ël diav an còrp tut ël dì.,Prima dl'esam i l'aveivo ël diav an còrp.,Ij giugador a l'han ël diav an còrp prima dla final.
Parlé al vent,Infinitiv verbal metafòrich,Parlé sensa esse scotà o capì,Parlé inutilment,A2,"Educassion, famija, workplace","Neutral, ironic",Imagin rural dle parole disperse ant l'aria,/parˈle al vɛnt/,Con ij cit d'ancheuj a l'é coma parlé al vent.,I me stanco ëd parlé al vent con cost manager.,A l'ha continuà a parlé al vent sensa gnun-a risposta.
Esse coma can e gat,Comparassion idiomatica,Vive an continua discordia,Litigé sovens,A1,"Famija, relassion, umor",Colloquial,Espression comuna an tante culture europee,/ˈɛsə ˈkuma kaŋ e gat/,Mie doi cusin a son coma can e gat.,Ant l'ofissi ij doi soci a son coma can e gat.,Da cit a j'ero già coma can e gat.
Avej la testa ant ij nivol,Espression nominal figurativa,Esse distràit o tròp sognador,Esse distràit,B1,"Scòla, literatura, conversassion","Poetic, colloquial",Ligà a l'idea romantica dël sogn e dla distrassion,/aˈvɛj la ˈtɛsta aŋt ij niˈvul/,Durante la riunion a l'aveiva la testa ant ij nivol.,Mia sor a l'ha sempre la testa ant ij nivol quand a lese.,Ël poet a caminava con la testa ant ij nivol.
Tiré tròp la cuerda,Locussion verbal metafòrica,Esageré fin-a a provocé na rottura o un conflit,Esageré tròp,B2,"Politica, relassion, negociassion","Ironic, colloquial",Imagin derivà dal mond dël travaj manual e dle corde,/tiˈre trɔp la ˈkwɛrda/,Ël sindicat a peul nen tiré tròp la cuerda.,A l'ha tirà tròp la cuerda con ij sò amis.,"Se ti tire ancamò la cuerda, a finiss mal."
Avej ël còr an man,Espression figurativa emotiva,"Esse sincer, generos o emotivament apert",Esse sincer e generos,C1,"Literatura, relassion profonde, poesia","Poetic, literary",Tradission lirica piemontèisa e spiritualità popular,/aˈvɛj əl kur aŋ maŋ/,Mia nona a l'aveiva ël còr an man con tuti.,Ël volontari a travaja con ël còr an man.,Ant soe poesìe as sent che a l'ha ël còr an man.
