Idiom (Phuti),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Phuti)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kudla umoya,Fixed verb phrase with infinitive verb and object noun,To be disappointed after expecting success or reward,Ukuphoxeka emva kokulindela into enhle,B1,"Daily speech, family discussions, humor","Colloquial, ironic",Linked to rural storytelling traditions where empty-handed returns symbolized failed expectations,/kuˈd͡ɮa uˈmɔja/,Sifiso wabuyela ekhaya edla umoya emva kwemakethe.,Bathembisa umsebenzi kodwa sagcina sidla umoya.,UThandi akathandanga kudla umoya ngemva komncintiswano.
Kubamba inkunzi ngezimpondo,Finite verb clause with instrumental complement,To confront a difficult matter directly and bravely,Ukubhekana nenkinga ngqo,B2,"Politics, workplace, leadership discussions","Formal, motivational",Derived from cattle-handling practices among Southern African pastoral communities,/kuˈɓamba iŋˈkuːnzi ŋeziˈmpɔndo/,Induna yathi kufanele sibambe inkunzi ngezimpondo.,Umphathi ubambe inkunzi ngezimpondo ngesikhathi senhlekelele.,Bafundiswa kubamba inkunzi ngezimpondo kusukela besebancane.
Kuhamba amanzi phansi,Progressive verbal clause with locative complement,Time passes and situations gradually change,Izimo ziyashintsha ngokuhamba kwesikhathi,A2,"Family advice, literature, reconciliation","Poetic, reflective",Inspired by mountain streams and seasonal rivers in Phuti-speaking regions,/kuˈɦamba aˈmanzi ˈpʰansi/,"Emva kwengxabano, kwahamba amanzi phansi phakathi kwemindeni.",Ugogo wayethi kuhamba amanzi phansi noma izinhlungu zinkulu.,Kuyabonakala ukuthi sekudlule isikhathi ngoba kuhamba amanzi phansi.
Kubona inyoni ngelanga,Predicate verb phrase with temporal adjunct,To recognize something obvious too late,Ukubona iqiniso sekuhambe isikhathi,C1,"Humor, criticism, politics","Sarcastic, ironic",Associated with hunting metaphors where delayed awareness causes failure,/kuˈɓɔna iɲɔni ŋeˈlaŋa/,Abaphathi babona inyoni ngelanga ngemva kokulahlekelwa yimali.,Ungaboni inyoni ngelanga lapho abantu bekuxwayisa.,Umfana wabona inyoni ngelanga ngesikhathi sekwephuzile.
Kushaya ihlombe elilodwa,Declarative clause with singular nominal object,Cooperation cannot happen with only one person,Umsebenzi udinga ukubambisana,B1,"Community work, education, family guidance","Didactic, communal",Reflects collective social values in village life and communal labor,/kuˈʃaja iˈɬɔmɓe eliˈlɔd͡za/,Ubaba wathi kushaya ihlombe elilodwa emasimini.,Asingeke siphumelele ngoba kushaya ihlombe elilodwa.,Ekilasini bafunda ukuthi kushaya ihlombe elilodwa.
Kudla izithelo zomsebenzi,Infinitive verb construction with genitive complement,To enjoy the results of hard work,Ukuthola imivuzo yomsebenzi,A2,"Education, farming, workplace motivation","Positive, motivational",Agricultural metaphor tied to harvest cycles in Phuti communities,/kuˈd͡ɮa iziˈtʰɛːlɔ zɔmˈsɛɓɛnzi/,Abalimi badla izithelo zomsebenzi ngemva kwesivuno.,Ufunde kanzima ukuze adle izithelo zomsebenzi.,Kuyajabulisa kudla izithelo zomsebenzi wakho.
Kuphuma inhlanzi emanzini,Motion verb clause with locative phrase,Someone feels uncomfortable outside familiar surroundings,Ukungakhululeki endaweni entsha,B2,"Migration, school life, workplace adaptation","Descriptive, empathetic",Derived from fishing imagery familiar in riverine settlements,/kuˈpʰuma iɲˈɬanzi emaˈnzini/,Umfundi omusha wayefana nokuphuma inhlanzi emanzini.,Ngazizwa ngiphuma inhlanzi emanzini edolobheni.,Abasebenzi abasha bavame kuphuma inhlanzi emanzini ekuqaleni.
Kugaya ngomlomo,Verb phrase with instrumental noun complement,To boast excessively without action,Ukukhuluma kakhulu ngaphandle kokwenza,B1,"Humor, politics, peer criticism","Colloquial, mocking",Linked to oral traditions criticizing empty promises,/kuˈɡaja ŋɔmˈlɔmɔ/,Lo sopolitiki ugaya ngomlomo kuphela.,Abantu bakhathele yilabo abagaya ngomlomo.,Ungagayi ngomlomo uma ungeke usize.
Kukhala inyoni ebusuku,Present tense clause with nocturnal temporal phrase,A sign that trouble or bad news is approaching,Kusondela inkinga noma izindaba ezimbi,C2,"Folklore, storytelling, superstition","Poetic, ominous",Connected to traditional beliefs about birds as messengers,/kuˈkʰala iɲɔni eɓuˈsuku/,Ugogo wathi kukhala inyoni ebusuku ngaphambi kwesiphepho.,Abadala babesaba lapho kukhala inyoni ebusuku.,Le ndaba ifana nokukhala kwenyoni ebusuku.
Kubeka amehlo entabeni,Verb-object construction with locative phrase,To remain hopeful and focused despite hardship,Ukuqhubeka nethemba ngesikhathi sobunzima,B2,"Religion, motivation, literature","Poetic, inspirational",Inspired by mountain landscapes central to Phuti identity in Lesotho,/kuˈɓɛka ameːɬɔ ɛntaˈɓɛni/,"Noma kunzima, sibeka amehlo entabeni.",Umama wayesifundisa kubeka amehlo entabeni.,Abantu bendawo babeka amehlo entabeni ngesikhathi sendlala.
