Idiom,Syntactic Structure,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,IPA,First Example Sentence,Second Example Sentence,Third Example Sentence
Madakel a tubig so linampasan,Fixed clause (metaphorical past construction),Has gone through many hardships,Madami na siyang pinagdaanan,B2,"daily speech, storytelling","poetic, reflective",River-based life symbolism in Mindanao,/ma.da.kel a tu.big so li.nam.pa.san/,Madakel a tubig so linampasan na niya bago siya nagtagumpay.,"Sa edad niya, madakel a tubig so linampasan niya.",Makita mo sa kanya na madakel a tubig so linampasan.
Aya kabaya na makapantag sa mata,Negative existential clause,Impossible to ignore,Hindi kayang balewalain,B1,"daily speech, emphasis",colloquial,Emphasis on visibility and social awareness,/a.ja ka.ba.ja na ma.kap.pan.tag sa ma.ta/,Aya kabaya na makapantag sa mata so ginawa niya.,Ang balita na yan aya kabaya na makapantag sa mata.,"Sa liwanag niya, aya kabaya na makapantag sa mata."
Mapiya so kapagon na may bunga,Descriptive clause,Hard work pays off,May magandang resulta ang pagsisikap,B1,"motivation, work",proverbial,Agricultural roots of effort and harvest,/ma.pi.ja so ka.pa.gon na maj bu.nga/,Mapiya so kapagon na may bunga kung magsikap ka.,Tinuruan kami na mapiya so kapagon na may bunga.,"Sa bukid, mapiya so kapagon na may bunga."
Di makasugat so baras sa kahoy,Negative metaphorical clause,Cannot make progress,Hindi umuusad,B2,"criticism, humor",ironic,Woodworking metaphor,/di ma.ka.su.gat so ba.ras sa ka.hoj/,"Sa proyekto niya, di makasugat so baras sa kahoy.",Parang di makasugat so baras sa kahoy ang plano mo.,"Kung wala kang disiplina, di makasugat so baras sa kahoy."
Matabang so puso na tao,Descriptive clause,Kind-hearted person,Mabait na tao,A2,daily speech,"positive, warm",Community values of generosity,/ma.ta.bang so pu.so na ta.o/,Matabang so puso na tao siya kaya mahal siya.,Kilala siya bilang matabang so puso na tao.,"Sa baryo, matabang so puso na tao ang hinahangaan."
Makasulod sa isip na mapiya a aral,Verb phrase with metaphor,Leaves a lasting lesson,Nagbibigay ng aral,B2,"education, storytelling",reflective,Oral tradition teaching,/ma.ka.su.lod sa i.sip na ma.pi.ja a a.ral/,So karanasan na yan makasulod sa isip na mapiya a aral.,Makasulod sa isip na mapiya a aral ang sinabi niya.,"Sa kabataan, makasulod sa isip na mapiya a aral ito."
Aya pagkapantag sa langit so kaligayahan,Hyperbolic clause,Extreme happiness,Napakasaya,C1,"literature, poetry",poetic,Spiritual imagery of heaven,/a.ja pag.ka.pan.tag sa la.ngit so ka.li.ga.ja.han/,Aya pagkapantag sa langit so kaligayahan niya.,"Noong nanalo siya, aya pagkapantag sa langit so kaligayahan.","Sa araw na iyon, aya pagkapantag sa langit so kaligayahan namin."
Di makapantag sa dalan so ginawa,Negative comparison clause,Not appropriate behavior,Hindi tama ang ginawa,B1,"correction, discipline",serious,Social norms and pathways metaphor,/di ma.ka.pan.tag sa da.lan so gi.na.wa/,Di makapantag sa dalan so ginawa mo.,"Sa harap ng tao, di makapantag sa dalan yan.",Pinagsabihan siya dahil di makapantag sa dalan ang asal niya.
Mapiya so liyu a panaw na may layun,Descriptive clause,A journey with purpose is good,Maganda ang may direksyon,B2,"advice, philosophy",philosophical,Travel and life journey metaphor,/ma.pi.ja so li.ju a pa.naw na maj la.jun/,Mapiya so liyu a panaw na may layun sa buhay.,Tinuro sa amin na mapiya so liyu a panaw na may layun.,"Sa kabataan, mapiya so liyu a panaw na may layun."
Makasabot ka sa liyu a kahimtangan,Verb clause,Understand different perspectives,Umintindi ng iba,B2,conflict resolution,empathetic,Community harmony values,/ma.ka.sa.bot ka sa li.ju a ka.him.ta.ngan/,Kailangan makasabot ka sa liyu a kahimtangan.,"Sa usapan, makasabot ka sa liyu a kahimtangan.","Para sa kapayapaan, makasabot ka sa liyu a kahimtangan."
