Idiom (Sindhi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sindhi)",First Example Sentence,Second Example Sentence,Third Example Sentence
اکين جو تارو,"Noun phrase, possessive construction","Beloved person, highly cherished one",Very dear person,B1,"Family, affection, daily speech","Colloquial, affectionate","Common across Sindhi families, often used by elders",[əkʰin dʒoː taːroː],هوءَ پنهنجي ماءُ جي اڪين جو تارو آهي.,ننڍو پٽ سڄي گهر جي اڪين جو تارو بڻجي ويو.,استاد لاءِ سندس محنتي شاگرد اڪين جو تارو آهي.
ٻڪري کلي وئي,"Fixed clause, passive construction",A secret has been revealed,The truth is out,B2,"Humor, gossip, family, workplace","Colloquial, humorous",Traditional rural metaphor; loss of hidden goat implies exposed secret,[bəkriː kʰuliː weːi],محفل ۾ ڳالهه ڪندي آخرڪار ٻڪري کلي وئي.,جيڪو راز هو، هاڻي سڀني کي ٻڪري کلي وئي.,ٻڪري کلي وڃڻ کان پوءِ سڀ حيران ٿي ويا.
ساڄي هٿ وانگر,"Simile, prepositional phrase","Trusted, close, indispensable person",Right-hand person,B2,"Workplace, politics, leadership","Colloquial, metaphorical",Derived from importance of right hand in Sindhi culture,[saːd͡ʒiː hətʰ waːŋɡar],هو وزيراعظم جو ساڄي هٿ وانگر هو.,استاد لاءِ شاگرد ساڄي هٿ وانگر آهي.,هر ڪاروبار ۾ ساڄي هٿ وانگر ماڻهو ضروري هوندو آهي.
پهاڙ سان ٽڪرائڻ,Verb phrase with infinitive,Facing an impossible challenge,To attempt the impossible,C1,"Literary, motivational, sarcasm","Poetic, formal",References resilience against impossible odds in folk tales,[pʰaːɦaːɽ saːn ʈəkraːiːnʊ],بنا علم جي بحث ڪرڻ پهاڙ سان ٽڪرائڻ آهي.,وڏي فوج سان وڙهڻ پهاڙ سان ٽڪرائڻ برابر آهي.,ان ڪم ۾ هٿ وجهڻ پهاڙ سان ٽڪرائڻ آهي.
پنهنجو پاڻ وساري ڇڏڻ,Reflexive verb construction,"To lose oneself, to forget about oneself",To neglect oneself,C1,"Literary, emotional, family","Poetic, reflective",Deeply rooted in Sufi poetic traditions of Sindh,[pənɦind͡ʒoː paːnʊ wəsaːriː ʧʰəɖʊn],ماءُ پنهنجي ٻارن لاءِ پنهنجو پاڻ وساري ڇڏيو.,هوءَ پيار ۾ پنهنجو پاڻ وساري ويئي.,ڪم ۾ مشغول ٿي پاڻ وساري ڇڏڻ عام ڳالهه آهي.
جهڙو ڪري، تهڙو ڀري,Proverbial conditional structure,You reap what you sow,Actions have consequences,B2,"Daily life, moral lessons, family","Colloquial, proverbial",Agricultural background of Sindh; sowing metaphor,"[d͡ʒəɽoː kəreː, təɦroː bʰəriː]",زندگي ۾ هميشه ياد رکو، جهڙو ڪري، تهڙو ڀري.,امتحان ۾ محنت ڪريو، ڇوته جهڙو ڪري، تهڙو ڀري.,سٺن عملن جو نتيجو به جهڙو ڪري، تهڙو ڀري هوندو.
اکيون کولڻ,Verb phrase,"To realize, to become aware",To understand the truth,B1,"Education, daily speech, awakening","Colloquial, metaphorical",Linked to enlightenment metaphors in Sindhi literature,[əkʰiːũː kʰoːlʊn],استاد جي نصيحت بعد آخرڪار شاگرد اکيون کوليون.,ڪتاب پڙهڻ بعد مون کي اکيون کلي ويون.,مشڪل حالتن ۾ ماڻهو اکيون کولڻ تي مجبور ٿين ٿا.
درياهه ۾ ڪڪر اٿڻ,Clause with metaphorical subject,Beginning of conflict or trouble,Sign of looming problem,C1,"Politics, literature, media","Literary, formal","Sindhi poetry imagery, storm metaphors",[d̪arjaːɦ meː kəkər ət̪ʰʊn],ميٽنگ ۾ ڳالهين کان پوءِ لڳو ڄڻ درياهه ۾ ڪڪر اٿڻ لڳا.,سياست ۾ هر فيصلي سان درياهه ۾ ڪڪر اٿن ٿا.,گهر جي ڇڪتاڻ درياهه ۾ ڪڪر اٿڻ برابر آهي.
پوءِ پڇتائڻ جو فائدو ناهي,"Clause, negative construction",Regret after the fact is useless,It’s too late to regret,B2,"Daily speech, family advice, moral teaching","Colloquial, proverbial",Sindhi folk sayings emphasizing timely action,[puːiː pʊʧt̪aːiːn d͡ʒoː faːidoː naːhiː],وقت وڃڻ کان پوءِ پڇتائڻ جو فائدو ناهي.,امتحان ۾ نه پڙهڻ کان پوءِ پڇتائڻ جو فائدو ناهي.,موقعو وڃائڻ کان پوءِ پڇتائڻ جو فائدو ناهي.
هٿن مان پر ڪڍي وڃڻ,"Verb phrase, reflexive","To lose control, to miss opportunity",To let slip away,C1,"Workplace, life advice, literature","Colloquial, metaphorical",Image of bird slipping from hands,[hət̪ʰən maːn pər kəɖiː weːʤən],نوڪري جو موقعو هٿن مان پر ڪڍي ويو.,سٺو دوست وڃائڻ هٿن مان پر ڪڍي وڃڻ آهي.,وقت ضايع ڪرڻ سان موقعا هٿن مان پر ڪڍي ويندا.
