Idiom (Afrikaans),Syntactic Structure & Grammatical Form,Figurative Meaning (Afrikaans),Non-Idiomatic Equivalent in Afrikaans,CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Afrikaans)",First Example Sentence,Second Example Sentence,Third Example Sentence
’n Aap uit die mou laat,Fixed clause; subject-verb-object idiom with definite article and prepositional phrase.,Om per ongeluk of onverwags iets bekend te maak wat geheim moes bly.,Om ’n geheim uit te lap.,B2,"daily speech, workplace, gossip, humor","Informal; Playful, ironic",Derived from animal imagery; metaphorical reference to revealing hidden things—used widely in Cape Town colloquial Afrikaans.,[əˈɑːp œyt di ˈmoʊ lɑt],"Toe hy dit gesê het, het hy ’n aap uit die mou laat sonder om dit te besef.",Ons het almal stilgebly toe sy ’n aap uit die mou laat oor die verrassingpartytjie.,Moenie vandag weer ’n aap uit die mou laat soos laasweek nie!
So kaal soos ’n kerkmuis,Simile using comparative structure; adjective and noun phrase.,Baie arm; sonder enige besittings of geld.,Heeldag bankrot of totaal arm wees.,B1,"daily speech, storytelling, poverty discourse","Neutral; Humorous, sympathetic","Popularized through church-related metaphor; humorous exaggeration about poverty, especially in rural and urban narratives.",[su ˈkɑːl soəs ən ˈkɛrkmœys],Ná die vakansie was ek so kaal soos ’n kerkmuis.,Sy het haar beursie verloor en is nou so kaal soos ’n kerkmuis.,"Almal dink ek’s ryk, maar ek is so kaal soos ’n kerkmuis!"
Die poppe gaan dans,Declarative clause; future tense implication.,Daar gaan groot moeilikheid of onenigheid wees.,Daar gaan ’n rusie of probleem wees.,B2,"family conflict, drama, politics, sarcasm","Informal; Dramatic, ironic","Rooted in theatrical language, indicating a show or event; widely used in Cape Town communities.",[di ˈpɔpə χɑn ˈdɑns],"As hy dit uitvind, gaan die poppe dans.",Die poppe het behoorlik gedans toe sy agterkom wat gebeur het.,"Moenie iets sê nie, anders gaan die poppe dans!"
Liewer bang Jan as dooie Jan,Comparative proverb structure.,Dis beter om versigtig te wees as om jouself in gevaar te plaas.,Wees versigtig eerder as roekeloos.,B2,"safety advice, family, daily speech, proverbs","Neutral; Wise, cautious",Traditional Afrikaans saying embedded in rural wisdom; commonly heard in parental advice.,[ˈlivər baŋ ˈjɑn ɑs ˈduəjə ˈjɑn],Ek ry stadig in die reen—liewer bang Jan as dooie Jan.,Hy dra altyd sy veiligheidsgordel—liewer bang Jan as dooie Jan.,"Ons wag vir hulp, liewer bang Jan as dooie Jan!"
Hy het lang vingers,Subject + verb + noun phrase; idiomatic possessive form.,Hy steel goed; is geneig tot diefstal.,Hy is ’n dief.,B1,"crime discussion, daily speech, sarcasm","Informal; Sarcastic, accusatory",Used in both Afrikaans and English colloquially; linked to pickpocketing.,[ɦəi hɛt lɑŋ ˈfəŋərs],"Pasop vir daardie ou, hy het lang vingers.",My selfoon is weg—ek dink iemand met lang vingers was naby.,"Ons moes die vensters sluit, jy weet hier's mense met lang vingers."
Met die deur in die huis val,Prepositional phrase followed by idiomatic verb phrase.,Om ’n onderwerp of probleem direk en sonder inleiding aan te spreek.,Om sommer reguit met iets te begin.,B2,"meetings, family talks, honesty, workplace","Neutral; Direct, frank",Rooted in Afrikaans pragmatism—frequently used when addressing sensitive matters quickly.,[mɛt di diœr ən di hœys fɑl],Kom ek val sommer met die deur in die huis—ek wil ’n loonsverhoging hê.,Hy het met die deur in die huis geval en gevra of ek die geld het.,"Moenie altyd met die deur in die huis val nie, dis lomp!"
Dis bokant my vuurmaakplek,Declarative idiom; metaphorical spatial phrase.,Dis buite my vermoë of bevoegdheid.,Ek verstaan dit nie of ek is nie bevoeg nie.,C1,"workplace, politics, education, humility","Neutral-formal; Modest, resigned","Cape Town origin; rooted in physical space of a household hearth, implying capability limits.",[dəs ˈboːkant məi ˈfœrmaːkplɛk],Daardie tegniese goed is bokant my vuurmaakplek.,Om beleid te verander is bokant my vuurmaakplek.,Ek los dit vir die base—dis bokant my vuurmaakplek.
’n Voëltjie het my vertel,Indefinite subject with past tense verb; metaphorical phrase.,Iemand het my iets in vertroue vertel sonder om te sê wie.,"Iemand het vir my vertel, maar ek gaan nie sê wie nie.",B2,"gossip, humor, secrets","Informal; Playful, mysterious",Universal metaphor; widely used in Cape Town and Afrikaans schools and homes.,[ən ˈfuəlci ɦɛt mɛi fərˈtɛl],’n Voëltjie het my vertel jy het ’n nuwe kêrel.,Ek weet van die verrassing—’n voëltjie het my vertel.,"Jy weet mos, ’n voëltjie het altyd iets om te sê!"
Nie bo sy vuurmaakplek nie,Negative phrase; comparison metaphor.,Hy is nie bevoeg genoeg of slim genoeg vir die taak nie.,Hy is nie bekwaam nie.,C1,"criticism, workplace, education","Informal; Critical, dismissive",Related to the idea of a hearth as one's domain; Cape colloquialism.,[niː buə səi ˈfœrmaːkplɛk niː],Daardie projek is duidelik nie bo sy vuurmaakplek nie.,As bestuurder is hy nie bo sy vuurmaakplek nie.,"Ek’s jammer, maar dis net nie bo haar vuurmaakplek nie."
Dis nie aldag Sondag nie,Negated temporal clause; idiomatic declarative.,Dinge gaan nie altyd maklik of goed nie.,Die lewe het nie altyd goeie tye nie.,B1,"life advice, family, wisdom, hardship","Neutral; Reflective, resigned",Sunday as symbol of rest or joy; contrasts hardships of the week. Widely used among elders.,[dəs ni ˈɑldɑχ ˈsɔndaχ ni],Ek’s moeg en die werk is rof—dis nie aldag Sondag nie.,"Sy het gehuil, maar ek het gesê: dis nie aldag Sondag nie.","Moenie moed verloor nie, dis nie aldag Sondag nie."
