Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Estar al liquindoi,Locución verbal fija,"Estar muy atento o vigilante, especialmente para no ser engañado.",Estar atento,B1,"Diario, trabajo, familia","Coloquial, irónico","Término de origen gitano-andaluz, difundido en Cádiz y Sevilla.",[ehˈtaɾ al li.kĩnˈdoi],"Quillo, estate al liquindoi que ese tío no es trigo limpio.",Mi madre siempre está al liquindoi cuando hay gente nueva en casa.,"Más te vale estar al liquindoi en esa reunión, que son mu listos."
Más largo que un día sin pan,Comparación con estructura que + adjetivo + que,Algo que se hace interminable o muy aburrido.,Muy largo o tedioso,B2,"Humor, diario","Coloquial, humorístico","Expresión popular andaluza con fuerte carga hiperbólica, común en zonas rurales.",[ˈmah ˈlaɾ.ɣo ke un ˈdi.a sin ˈpã],La boda fue más larga que un día sin pan.,Este lunes se me está haciendo más largo que un día sin pan.,"Ese discurso fue más largo que un día sin pan, mi arma."
Estar apañao,"Locución verbal, participio usado como adjetivo",Estar en una situación complicada o sin solución aparente.,Estar en problemas,A2,"Familiar, diario","Coloquial, resignado",Uso común en toda Andalucía; el participio ‘apañao’ refleja fonética andaluza.,[ehˈtaɾ a.paˈɲao],"Como no llegues a fin de mes, estás apañao.","Sin el coche y sin móvil… estás apañao, compae.",¡Estás apañao si piensas que eso va a funcionar así!
Darle la vuelta al jamón,Locución verbal con objeto directo,"Actuar sin sentido, mover cosas sin necesidad.",Hacer algo innecesario,C1,"Sarcasmo, familia, cocina","Irrónico, doméstico","Expresión popular en hogares andaluces, reflejo del protagonismo del jamón.",[ˈdaɾ.le la ˈβwel.ta al xaˈmon],¿Tú qué haces ahí? ¿Dándole la vuelta al jamón otra vez?,No hace falta que le des la vuelta al jamón cada dos por tres.,Mi suegra viene y le da la vuelta al jamón como si fuera a arreglar algo.
Ser más flojo que la chaqueta un guarda,"Comparación, estructura de ser + más + adjetivo + que",Persona extremadamente perezosa.,Ser muy vago,B2,"Humor, trabajo, calle","Coloquial, burlón","Uso común en toda Andalucía, con humor popular.",[ˈseɾ mah ˈflo.xo ke la tʃaˈke.ta un ˈɰwaɾ.da],Ese chaval es más flojo que la chaqueta un guarda.,No ha hecho ná en todo el día… más flojo que la chaqueta un guarda.,"¡Ni se levanta! Más flojo que la chaqueta un guarda, vamos."
Tiene más cuento que Calleja,"Comparación, estructura tener + más + sustantivo + que",Alguien que exagera o inventa historias,Mentiroso o exagerado,C1,"Diario, familia, humor","Coloquial, irónico","Hace referencia al editor de cuentos Saturnino Calleja, muy leído en España.",[ˈtje.ne mah ˈkwen.to ke kaˈʝe.xa],Ese niño tiene más cuento que Calleja.,¡Anda ya! Si tú tienes más cuento que Calleja.,"No le creas, tiene más cuento que Calleja desde chico."
Estás sembrado,"Locución adjetiva, participio usado como adjetivo intensivo",Dicho de alguien muy ocurrente o que está teniendo un gran momento.,Estás brillante / acertado,B1,"Humor, amigos","Coloquial, elogioso","Se usa en toda Andalucía, reflejando el humor y rapidez mental.",[ehˈta ˈsemˈbɾao],"¡Quillo, estás sembrado hoy con los chistes!",No veas qué bien has hablao… estás sembrado.,"Estás sembrado, picha. ¡Ni el Rajoy ese!"
No está el horno pa bollos,Oración negativa con metáfora culinaria,No es el momento adecuado para algo,No es buena idea ahora,B2,"Familia, trabajo, conflicto","Coloquial, expresivo","Extendido por España, especialmente común en Andalucía.",[noh ˈta el ˈoɾ.no pa ˈβo.ʝo],Ni se te ocurra hablarle ahora… no está el horno pa bollos.,¡Uf! Mejor espera… que no está el horno pa bollos.,"No está el horno pa bollos, compae, deja eso pal lunes."
Buscarle tres pies al gato,Infinitivo con objeto directo hiperbólico,Complicar lo simple sin necesidad,Complicarse la vida,C1,"Trabajo, discusión, análisis","Coloquial, racional","Expresión tradicional del español, muy viva en Andalucía.",[busˈkaɾ.le ˈtɾeh ˈpje al ˈɣa.to],"Siempre estás buscándole tres pies al gato, picha.","Eso es simple, no le busques tres pies al gato.",Déjate de rollos… estás buscándole tres pies al gato.
Quedarse más tirao que una colilla,Comparación con estructura reflexiva,"Sentirse abandonado, sin esperanza",Estar deprimido o sin rumbo,C2,"Literatura, conversación íntima","Poético, melancólico","Andalucía urbana, inspiración en la vida callejera.",[keˈðaɾ.se mah tiˈɾao ke ˈu.na koˈli.ʝa],Se quedó más tirao que una colilla después de que lo dejara.,Desde que perdió el curro está más tirao que una colilla.,"Me siento más tirao que una colilla, compae."
