Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
"An tubig nga hilom, madalom.",Descriptive copula-less equative clause; adjective phrase modifying noun with implicit existential meaning.,"A quiet person may possess deep thoughts, intelligence, or hidden strength.",An tawo nga diri yakanon bangin madalom maghunahuna.,B1,"Daily speech, family advice, education, politics","Proverbial, neutral, advisory",Maritime metaphor rooted in coastal life in Baybay where calm waters often conceal depth.,/ʔan ˈtu.big ŋa hiˈlom maˈda.lom/,"Ayaw pagminos ha iya kay an tubig nga hilom, madalom.","Bisan waray hiya imik, hinumdumi nga an tubig nga hilom, madalom.","Ha politika, an tubig nga hilom, madalom gud."
Diri tanan nga nagkikinang bulawan.,Negative existential clause with relative modifier.,Not everything that looks attractive or valuable truly is.,Diri tanan nga maopay an hitsura may tinuod nga bili.,B1,"Moral lessons, finance, relationships","Proverbial, cautionary",Adapted from Iberian proverb traditions during colonial contact.,/diˈri ˈta.nan ŋa naɡ.kiˈki.naŋ buˈla.wan/,Pag-amping ha mga investment kay diri tanan nga nagkikinang bulawan.,Natutdo an amon maestro nga diri tanan nga nagkikinang bulawan.,"Ha gugma, diri tanan nga nagkikinang bulawan."
Naglalakat nga murag may kalayo ha tiil.,Progressive verb phrase with simile introduced by 'murag'.,Moving in great haste as if pressured or anxious.,Nagdadagmit hiya paglakaw.,B2,"Daily speech, humor, storytelling","Colloquial, humorous",Rural imagery referencing walking barefoot on hot ground.,/naɡ.laˈla.kat ŋa ˈmu.raɡ maj kaˈla.jo ha tiˈil/,Kay ano ka naglalakat nga murag may kalayo ha tiil?,Nagawas hiya nga murag may kalayo ha tiil han nakadungog han balita.,An bata naglalakat nga murag may kalayo ha tiil kay nahadlok.
Baga hin waray buot.,Comparative marker 'baga hin' plus negative existential noun phrase.,Acting foolishly or without sense.,Nagbubuhat hiya hin diri maaramon nga paagi.,A2,"Family, reprimand, humor","Colloquial, mildly critical",Common household expression in Visayan-speaking regions.,/ˈba.ɡa hin waˈraj buˈʔot/,"Ayaw pag-inom hin sobra, baga hin waray buot ka na.",Nagdesisyon hiya dayon nga baga hin waray buot.,"Diri ako magbubuhat hin sugad, diri ako baga hin waray buot."
May kalayo ha dughan.,Existential construction with locative complement.,Feeling intense anger or passion.,Nasina o napupungot hiya.,B2,"Politics, family conflict, drama","Poetic, emotional",Fire metaphor symbolizing inner emotion in Austronesian oral tradition.,/maj kaˈla.jo ha ˈduɡ.han/,May kalayo ha dughan hiya han ginbinuangan.,Naklaro nga may kalayo ha dughan an lider han nagyakan.,"Bisan nahiyom, may kalayo ha dughan."
Nagpapabulag ha kamatuoran.,Reflexive causative verb with locative complement.,Deliberately ignoring the truth.,Ginbabalewaray niya an tinuod nga kamatuoran.,C1,"Politics, debate, academic discourse","Formal, critical",Used in civic discourse during community assemblies.,/naɡ.pa.pa.buˈlaɡ ha ka.ma.tu.oˈran/,Diri kita dapat magpapabulag ha kamatuoran.,An opisyal gin-akusaran nga nagpapabulag ha kamatuoran.,"Kun nagpapabulag ka ha kamatuoran, magruruba an komunidad."
An kinabuhi sugad hin dagat.,Equative metaphor using 'sugad hin'.,Life has unpredictable ups and downs.,An kinabuhi may magkalain-lain nga kahimtangan.,B1,"Literature, speeches, family advice","Poetic, reflective",Coastal livelihood metaphor central to Baybay identity.,/ʔan ki.naˈbu.hi ˈsu.ɡad hin ˈda.ɡat/,"An kinabuhi sugad hin dagat, usahay malinaw usahay mabaskog.",Ginhingadlan niya an libro nga An Kinabuhi Sugad hin Dagat.,"Para ha iya, an kinabuhi sugad hin dagat nga waray kasigurohan."
Nagkikinahanglan hin puthaw nga kasingkasing.,Progressive verb with object phrase metaphor.,Requires emotional strength or firmness.,Kinahanglan magin marig-on an kasingkasing.,C1,"Leadership, law enforcement, parenting","Formal, metaphorical",Metal imagery influenced by blacksmithing traditions.,/naɡ.ki.ki.naŋaŋlan hin ˈput.haw ŋa ka.siŋ.kaˈsiŋ/,An paghukom hini nagkikinahanglan hin puthaw nga kasingkasing.,Nagkikinahanglan hin puthaw nga kasingkasing an pagdumara han krisis.,"Basi magmalampuson, nagkikinahanglan hin puthaw nga kasingkasing."
Nabutang ha alanganin.,Passive perfective verb phrase with locative complement.,Placed in a difficult or awkward situation.,Nabutang hiya ha makuri nga kahimtangan.,B2,"Workplace, social tension, politics","Neutral, descriptive",Common courtroom and mediation expression.,/naˈbu.taŋ ha a.laŋaˈnin/,Nabutang ha alanganin an empleyado tungod han sayop.,Diri ko karuyag mabutang ha alanganin.,An pamilya nabutang ha alanganin han nagkasakit an amay.
Nagbibilin hin marka ha kalag.,Progressive verb with object phrase and locative metaphor.,Leaves a deep emotional or psychological impact.,Nakaapekto gud ito hin marig-on ha iya pagbati.,C2,"Literature, trauma discourse, memoir writing","Literary, emotional",Rooted in oral storytelling traditions emphasizing spiritual interiority.,/naɡ.biˈbi.lin hin ˈmar.ka ha kaˈlaɡ/,An gera nagbibilin hin marka ha kalag han komunidad.,An iya mga pulong nagbibilin hin marka ha kalag.,May mga eksperyensya nga nagbibilin hin marka ha kalag tubtob kamatayon.
