Idiom (Seychellois Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Seychellois Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pran bef lo lang,"Fixed clause, verbal phrase",To gossip or speak ill of someone,Koze lo en dimoun deryer son ledo,B2,"Daily speech, humor, gossip","Colloquial, humorous",Derived from rural life; cows (bef) were often used metaphorically,[pʁɑ̃ bɛf lo lɑ̃ɡ],Zot ti asize kot larantre legliz e zot ti pe pran bef lo lang.,Toultan i vin travay boner zis pou li kapab pran bef lo lang avek son bann koleg.,Manmi i kontan ekout radyo e apre i pran bef lo lang lo tou sa ki'n pase.
En gro kannson pa fer lanmizik,Proverbial clause,Don't judge by appearance or size,Pa ziz en keksoz zis par son laparans,C1,"Family advice, moral teaching","Proverbial, reflective",Refers to traditional music instruments; even large ones can be silent,[ɑ̃ ɡʁo kansɔ̃ pa fɛʁ lanmizik],"Zanmi, ou devret rapel ki en gro kannson pa fer lanmizik.","I ti krwar sa zonm i entelizan akoz i abiye byen, me en gro kannson pa fer lanmizik.","Tou dimoun ti krwar li pou ganny sa pozisyon, me en gro kannson pa fer lanmizik."
Kondwir lo laso,"Verbal idiom, fixed phrase",To take a big risk or be in a dangerous situation,Pran en gran risk,C2,"Politics, workplace, risk-taking","Colloquial, daring",Metaphor of driving on a rope (laso) over a precipice,[kɔ̃dwiʁ lo lɑso],Larepiblik i kondwir lo laso avek sa nouvo desizyon.,"Ou pa kapab kontinyen viv koumsa, ou pe kondwir lo laso.",Zis en fou i pou al kondwir lo laso san reflechi.
Fer gran sinema,Verbal phrase,To exaggerate or be overly dramatic,Aji pli dramatikman ki neseser,B1,"Family, relationships, arguments","Colloquial, ironic",Influence of cinema culture in Seychelles post-colonial period,[fɛ ɡʁɑ̃ sinema],"Zanmi, aret fer gran sinema, i pa menm si serye sa zafer.","Toultan i ganny en pti problenm, li i fer gran sinema.","Ou krwar i pou mor, me li zis fer gran sinema."
I annan trou dan son gro pye,Descriptive metaphor,Someone with a serious flaw or problem despite appearing strong,Li annan en problenm serye malgre laparans,C1,"Politics, criticism, community","Sarcastic, metaphorical",Refers to banyan trees and perception of stability vs hidden weakness,[i anan tʁu dɑ̃ sɔ̃ ɡʁo pje],"Sa lakonpannyen i parèt for, me i annan trou dan son gro pye.","Ou krwar i en bon zanmi, me i annan trou dan son gro pye.","Gouvernman i bezwen aret fer koumsa, i annan trou dan son gro pye."
Tou lapo i sorti lo plim,Proverbial passive phrase,The consequences or truth will eventually surface,Laverite pou fini sorti,B2,"Justice, family disputes, work","Proverbial, poetic",Old fisherman’s metaphor,[tu lapo i sɔʁti lo plim],"Ou kapab kasyet sa konmye letan, me tou lapo i sorti lo plim.","Apre bann lannen, tou lapo i sorti lo plim.","Zot pa ti krwar mwan, me tou lapo i sorti lo plim."
En pok pok dan dlo fonn vitman,Proverbial clause,Temporary pleasures or efforts disappear quickly,Zantrenn oubyen plezir pas vitman,C1,"Advice, relationships, youth","Reflective, poetic",Traditional metaphor about candy or sugar (pok pok),[ɑ̃ pok pok dɑ̃ dlo fɔn vitmɑ̃],Son lanmour ti en pok pok dan dlo fonn vitman.,Tou sa larzan ti disparet kouma en pok pok dan dlo.,Pa met tro lespwar dan keksoz ki en pok pok dan dlo fonn vitman.
Manz pti bef,"Verb phrase, transitive",To be naïve or easily deceived,Aksyon en dimoun ki fasil pour krwar,A2,"Childhood, naivety","Colloquial, playful","Refers to rural life and literal eating of small calf, used humorously",[mɑ̃ʒ pti bɛf],"Toultan i manz pti bef, nenport ki keksoz i krwar.",Li ti manz pti bef kan i krwar sa ti laverite.,Mon pa pou manz pti bef ankor apre sa keksoz la.
Fer gato avek larenn,Verbal idiom,To create something extraordinary with little resources,Fer bokou avek en pe,B2,"Entrepreneurship, survival, home","Poetic, encouraging",Expression of ingenuity in hardship,[fɛ ɡato avɛk laʁɛn],"Malgre pa ti annan naryen, manman ti fer gato avek larenn.",Sa zil i fer gato avek larenn pou viv.,Fer gato avek larenn i devret vin nou filozofi.
Kalkile zis son prop marmit,"Reflexive idiom, fixed clause",To be selfish or only care about one's own benefit,Zis krwar lo son prop lentere,B1,"Politics, family, workplace","Colloquial, critical",Cultural reference to cooking; marmit symbolizes household interest,[kalkile zis sɔ̃ pʁɔp maʁmit],Dimoun i kontan kalkile zis son prop marmit.,Sa gouvernman i kalkile zis son prop marmit.,Nou bezwen aret kalkile zis nou prop marmit.
