Idiom (Sango),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sango)",First Example Sentence,Second Example Sentence,Third Example Sentence
Beti ti mbênî ayeke ti nzönî,Fixed clause with possessive structure,Something that seems good at first but hides trouble underneath,Everything that looks good is not always good,B2,"Daily speech, cautionary expression","Colloquial, proverbial",Derived from rural wisdom comparing shiny fruit to bitter taste,[ˈbɛ.ti ti ˈm͡bɛ.ni aˈjɛ.kɛ ti nˈzɔ.ni],"Ala yeke sôhô lo, mbênî ayeke ti nzönî, beti ti mbênî ayeke ti nzönî.","Mo yeke hinga nzönî, lo tongana beti ti mbênî ayeke ti nzönî.","Nzönî na lo yeke hinga, mbi yeke sôhô beti ti mbênî ayeke ti nzönî."
Nzapa a yeke na siriri,Declarative clause with verb 'yeke',"God is in control, often used to accept misfortune",Everything happens by God's will,A2,"Religion, comfort, daily expression","Spiritual, formal",Christianized expression from French missionary influence,[ˈnza.pa a ˈjɛ.kɛ na si.ˈri.ri],"Mbênî ti mbi ayeke la, mbi yeke sôhô: Nzapa a yeke na siriri.","Tî mbi a tongana na mo, Nzapa a yeke na siriri.","Lo ayeke kôso, mbeti ti lo a yeke na siriri."
Kôzo ti sôhô lo ayeke la,Relative clause with verb 'sôhô',You reap what you sow,Actions have consequences,B1,"Ethics, daily conversation","Moralistic, neutral",Traditional wisdom from agricultural society,[ˈkɔ.zɔ ti ˈsɔ.hɔ lo aˈjɛ.kɛ la],"Lo kôso mbênî ti mbi, kôzo ti sôhô lo ayeke la.","Mo ayeke sôhô nzapa na mo, kôzo ti sôhô lo ayeke la.","Tî lo ayeke sôhô, kôzo ti sôhô lo ayeke la."
Bila na nduru,Verb phrase with locative preposition,To waste effort or talk to someone who won’t listen,To speak in vain,B2,"Sarcasm, workplace, family advice","Ironic, colloquial",Refers to calling into a cave and hearing no answer,[ˈbi.la na ˈn̩.du.ru],"Mbi yeke bila na nduru na lo, lo ayeke hinga te.","Ala sôhô lo te, mbi yeke bila na nduru.",Lo yeke bila na nduru tongana mbi a tene na lo.
Sô ti nzapa ayeke gï,Possessive clause with emphasis particle,Everything belongs to God,All things are under divine power,A2,"Religion, gratitude, resignation","Formal, spiritual",Rooted in Central African Christian syncretism,[ˈsɔ ti ˈnza.pa aˈjɛ.kɛ gi],Nzönî ayeke sô ti nzapa ayeke gï.,"Mbi yeke la, sô ti nzapa ayeke gï.","Mo ayeke hinga, sô ti nzapa ayeke gï."
Mbênî ti gbata nzönî,Nominal clause with genitive structure,A small beginning that grows into something big,Great things start small,B1,"Motivational, education, business","Proverbial, poetic",Traditional Central African wisdom on growth and patience,[ˈm͡bɛ.ni ti ˈg͡ba.ta nˈzɔ.ni],"Tî mbi ayeke la na yângâ, mbênî ti gbata nzönî.","Nzönî ti lo a yeke mbi, mbênî ti gbata nzönî.","Ala a tene mbi, mbênî ti gbata nzönî."
Nzönî na yâ ti lo,Clause with possessive preposition 'ti',One’s charm or talent shows naturally,They shine in their own way,B2,"Compliment, praise, daily speech","Positive, colloquial",Reflects admiration in community interactions,[nˈzɔ.ni na ja ti lo],"Lo yeke hinga nzapa na lo, nzönî na yâ ti lo.",Ala yeke tene lo nzönî na yâ ti lo.,Nzönî na yâ ti lo ayeke mbi.
Lo tene na te,Verb phrase with negation,To pretend not to know or understand,To ignore deliberately,C1,"Sarcasm, workplace, relationships","Ironical, sarcastic",Common idiom reflecting social avoidance behavior,[lo ˈtɛ.nɛ na tɛ],"Mbi tene na lo, lo tene na te.",Lo yeke tene na te tongana mbi a sôhô lo.,Lo tene na te sô mbi a hinga lo.
Ala bî ti biani,Plural subject with verb of state,Everyone has their own way or character,People differ from each other,A2,"Daily speech, teaching, social tolerance","Neutral, proverbial",Traditional belief in individuality within the community,[ˈa.la bi ti ˈbja.ni],"Ala bî ti biani, lo tene tongana mo.","Mo tene lo te, ala bî ti biani.","Na sô ala yeke la, ala bî ti biani."
Lo yeke nginza na maboko,Clause with verb 'yeke' and prepositional phrase,To be clever or skilled with one’s hands,To be talented or resourceful,B2,"Compliment, craft, workplace","Colloquial, positive",Refers to craftsmanship in Bangui artisanship,[lo ˈjɛ.kɛ ŋiˈnza na maˈbɔ.kɔ],"Lo yeke nginza na maboko, tongana mbi hinga lo ti bâa.","Maboko ti lo a yeke nzönî, lo yeke nginza na maboko.",Ala tene lo yeke nginza na maboko.
