Idiom (Assamese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Assamese)",First Example Sentence,Second Example Sentence,Third Example Sentence
মৰা গ'লেই বাঘ বোলা,ক্লজ; পেছনলৈ অৱস্থান কৰা অভিব্যক্তি,"মৃত ব্যক্তি বা হেৰুৱা বস্তুৰ প্ৰশংসা কৰা, যাৰ প্ৰতি জীৱিত অৱস্থাত উপেক্ষা কৰিছিল",মৃত ব্যক্তিক মাত্ৰ মৰাৰ পাছত সন্মান জনোৱা,C1,"সামাজিক, সাহিত্য, ৰাজনীতি","ব্যংগাত্মক, সাহিত্যিক","অসমীয়া লৌকিক কথাবোৰত, মৃত ব্যক্তিক বাঘত পৰিণত কৰা এক কটাক্ষ",məɾa gɔlei bagʱ bola (মৰা গ'লেই বাঘ বোলা),"মৃতুৰ আগলৈকে কোনো একো নক'লে, মৰা গ'লেই বাঘ বোলা।","মোৰ দেউতাকে জীৱন্ত অৱস্থাত উপেক্ষা কৰিছিল, এতিয়া মৰা গ'লেই বাঘ বোলা।","সাংবাদিকজনৰ বিষয়ে সকলো চুপ আছিল, কিন্তু মৰা গ'লেই বাঘ বোলা।"
জোঁকাৰ মুখত বিৰিখ পাত,উপমাসূচক; স্থায়ী ভাবপ্রকাশ,অযোগ্য বা বেয়া ঠাইত মূল্যৱান বা গম্ভীৰ বস্তু দিয়া,অযোগ্য জনক মূল্যবান বস্তু দিয়া,B2,"ব্যংগ, ৰাজনীতি, সাহিত্য",ব্যংগাত্মক,অসমীয়া নাট আৰু পথনাট্যত সৰু মানুহৰ লগত গম্ভীৰ বস্তুৰ পৰিহাস হিচাপে ব্যৱহাৰ,zʊŋkaɾ muxtɔ biɾikʰ pat (জোঁকাৰ মুখত বিৰিখ পাত),"এতিয়া যদি তেওঁক সেই পদখন দিয়া হয়, সেইটো জোঁকাৰ মুখত বিৰিখ পাত।","তেওঁৰ জ্ঞানৰ আগত এইটো দিব, মানে জোঁকাৰ মুখত বিৰিখ পাত।",এই সিদ্ধান্তটো তেনে লোকক দিবলৈ জোঁকাৰ মুখত বিৰিখ পাত।
অঘোৰ গাভৰুৰ চকু-কান্ধা,উপমা; যৌগিক শব্দ সংযোগ,"বিশেষ আকৰ্ষণ বা প্ৰলোভন, বিশেষকৈ লুকোৱা মনোভাব সহ",নির্বাক অথচ প্রলোভনজনক ভাৱ,C2,"প্ৰেম, সাহিত্য, নাটক",কবিতামূলক,গাম্ভীৰ্যপূৰ্ণ চৰ্চা থকা জ্ঞানহীনতালিপ্ত আদৰ্শৰ প্ৰতিকৃতি হিচাপে ব্যবহৃত,ɔgʰoɾ gabʰɾuɾ tsɔku-kanda (অঘোৰ গাভৰুৰ চকু-কান্ধা),তেওঁৰ অঘোৰ গাভৰুৰ চকু-কান্ধা চোৱা মাত্ৰেই সকলো চুপ।,নাটখনত মূল চৰিত্ৰই অঘোৰ গাভৰুৰ চকু-কান্ধা ব্যৱহাৰ কৰি চমক দিছিল।,এইটো অঘোৰ গাভৰুৰ চকু-কান্ধাৰ দৰে চকু ধাঁধানি।
আঠা লগা মাছৰ দৰে,উপমাসূচক; উপসৰ্গৰ সংযোগযুক্ত তুলনামূলক গঠন,"বিচ্ছিন্ন কৰিব নোৱাৰা, সদায় লগ থাকিব খোজা ব্যক্তি বা বস্তু",বেছি চিপাহ হৈ লগ থকা ব্যক্তি,A2,"দৈনন্দিন কথা, পৰিয়াল, বন্ধুত্ব","সাধাৰণ, লঘু হাস্য",আঠা আৰু মাছৰ মিলজনক উপমা অসমৰ লৌকিক ভাষাত বহুল ব্যৱহৃত,aʈʰa lɔga maʃɔɾ dɔɾe (আঠা লগা মাছৰ দৰে),সোঁৱৰণীটো মোৰ লগত আঠা লগা মাছৰ দৰে হৈ থাকে।,পিচলি সপ্তাহটোত তুমি মোৰ লগত আঠা লগা মাছৰ দৰে আছিলা।,"মই যিখন দোকানলৈ যাওঁ, সেয়া আঠা লগা মাছৰ দৰে পিছ ফালে।"
গছৰ পাত খোৱাকৈ ঘৰলৈ যাওঁক,"উপদেশাত্মক বাক্য, ঋণাত্মক মুড, অপৰিকল্পিত স্থিৰতা",কোনো কামৰ ফল নোপোৱা অৱস্থাত পিচ লৈ যোৱা,ফল নোপাই ঘূৰি যোৱা,B1,"কৰ্মক্ষেত্ৰ, শিক্ষা, পৰিয়াল","আঞ্চলিক, উপহাসমূলক",অসমত গছৰ পাত খোৱাৰ কথাটো পৰম্পৰাগত অৱহেলাৰ প্ৰতীক হিচাপে ব্যৱহৃত,gɔsɔɾ pat kʰuakɔi ɡʰɔɾɔloi zɑɔk (গছৰ পাত খোৱাকৈ ঘৰলৈ যাওঁক),ইমান কাম কৰি গছৰ পাত খোৱাকৈ ঘৰলৈ যাব লগা হ'ল।,তেওঁৰ পৰীক্ষাৰ ফল দেখিলে যেন গছৰ পাত খোৱাকৈ ঘৰলৈ গ'ল।,জিলা পৰ্যায়ৰ পৰা ৰং-পুৰলৈ আহি গছৰ পাত খোৱাকৈ উভতি গ'ল।
কঁকালৰ হাড় লৰাই দিয়া,"কাৰ্য্যবাচক ধাতুবিশিষ্ট ৰূপ, একাধিক পদৰ সমষ্টি","অতি বেছি হাঁহি, কষ্ট-দুখত হাঁহিৰে পৰিস্থিতি পাৰ কৰা",অতিকৈ হাঁহি হাঁহি অৱস্থা সামৰণি কৰা,C1,"হাস্য, নাট, সাহিত্য","বৈহাসিক, নাটকীয়",হাঁহি-ঠাট্টাৰ জৰিয়তে দুখ সামৰণি কৰাৰ অসমীয়া ঐতিহ্যৰ অংশ,kɔŋkalɔɾ haɾ lɔɾai dia (কঁকালৰ হাড় লৰাই দিয়া),হাস্যনাটখনত অভিনেতাই কঁকালৰ হাড় লৰাই দিছিল।,বিষয়টো ইমান হাস্যজনক যে মই কঁকালৰ হাড় লৰাই দিছিলোঁ।,"তেওঁ অকল হাঁহি হাঁহি কঁকালৰ হাড় লৰাই দিছিল, কিন্তু ভিতৰতে দুখ আছিল।"
জুৰি নালাগে,চমু বাক্য; অব্যয় আৰু ধাতুৰ সংযোগ,অতুলনীয় বা একমাত্রিক,তুলনা কৰিব পৰা নহয়,B2,"সাহিত্য, প্ৰশংসা, ব্যৱসায়",উচ্চ প্ৰশংসামূলক,বাচিক সাহিত্যত বিখ্যাত বৰ্ণনাৰ ভাৱনা,zuɾi nalagɛ (জুৰি নালাগে),তেওঁৰ লিখনিত জুৰি নালাগে।,এই ৰন্ধনশৈলীত জুৰি নালাগে।,তেওঁৰ সংগীতৰ প্রতি অনুভৱত জুৰি নালাগে।
হাঁহিৰ পাছত কান্দোন,বাক্য গঠন; দ্বৈত কাৰ্য বাচক,সুখৰ পিচত দুখ অহা,সুখৰ পাছত দুখৰ আগমন,B1,"দৈনন্দিন জীৱন, সাহিত্য","দার্শনিক, সাধারণ",অসমীয়াৰ বুজাবুজিত 'জীৱন'ৰ উত্থান-পতনৰ ছবি,haɦiɾ pasɔt kandoɳ (হাঁহিৰ পাছত কান্দোন),"উল্লাসৰ পাচত যি হৈছিল, সেইটো হাঁহিৰ পাছত কান্দোন।",মিছা আশা দিয়া প্ৰেমটো হাঁহিৰ পাছত কান্দোন হৈ পৰিল।,তেওঁৰ জীৱনত হাঁহিৰ পাছত কান্দোন সদায় দেখিবলৈ পোৱা যায়।
মাছৰ পুৰণি পুঁতি,উপমাসূচক; নাউন-নাউন সমষ্টি,জৰাজীৰ্ণ বস্তু বা প্ৰসংগ পুনৰ কঢ়িয়াই অনা,পুৰণি কথা পুনৰ উল্লেখ কৰা,B2,"চৰ্চা, পৰিয়াল, ৰাজনীতি","উপহাসমূলক, আঞ্চলিক","অসমীয়া খাদ্যসংস্কৃতিৰ লগত জড়িত, গন্ধযুক্ত মাছৰ পুৰণি পুঁতিৰ উপমা",maʃɔɾ pʊɾɔni pʊti (মাছৰ পুৰণি পুঁতি),"অকলে মাছৰ পুৰণি পুঁতি কঢ়িয়াই থাকিলে, নতুন কিছু হব নোৱাৰিব।","এইটো খালী মাছৰ পুৰণি পুঁতি, আন একো নহয়।",বিলখনত আকৌ মাছৰ পুৰণি পুঁতি তুলিছে তেওঁ।
ডিঙিত বসন্ত লোৱা,ধাতু-নাম সংযোগ; রূপকাত্মক কাৰ্যসূচক গঠন,কোনোবা বিপদ বা দায়িত্ব নিজে লোৱা,নিজে দায়িত্ব লোৱা বা বিপদ স্বীকাৰ কৰা,C1,"কৰ্মক্ষেত্ৰ, ৰাজনীতি, সাহসিকতা","উৎসাহী, দায়িত্বপূৰ্ণ",অসমীয়া বৈশাখী বসন্ত-ঋতুক বিপদৰ সংকেত হিচাপে তুলনা কৰা,diŋit bɔsɔnto lɔwa (ডিঙিত বসন্ত লোৱা),অকলশৰে কামটো ল'লে মানে ডিঙিত বসন্ত লোৱা।,নেতাজীয়ে সকলো দায়িত্ব ডিঙিত বসন্ত লোৱাৰ দৰে লৈছিল।,চাকৰিটো গ্ৰহণ কৰাটো ডিঙিত বসন্ত লোৱাৰ সমান আছিল।
