Idiom (Buginese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Buginese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Resopa temmangingngi namalomo naletei pammase Dewata,Fixed proverbial clause; complex declarative sentence with negation and result clause,Hard work and perseverance bring divine blessing and success,Kerja keras membawa keberhasilan,B2,"Education, motivation, leadership speeches, literature","Formal, proverbial, motivational",Traditional Bugis philosophical value emphasizing work ethic and divine grace,reˈsopa tɛmːaŋˈiŋːi namaˈlomo nalɛˈtɛi pamːaˈse deˈwata,"Resopa temmangingngi namalomo naletei pammase Dewata, jadi aja' male' masseddi gau'.",Guru é makkutana ri muridna tentang resopa temmangingngi namalomo naletei pammase Dewata.,"Ri rapat desa, kepala desa mappoji resopa temmangingngi namalomo naletei pammase Dewata."
"Mali siparappe, rebba sipatokkong",Parallel imperative clause; balanced coordination structure,Help each other in times of difficulty,Saling membantu saat kesulitan,B1,"Community life, disaster response, family discussions","Colloquial-proverbial, communal",Maritime Bugis culture emphasizing mutual aid among seafarers,ˈmali siparaˈpːe ˈrebːa sipatokˈkoŋ,"Mali siparappe, rebba sipatokkong, iyaro ade'na tau Bugis.","Narekko engka masalah, mali siparappe rebba sipatokkong.",Orang tua ku sering mappoji mali siparappe rebba sipatokkong.
Siri' na pacce tennapodo dipiseng,Nominal phrase with negated passive construction,Honor and compassion cannot be separated,Harga diri dan empati tidak terpisahkan,C1,"Ethics, politics, cultural discourse","Formal, philosophical",Core Bugis moral concept combining honor (siri') and empathy (pacce),ˈsiriʔ na ˈpatʃːe tɛnːaˈpodo dipiˈseŋ,Siri' na pacce tennapodo dipiseng ri kahidupan tau Bugis.,Ia malempu' nasaba siri' na pacce tennapodo dipiseng.,"Dalam pidato, ia nyebbut siri' na pacce tennapodo dipiseng."
Iya gau'na iya balanna,Elliptical causal clause; parallel noun-possessive construction,Every action has consequences,Setiap tindakan ada akibatnya,B1,"Daily advice, parenting, moral lessons","Neutral, advisory",Common Bugis moral saying transmitted orally,ˈija ɡauʔna ˈija baˈlanːa,"Iya gau'na iya balanna, jadi pikirko riolo.",Orang tua ku mappoji iya gau'na iya balanna.,"Ri sidang adat, iya gau'na iya balanna dipake ri keputusan."
Aja' mumaelo' natappa' ri tana asing,Negative imperative clause with subordinate locative phrase,Do not forget your homeland and identity,Jangan melupakan asal usulmu,B2,"Migration, diaspora, family advice","Advisory, emotional",Reflects Bugis migration tradition across Nusantara,ˈadʒaʔ mumaˈeloʔ naˈtapːaʔ ri ˈtana aˈsiŋ,"Aja' mumaelo' natappa' ri tana asing, ingat kampungmu.",Ibuna mappoji aja' mumaelo' natappa' ri tana asing ri anakna.,"Ri perantauan, ia ingat aja' mumaelo' natappa' ri tana asing."
"Tellui riala sappo: tau, ade', sara'",Enumerative nominal clause with colon listing structure,"Three pillars of protection: people, custom, religion","Tiga pelindung utama: masyarakat, adat, agama",C2,"Cultural studies, traditional law, ceremonies","Formal, ceremonial",Bugis socio-legal philosophy structuring traditional governance,tɛlːui riˈala sapːo tau aˈdeʔ saˈraʔ,"Tellui riala sappo: tau, ade', sara', iyaro pondasi kampung.","Dalam upacara adat, disebut tellui riala sappo tau ade' sara'.",Ia belajar tentang tellui riala sappo ri sekolah.
De' gaga siri'mu,Negative existential clause with possessive suffix,You have no shame,Kamu tidak punya rasa malu,B1,"Conflict, humor, sarcasm","Colloquial, sarcastic",Common social rebuke within Bugis honor culture,deʔ ˈɡaɡa siˈriʔmu,"De' gaga siri'mu, massuro tanpa izin.",Temanna mappoji de' gaga siri'mu ri bercanda.,Ia makkutana de' gaga siri'mu ri diskusi panas.
Masseddi ri lino mupakalebbi siri'mu,Conditional imperative structure with embedded possessive noun,Live honorably to uphold your dignity,Hiduplah dengan menjaga harga dirimu,B2,"Motivation, youth guidance, leadership","Motivational, semi-formal",Derived from traditional Bugis ethical instruction,masˈsɛdːi ri ˈlino mupakaˈlebːi siˈriʔmu,"Masseddi ri lino mupakalebbi siri'mu, aja' mappoji gau' jahat.",Ayahna makkutana masseddi ri lino mupakalebbi siri'mu.,"Ri ceramah, ustaz nyebbut masseddi ri lino mupakalebbi siri'mu."
"Mappoji riolo, mappunnai ri munrinna",Sequential verbal clause with temporal contrast,Think before acting,Berpikir dahulu sebelum bertindak,B1,"Daily advice, workplace, education",Neutral advisory,Oral advisory expression in family settings,mapˈpodʒi riˈolo mapˈpunːai ri munˈrinːa,"Mappoji riolo, mappunnai ri munrinna, supaya de' salah.",Guru é mappoji mappoji riolo mappunnai ri munrinna.,Ia sadar mappoji riolo mappunnai ri munrinna penting.
Sappa laleng atimu,Imperative verb phrase with internal object metaphor,Search your heart; reflect deeply,Renungkan dalam hatimu,B2,"Emotional advice, literature, reconciliation","Poetic, introspective",Metaphorical expression common in Bugis oral storytelling,sapːa ˈlalɛŋ aˈtimu,Sappa laleng atimu narekko bingung.,Ibuna makkutana sappa laleng atimu ri anakna.,"Ri novel Bugis, tokoh utama nyebbut sappa laleng atimu."
