Idiom (Murcian Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Murcian Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar más perdío que el barco del arroz,Verbal phrase (estar + adjetivo),Estar completamente desorientado o fuera de lugar,Estar muy confundido o desubicado,B2,"Diario, humor","Coloquial, irónico","Referencia a un barco de arroz que se perdió en la Albufera de Valencia, pero popularizada en Murcia",[eʰˈtaɾ ˈma peɾˈði.o ke ɛl ˈβaɾ.ko ðɛl aˈroθ],"No sabe ni por dónde le da el aire, está más perdío que el barco del arroz.","Juan se metió en la reunión sin saber de qué iba, más perdío que el barco del arroz.","Cuando me cambiaron de departamento, estaba más perdío que el barco del arroz."
Tener más cuento que Calleja,Verbo + cuantificador + complemento comparativo,"Exagerar, inventarse excusas o historias",Ser muy exagerado o mentiroso,C1,"Familiar, humor","Coloquial, humorístico","Hace referencia a Saturnino Calleja, editor de cuentos populares en España",[teˈneɾ maʰ ˈkwẽ.to ke kaˈʎe.xa],"No le creas, que tiene más cuento que Calleja.","Dice que no pudo venir porque se le rompió el coche, pero tiene más cuento que Calleja.","Ese chaval tiene más cuento que Calleja, siempre está inventando excusas."
Estás apañao,"Locución adjetival, uso irónico del participio",Se usa de forma irónica para decir que alguien está en problemas o hace algo mal,Estás en un lío o te has equivocado,B1,"Diario, sarcasmo","Coloquial, sarcástico",Uso extendido en Murcia con tono irónico,[eʰˈta apäˈɲäo],¿Has perdido las llaves otra vez? Estás apañao.,Te has dejado el móvil en el coche con las ventanas abiertas… Estás apañao.,Estás apañao si piensas que eso va a funcionar así de fácil.
Irse por los cerros de Úbeda,Verbo pronominal + locución preposicional,Desviarse del tema principal al hablar,Cambiar de tema o hablar de cosas irrelevantes,C1,"Conversación, educación, debates","Coloquial, irónico","Origen andaluz, pero usada también en la Región de Murcia; referencia a evasión del tema",[ˈiɾ.se poɾ loh ˈθe.roh ðe ˈu.βe.ða],"Cada vez que le preguntas algo serio, se va por los cerros de Úbeda.",No te vayas por los cerros de Úbeda y contesta lo que te he dicho.,Hablábamos del examen y acabó por los cerros de Úbeda hablando de fútbol.
Estar hecho un cuadro,Perífrasis verbal pasiva + sustantivo,Estar desaliñado o en mal estado,Tener mal aspecto o estar en condiciones lamentables,B2,"Diario, humor","Coloquial, sarcástico","Frase hecha de uso peninsular, popular en el sureste",[eʰˈtaɾ ˈe.tʃo uŋ ˈkwa.ðɾo],"Después de la fiesta, estabas hecho un cuadro.",Te has vestido así para salir… estás hecho un cuadro.,"Con esa cara de sueño, estás hecho un cuadro."
Dar más vueltas que un trompo,Verbo + cuantificador + comparación,Moverse o hablar sin rumbo claro o dar demasiadas vueltas a algo,Andar sin dirección o complicar algo de forma innecesaria,B1,"Familiar, trabajo, humor",Coloquial,"Referencia al juguete tradicional 'trompo', girando sin parar",[daɾ ˈmaʰ ˈβwel.tah ke uŋ ˈtɾom.po],"Deja de darle vueltas, que das más vueltas que un trompo.",Esta mañana he dado más vueltas que un trompo para encontrar aparcamiento.,"No te líes tanto, que das más vueltas que un trompo."
No tener dos dedos de frente,Negación + verbo + complemento cuantitativo,Ser poco sensato o actuar sin lógica,Falta de sentido común,A2,"Educación, familiar, crítica","Coloquial, crítico",Expresión común en España con aceptación en Murcia,[no teˈneɾ ˈðoh ˈðe.ðoh ðe ˈfɾen.te],"No se te ocurre otra cosa que tocar cables mojados, no tienes dos dedos de frente.",Con esa decisión has demostrado que no tienes dos dedos de frente.,"De verdad, a veces parece que no tienes dos dedos de frente."
Salirse del tiesto,Verbo pronominal + preposición + sustantivo,Pasarse de los límites aceptables en una situación,Sobrepasar lo permitido o lo adecuado,B2,"Educación, política, familiar","Coloquial, crítico",Comparación con una planta que crece fuera de su tiesto,[saˈliɾ.se ðel ˈtjes.to],En esa reunión te saliste del tiesto con lo que dijiste.,"No quiero salirme del tiesto, pero eso no me parece correcto.",Siempre se sale del tiesto cuando hay cámaras delante.
Comerse el marrón,Verbo pronominal + sustantivo,Asumir una responsabilidad o castigo que no se desea,Cargar con una situación negativa,B2,"Trabajo, política, familia",Coloquial,Origen en argot juvenil de los 80; ‘marrón’ como problema,[koˈmeɾ.se ɛl maˈron],Al final me tuve que comer yo el marrón de explicar el fallo.,Siempre se come el marrón el que menos culpa tiene.,Nos comimos el marrón por culpa de su despiste.
Estar en la luna de Murcia,Verbo + preposición + artículo + sustantivo + complemento,"Estar distraído, desubicado o absorto",No prestar atención,A2,"Familiar, escolar","Coloquial, humorístico",Variante murciana del dicho ‘estar en la luna de Valencia’,[eʰˈtaɾ en la ˈlu.na ðe ˈmuɾ.θja],"Te he hablado tres veces y nada, estás en la luna de Murcia.",¡Eh! Baja ya de la luna de Murcia y céntrate.,"Como sigas en la luna de Murcia, vas a suspender el examen."
