Idiom (Ho),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ho)",First Example Sentence,Second Example Sentence,Third Example Sentence
ɖeŋa te ɓɔraŋ,"Fixed clause, verbal expression",To act without thinking; to rush into something impulsively,To make a hasty decision,B1,"Daily speech, humor","Colloquial, humorous",Originates from village anecdotes about reckless hunters chasing shadows,ˈɖeŋa te ˈɓɔraŋ,"Laka ɖeŋa te ɓɔraŋ, jono re mɛlaŋ ɓɛi.","Tani ɖeŋa te ɓɔraŋ ta, onol jomo re ɓɔi.","Hoda ɖeŋa te ɓɔraŋ, duku koɖa joro."
koŋa koŋa reŋ,Reduplicated noun phrase,To live luxuriously without care,"To live a carefree, lavish life",C1,"Family, humor, storytelling","Colloquial, poetic",Describes the sound of laughter and abundance during harvest festivals,ˈkoŋa ˈkoŋa reŋ,"Aɖa koŋa koŋa reŋ, bonga jaha tɔrɔm.","Joma koŋa koŋa reŋ, pɔte goɖe tɔra.","Hota koŋa koŋa reŋ, horɔ horɔ ɓɛra."
ɖɔm ɖɔm ɓɔ,Onomatopoetic fixed phrase,To be restless or impatient,To be unable to wait patiently,A2,"Daily speech, family, school","Colloquial, light",Imitates the sound of feet tapping while waiting,ˈɖɔm ˈɖɔm ɓɔ,"Rona ɖɔm ɖɔm ɓɔ, pɛna iɖi re.","Kari ɖɔm ɖɔm ɓɔ jona, hɔma tɔrɔŋ.","Tini ɖɔm ɖɔm ɓɔ, ɓɔka ɖɔrɔ ta."
boŋ ta neŋ,Verb phrase with negation particle,To be indifferent; to ignore someone or something,To show no concern,B2,"Daily speech, workplace, sarcasm","Colloquial, ironic",Commonly used in market banter implying aloofness or pride,boŋ ta neŋ,"Kora boŋ ta neŋ, loɖa rɔi re.","Tani boŋ ta neŋ, jɔm mɛɖɔ tɔra.","Aɖa boŋ ta neŋ, peŋe hɔra."
ɖɛl ɖɛl gɔra,Reduplicated adjective phrase,To be overly cautious or fearful,To hesitate too much,B1,"Family, workplace, humor","Colloquial, humorous",Derived from mimicry of a trembling hand before making a tough decision,ˈɖɛl ˈɖɛl gɔra,"Tani ɖɛl ɖɛl gɔra, koɖa iɖi re.","Hoda ɖɛl ɖɛl gɔra, goɖa ta roŋ.","Aɖa ɖɛl ɖɛl gɔra, pɔta neŋ ɓɔi."
soŋa ɓɔi re,"Verb phrase, reflexive",To regret an action deeply,To feel remorse,B2,"Family, storytelling, moral lessons","Formal, literary",Used in moral folktales warning against arrogance,ˈsoŋa ɓɔi re,"Aɖa soŋa ɓɔi re, rɔma ɖɔŋa jaha.","Laka soŋa ɓɔi re, jomo pɔte ɖɔra.","Hoda soŋa ɓɔi re, ɖɔlɔ ɖɔra ta."
pɔte hɔraŋ,Fixed noun phrase,To be boastful or proud,To act arrogantly,B1,"Daily speech, humor, youth slang","Colloquial, sarcastic",Refers to a rooster's proud strut; used metaphorically for humans,ˈpɔte hɔraŋ,"Kora pɔte hɔraŋ, hɔlɔ goɖa re.","Tani pɔte hɔraŋ, hɔra ɖɔŋ re.","Aɖa pɔte hɔraŋ, loɖa ɖɔra."
mɔlɔ nɛta,Verb phrase,To help selflessly,To offer genuine help,A2,"Community, family, moral lessons","Formal, noble",Used in proverbs emphasizing generosity during harvests,ˈmɔlɔ ˈnɛta,"Tani mɔlɔ nɛta, ɓɔraŋ hɔra re.","Hoda mɔlɔ nɛta, horɔ ɖɔra.","Aɖa mɔlɔ nɛta, pɔte tɔra."
ɖɔra iɖeŋ,Verb phrase,To work tirelessly,To work hard,A1,"Workplace, education, family","Formal, encouraging",Proverbial expression used by elders to praise industrious youth,ˈɖɔra iˈɖeŋ,"Tani ɖɔra iɖeŋ, hɔlɔ ɓɔraŋ ta.","Hoda ɖɔra iɖeŋ, jono re ɖɔŋa.","Aɖa ɖɔra iɖeŋ, jaha pɔte ɖɔra."
hoɖe ɖɔŋa reŋ,Adverbial fixed phrase,To speak boastfully or exaggerate one's deeds,To brag or exaggerate,B2,"Politics, workplace, humor","Colloquial, sarcastic",Rooted in traditional speeches by chiefs during public meetings,ˈhoɖe ˈɖɔŋa reŋ,"Tani hoɖe ɖɔŋa reŋ, horɔ neŋa.","Kora hoɖe ɖɔŋa reŋ, jono tɔra.","Aɖa hoɖe ɖɔŋa reŋ, bonga ɖɔra."
