Idiom (Lamani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lamani)",First Example Sentence,Second Example Sentence,Third Example Sentence
आग म तेल डालतो,Fixed verbal clause (NP + postpositional phrase + transitive verb),To intensify an already tense or problematic situation,स्थिति को और बिगाड़ना,B2,"Daily speech, family disputes, politics, humor","Colloquial, ironic",Derived from pastoral fire imagery common in nomadic Lamani camps,/aːg mə teːl ɖaːlto/,तू झगड़ामां आग म तेल डालतो क्यों है?,राजकारणमां ऊ हमेशा आग म तेल डालतो रहतो।,"घरमां छोटो विवाद हतो, पण ऊ आग म तेल डालतो गयो।"
दो नावमा पग राखणो,Infinitive verbal phrase with locative metaphor,To try to manage two conflicting sides at once,दोनों पक्षों को एक साथ संभालने की कोशिश करना,B2,"Politics, workplace, family decisions","Colloquial, cautionary",Metaphor from river-crossing culture along Godavari region,/do naːʋma pəg raːkʰəɳo/,तू दो नावमा पग राखणो बंद कर।,व्यापारमां दो नावमा पग राखणो खतरनाक होतो।,ऊ मित्रता अने राजनीति मां दो नावमा पग राखणो चाहतो।
माथा उपर जावो,Intransitive verb phrase with directional postposition,To go beyond understanding or tolerance,समझ से बाहर होना,B1,"Daily conversation, education, frustration contexts","Neutral, expressive",Traditional gesture-based idiom implying overflow beyond head level,/maːtʰa uːpər dʒaːʋo/,आ गणित तो मारा माथा उपर गयो।,इतली चर्चा माथा उपर जावे है।,तारा शब्द मारा माथा उपर जई गया।
हवा म बात करतो,Progressive verbal construction (metaphorical locative),To speak without substance or realism,हवा में बातें करना,B2,"Politics, sarcasm, debate","Ironic, sarcastic",Linked to oral debating traditions among itinerant Lamani traders,/həʋa mə baːt kərto/,ऊ नेता हवा म बात करतो रहयो।,खाली वादा करवा हवा म बात न कर।,तू तथ्य बिना हवा म बात करतो है।
मन कड़क राखणो,Imperative/reflexive structure (noun + adjective + infinitive),To remain mentally strong during hardship,हिम्मत बनाए रखना,B1,"Family advice, motivational speech, rural life","Encouraging, supportive",Rooted in resilience of nomadic Lamani survival culture,/mən kəɖək raːkʰəɳo/,मुश्किल समयमां मन कड़क राखणो जरूरी है।,"तू हार न मान, मन कड़क राख।",जीवन संघर्षमां मन कड़क राखणो सिख।
आंख म धूल झोंकणो,Causative verbal phrase (body part metaphor),To deceive someone deliberately,धोखा देना,C1,"Legal, politics, satire","Colloquial, critical",Metaphor from desert travel conditions affecting vision,/aːŋkʰ mə dʱuːl dʒʱoːŋkəɳo/,ऊ ग्राहकनी आंख म धूल झोंकणो चाहतो हतो।,जनतानी आंख म धूल झोंकणो पाप है।,मित्रता मां आंख म धूल झोंकणो योग्य नथी।
कान पर जूं न रेंगणो,Negative idiomatic clause (body-part subject metaphor),To ignore completely,कोई असर न होना,B2,"Family, workplace, complaint","Colloquial, humorous",From agrarian imagery of insects unnoticed on livestock,/kaːn pər dʒuːn nə reŋgəɳo/,इतलो बोल्यो पण तारा कान पर जूं न रेंगी।,समझावां छता कान पर जूं न रेंगती।,ऊ सलाह सुन्यो पण कान पर जूं न रेंगी।
हाथ खाली रह जावो,Intransitive resultative phrase,To end up with nothing after effort,खाली हाथ रह जाना,B1,"Business, family finance, cautionary tales","Neutral, reflective",Common among trading communities after failed transactions,/haːt kʰaːli rəh dʒaːʋo/,इतली मेहनत पाछे हाथ खाली रह गया।,जो सोच बिना निवेश करशो तो हाथ खाली रह जाशो।,लालचमां अंत मां हाथ खाली रह जावे।
दिल छोटो करनो,Causative idiomatic construction,To feel discouraged or emotionally hurt,दिल छोटा करना,A2,"Family, encouragement, friendship","Colloquial, empathetic",Emotion-centered metaphor common in Lamani folk songs,/dɪl tʃʰoʈo kərno/,नानी बात पर दिल छोटो न कर।,हार थी दिल छोटो करनो ठीक नथी।,ऊ आलोचना थी दिल छोटो कर गयो।
जुबान फिसल जावो,Intransitive reflexive metaphorical verb,To accidentally say something inappropriate,मुंह से गलती से निकल जाना,B2,"Formal meetings, humor, embarrassment","Neutral, situational",Linked to oral storytelling traditions where speech control mattered,/dʒubaːn fɪsəl dʒaːʋo/,बैठकमां मारी जुबान फिसल गी।,कभी-कभी मजाकमां जुबान फिसल जावे है।,"तू सावधान रह, जुबान फिसल न जावे।"
