Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
estar como agua pa' chocolate,Periphrastic construction with simile,To be extremely angry or furious,Estar muy enojado,B2,"Daily speech, family, emotional conflict","Colloquial, emotional","Influence from Mexican Spanish, adopted in Caribbean through literature and film",[eˈtaɾ ˈkomo ˈaɰwa pa ʧo.kɔˈla.te],"Después de lo que le dijeron, estaba como agua pa' chocolate.","Mira, fulana está como agua pa' chocolate porque le rayaron el carro.","Cuando vio las cuentas, se puso como agua pa' chocolate."
juyir como el diablo a la cruz,"Simile, verb phrase with comparison",To avoid something or someone at all costs,Evitar completamente,C1,"Humor, sarcasm, everyday speech","Colloquial, sarcastic","Religious imagery from Catholicism, common in Caribbean vernacular",[xuˈʝiɾ ˈkomo el ˈdjaβlo a la ˈkɾus],Ese tipo juyó como el diablo a la cruz cuando vio a su ex.,"Cada vez que hay trabajo extra, juyen como el diablo a la cruz.",Los políticos juyen como el diablo a la cruz de las preguntas difíciles.
estar pela'o,Periphrastic expression with past participle adjective,To be broke or out of money,No tener dinero,A2,"Daily speech, finance, youth slang",Colloquial,Derived from the image of being stripped of possessions; widely used in urban PR,[esˈtaɾ peˈla.o],"No puedo salir hoy, estoy pela'o.",Después del jangueo quedé pela'o.,Cada quincena estoy pela'o otra vez.
irse por el chorro,Reflexive verb phrase with prepositional modifier,"To be wasted, lost, or go down the drain",Desperdiciarse,B1,"Finance, politics, everyday setbacks","Colloquial, ironic",Refers to old plumbing or wasted water; symbolizes failure,[ˈiɾse poɾ el ˈʧoro],Todo el esfuerzo se fue por el chorro.,El presupuesto del gobierno se va por el chorro.,"Si no estudias, ese semestre se te va por el chorro."
tirar la toalla,Verb phrase with object noun,To give up or surrender,Rendirse,B1,"Sports, motivation, workplace",Neutral,"Boxing metaphor, popularized in PR due to sports culture",[tiˈɾaɾ la toˈa.ʝa],"Después de tantos intentos, tiró la toalla.","No tires la toalla todavía, falta poco.","Cuando lo botaron, decidió tirar la toalla."
comerse un cable,Reflexive verb phrase,To go through a period of economic hardship or unemployment,Pasar necesidad,B2,"Daily speech, humor, economy","Colloquial, humorous",Street slang alluding to having nothing to eat but a cable,[koˈmeɾse un ˈka.βle],"Desde que lo votaron, está comiéndose un cable.",Aquí todo el mundo se ha comido un cable en algún momento.,En enero siempre se come uno un cable después de tanto gastar.
más perdido que un juey bizco,Comparative phrase with idiomatic noun phrase,To be completely lost or disoriented,Estar muy desorientado,B1,"Humor, everyday speech, sarcasm","Colloquial, humorous, ironic",A juey (land crab) moves sideways; being cross-eyed adds to confusion,[mas peɾˈdiðo ke un ˈxwei ˈβis.ko],Estás más perdido que un juey bizco en esa reunión.,"Cuando llegó a la uni, estaba más perdido que un juey bizco.",Yo en matemáticas estoy más perdido que un juey bizco.
tiene un guille brutal,Verb phrase with noun modifier,To act conceited or think highly of oneself,Ser arrogante,B2,"Youth slang, sarcasm, social critique","Colloquial, sarcastic",‘Guille’ is local slang for arrogance or exaggerated self-perception,[ˈtjene un ˈɡi.ʝe βɾuˈtal],Ese nene tiene un guille brutal desde que ganó el premio.,"¡Muchacha, qué guille se da él con ese carro!",Tiene un guille brutal solo por saber inglés.
estar al garete,Verb phrase with prepositional idiom,"To be disorganized, out of control, or wild",Estar descontrolado o sin dirección,B1,"Daily speech, youth culture, critique","Colloquial, informal","Originally nautical; a boat adrift at sea, adopted metaphorically in PR",[esˈtaɾ al ɡaˈɾe.te],Esa fiesta estuvo al garete.,Mi vida está al garete este semestre.,Todo está al garete desde el cambio de jefe.
hacerse el loco,Reflexive verb phrase with definite article and adjective,To play dumb or pretend not to know,Fingir ignorancia,B1,"Politics, family, humor, everyday speech","Colloquial, sarcastic",Used across Latin America but very popular in PR especially in political critique,[aˈseɾse el ˈlo.ko],"Cuando le pregunté por el dinero, se hizo el loco.",Se hace el loco cuando le toca fregar.,Los políticos se hacen los locos cuando hay que responder.
