Idiom (Libyan Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Libyan Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
ينفخ في قربة مقطوعة,"Present tense verb phrase, idiomatic metaphor",يبذل مجهود في حاجة ما تنجحش أو ما فيهاش فايدة,يضيع وقته في شيء غير مجدي,B2,الحياة اليومية، التعليم، الشغل,عامي، ساخر,من الأمثال الشعبية اللي تدل على المحاولة الفاشلة,/jinfuχ fi ɡirba maqṭuːʕa/,قاعد ينصح فيه، لكن يحس كأنه ينفخ في قربة مقطوعة.,تحاول تقنعه، لكنك تنفخ في قربة مقطوعة.,كل مرة نقول بنبدى رياضة، بس نعرف إني ننفخ في قربة مقطوعة.
حط في بطنك بطيخة صيفي,"Imperative phrase, colloquial imperative",اطمئن وخلي بالك مرتاح,لا داعي للقلق، الأمور بخير,B1,الأسرة، الحياة الاجتماعية,عامي، فكاهي,بسبب حب الليبيين للبطيخ، والتعبير يعطي شعور بالراحة,/ħəṭ fi ḅaṭnək ḅəṭiːχa ṣːeːfiː/,ما تخافش من الامتحان، حط في بطنك بطيخة صيفي.,المشكلة اتحلت، حط في بطنك بطيخة صيفي.,نقوله دايمًا، حط في بطنك بطيخة صيفي ومتقلقش.
دارها على سبة,"Verb phrase, metaphorical passive voice",ارتكب فعل أو قرار وعزاه لسبب شكلي أو وهمي,أوجد عذر غير حقيقي لتصرفه,C1,العمل، السياسة، النقد,عامي، ساخر، سياسي,دارها بمعنى قام بالفعل، 'سبة' تعني العذر أو السبب,/daːrha ʕala səbba/,قال ما جا للعمل لأنه مريض، لكن دارها على سبة.,غير الشغل وقال إنها فرصة أحسن، دارها على سبة.,خرب العلاقة وقال السبب منهم، دارها على سبة.
زي النحلة، ما تقرش إلا اللي يضايقها,Simile with negation and conditional clause,شخص ما يردش إلا إذا حد أذاه,يرد فقط عند الاستفزاز,B2,الأسرة، الحوار، النصائح,عامي، أدبي، توعوي,تمثل النحلة كشخصية دفاعية لا هجومية,/ziː ənnaħla ma tigriʃ illa lli jːḍaːjəɡha/,فلان ما يردش، لكن زي النحلة، ما تقرش إلا اللي يضايقها.,هي مسالمة، لكن زي النحلة، تقرش وقت الحاجة.,ولدنا طيب، بس زي النحلة ما يحبش الاستفزاز.
ديره في جيبك الصغير,"Imperative idiom, possessive clause",تحكم فيه بالكامل، سهل السيطرة عليه,تقدر تتصرف فيه بسهولة,B1,العمل، السوق، الحوار,عامي، ساخر، تحكّمي,تصور مبالغ في السيطرة، الجيب الصغير كناية عن التحكم,/diːra fi ʒeːbək əsːɣiːr/,الزبون راه ساهل، ديره في جيبك الصغير.,هو يصدق أي شيء، ديره في جيبك الصغير.,حصلت عليه العرض، ديره في جيبك الصغير.
ما يفكك من الحديد إلا الحديد,Fixed proverb with contrastive clause,القوة لا تُهزم إلا بقوة مثلها,تحتاج وسيلة بنفس مستوى التحدي لحله,C1,السياسة، الشغل، الصراعات,شعبي، أدبي، حكيم,من الموروث الثقافي عن مقاومة التحديات,/ma jəfukkək men əlħdiːd illa əlħdiːd/,هو عنيد، وما يفكك من الحديد إلا الحديد.,الصعوبات واجهناها بقوة، لأن ما يفكك من الحديد إلا الحديد.,عندك خصم قوي، لازم ترد، ما يفكك من الحديد إلا الحديد.
يلعب على الحبلين,"Verb phrase, metaphor, present continuous",يتلاعب بطرفين لتحقيق مصالحه,يتعامل مع جهتين بنفاق,C2,السياسة، العلاقات، السوق,ساخر، نقدي,صورة حركية لبهلوان يتلاعب بحبلين,/jiʕləb ʕala əlħabːleːn/,هو مع الاثنين؟ أكيد، يلعب على الحبلين.,دايمًا تحسه مراوغ، يلعب على الحبلين.,في الشغل، يلعب على الحبلين باش يرضي الجميع.
خيطها وخيطها,"Imperative reduplication, metaphorical usage",رتّب الأمور بدون كشف التفاصيل,سير الموضوع من غير إزعاج,B1,العمل، الأسرة، العلاقات,عامي، مرح، فني,تشير لحياكة المواقف كما تُخاط الثياب,/χejjətːha w χejjətːha/,صار فيه سوء تفاهم؟ خيطها وخيطها.,الأمور ماشية تمام، خيطها وخيطها.,حتى لو زعلت، خيطها وخيطها وانتهى الموضوع.
قاعد يحلب في قربة مشقوقة,"Progressive verb phrase, metaphor",يشتغل بدون نتيجة بسبب خلل أساسي,يضيع وقته في شيء فاشل,B2,الشغل، الإدارة، التعليم,عامي، تهكمي,الصورة مأخوذة من الفلاحة، الحلب دون جدوى,/ɡaʕəd jiħləb fi ɡirba mʃaqquːqa/,يكتب تقارير يومية؟ قاعد يحلب في قربة مشقوقة.,مشروعهم خاسر، كأنهم يحلبوا في قربة مشقوقة.,الحلول غير فعالة، يحلب في قربة مشقوقة.
عينك ميزانك,Imperative with metaphorical focus on perception,كن دقيقًا في تقييمك للأمور,انتبه وتحقق بنفسك,A2,السوق، الطبخ، العلاقات,عامي، شعبي,متداولة في السوق والطبخ لتحديد الكميات بدقة,/ʕajnek miːzaːnek/,مافيش ميزان؟ عينك ميزانك.,حتى في العلاقات، عينك ميزانك.,في الشغل، لازم عينك ميزانك قبل التوقيع.
