Idiom (Mewari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mewari)",First Example Sentence,Second Example Sentence,Third Example Sentence
आँखां में धूळ झोंकणी,Fixed verbal phrase with locative postposition “में” plus compound verb “झोंकणी”; transitive idiomatic construction.,"To deceive someone by hiding the truth, especially through clever words or appearances.",किसी ने धोखो देवो या साँच बात छुपावो।,B2,daily speech; family disputes; business dealings; politics; warnings,"colloquial, cautionary, mildly accusatory","Linked to dusty rural roads and market settings of Mewar, where dust in the eyes makes clear seeing impossible; metaphorically, it marks deliberate deception.",/ɑ̃ːkʰɑ̃ meː d̪ʱuːɭ ʒʱoːkɳiː/,"मेला में व्यापारी मीठी बातां करै, पण भाव में आँखां में धूळ झोंकणी ठीक नीं।","गाँव रा लोगां सूं आँखां में धूळ झोंकणी करसी, तो भरोसो फेर कदे नीं आवे।",कागदां में आंकड़ा बदल के आँखां में धूळ झोंकणी बड़ी खराब बात है।
नाक ऊँची राखणी,Fixed object-complement verb phrase; noun “नाक” plus adjective “ऊँची” plus causative/maintaining verb “राखणी”.,"To preserve honour, dignity, and social reputation through worthy conduct.",अपणो मान-सम्मान बचावो।,B1,family; ceremonies; education; workplace; community praise,"colloquial to formal, respectful, pride-bearing","In Mewar, the nose is a symbolic marker of honour; keeping it high reflects family prestige, courage, and ethical public behaviour.",/nɑːk uːnt͡ʃiː rɑːkʰɳiː/,"छोरी ने परीक्षा में नाम रोशन कर्यो, घर री नाक ऊँची राखणी।","मेहमानां आगै मीठो बोलजो, आपां री नाक ऊँची राखणी है।",किसान ने ईमानदारी सूं सौदो कर्यो अर गाँव री नाक ऊँची राखणी।
कान में तेल घाल कै बैठणो,Complex idiomatic clause; locative body-part phrase plus instrumental action “तेल घाल कै” and intransitive verb “बैठणो”.,"To ignore advice, warnings, or urgent matters as if one cannot hear them.",जान-बूझकर बात नीं सुनवी।,B2,scolding; parenting; workplace; public safety; humorous complaint,"colloquial, sarcastic, reproachful",Oil in the ear evokes deliberate deafness; elders use it humorously or sharply when someone ignores repeated warnings.,/kɑːn meː t̪eːl ɡʱɑːl kɛː bɛʈʰɳoː/,"माँ तीन वार बोली, पण बालक कान में तेल घाल कै बैठो रह्यो।",सरपंच री चेतावणी बाद भी लोग कान में तेल घाल कै बैठा रहा।,"काम री तारीख नजदीक है, अब कान में तेल घाल कै बैठणो चालसी नीं।"
ऊँट रा मुँह में जीरो,"Noun phrase idiom with genitive marker “रा”, locative “मुँह में”, and diminutive food item; verbless metaphorical construction.",An amount so small that it is insufficient for the need.,जरूरत री तुलना में बहुत थोड़ी मात्रा।,B1,food; money; resources; agriculture; household budgeting,"colloquial, humorous, evaluative","Camels are familiar in Rajasthan’s ecology; cumin is tiny, so the image humorously contrasts a large appetite with a negligible supply.",/uːɳʈ rɑː mũːh meː d͡ʒiːroː/,इतरा मेहमानां वास्ते आटू ऊँट रा मुँह में जीरो है।,पांच हजार रुपया सूं दुकान चालावणो ऊँट रा मुँह में जीरो निकळ्यो।,सूखा खेतां वास्ते यो पानी ऊँट रा मुँह में जीरो बराबर है।
घर री मुर्गी दाल बराबर,Equative nominal sentence with genitive “री” and comparison “बराबर”; proverb-like fixed expression.,People often undervalue what is familiar or available at home.,घर री चीज या अपणा आदमी री कदर नीं करवी।,B2,family; talent recognition; local culture; education; workplace,"proverbial, ironic, reflective","Common across Rajasthani-Hindi speech zones; in Mewari, it often comments on ignoring local skill while praising outsiders.",/ɡʱər riː mʊrɡiː d̪ɑːl bərɑːbər/,"हमरो गायक शहर में वाह-वाह लेवे, पण गाँव में घर री मुर्गी दाल बराबर समझे।","दादी री दवाई पर भरोसो नीं, बाहर री गोली चाहिये; घर री मुर्गी दाल बराबर।","अपणा कारीगर ने मौका दो, हमेशा घर री मुर्गी दाल बराबर मत मानो।"
ढोल रो पोल खोलणो,Fixed verb phrase; noun phrase “ढोल रो पोल” as object plus transitive verb “खोलणो”.,"To expose hidden weakness, fraud, or hypocrisy behind a loud claim.",छुपी खामी या झूठ सब आगै बतावो।,C1,politics; satire; journalism; workplace accountability; public debate,"colloquial, ironic, critical","Drums sound grand from outside, but their hollow body suggests emptiness; the idiom suits Mewar’s oral satire and folk performance tradition.",/ɖʱoːl roː poːl kʰoːɭɳoː/,लेखा जांच आवतां ही ठेकेदार रा ढोल रो पोल खुल गयो।,पत्रकार ने सभा में मीठा वादा करणारां रो ढोल रो पोल खोल्यो।,"बिना काम री शेखी मारसी, तो एक दिन ढोल रो पोल जरूर खुलसी।"
पग पग पर काँटा बिछेलो,Adverbial repetition “पग पग” plus locative postposition “पर” and passive participial adjective “बिछेलो”.,To face obstacles at every step in a difficult situation.,हर जगह कठिनाई आववी।,B2,struggle narratives; migration; farming; bureaucracy; exams,"literary-colloquial, empathetic, serious",Walking is a central metaphor in desert and hill landscapes; thorns evoke the physical hardships of rural paths and metaphorical hardship.,/pəɡ pəɡ pər kɑ̃ːʈɑː bɪt͡ʃʰeːloː/,नौकरी ढूंढता छोरा रा पग पग पर काँटा बिछेला मिला।,बरसात बिना किसान रा पग पग पर काँटा बिछेलो रह्यो।,नवा शहर में भाषा नीं आवे तो पग पग पर काँटा बिछेलो लागे।
माटी री खुशबू भूल जाणी,Metaphorical verb phrase; genitive noun phrase “माटी री खुशबू” as object plus compound verb “भूल जाणी”.,"To forget one’s roots, homeland, values, or cultural identity after moving up socially.","अपणी जड़, गाँव, रीति-रिवाज या पहचान भूल जावो।",C1,diaspora; cultural criticism; family advice; literature; social mobility,"poetic, reflective, mildly critical","Mewar’s agrarian identity gives soil emotional force; the phrase frames homeland as smell, memory, and moral belonging.",/mɑːʈiː riː kʰʊʃbuː bʱuːl d͡ʒɑːɳiː/,"बड़ो अफसर बन्यो, पण माटी री खुशबू भूल जाणी ठीक बात नीं।","विदेस रहो, खूब सीखो, पर माटी री खुशबू भूल जासो तो मन खाली रहसी।",कवि री पंक्ति सुनता ही शहरिया बालक ने माटी री खुशबू याद आ गी।
हाथ पर हाथ धर कै बैठणो,Serial action idiom; repeated body-part noun phrase plus conjunctive participle “धर कै” and intransitive verb “बैठणो”.,To remain inactive when action is needed.,कुछ करवा बिना खाली बैठो रहवो।,B1,workplace; crisis response; farming; household tasks; public service,"colloquial, corrective, urgent",The folded or idle hands image is widely understood in Mewar as a contrast to hardworking rural expectations.,/hɑːtʰ pər hɑːtʰ d̪ʱər kɛː bɛʈʰɳoː/,"आग लागी है, हाथ पर हाथ धर कै बैठणो नीं, पानी ल्यावो।",फसल सूख री है अर तूं हाथ पर हाथ धर कै बैठो है।,"समिति ने हाथ पर हाथ धर कै बैठणो छोड़्यो, तब गाँव रो काम आगै बढ़्यो।"
जिभ पर लगाम राखणी,Metaphorical verb phrase; locative body-part noun “जिभ पर” plus object “लगाम” and maintaining verb “राखणी”.,"To control one’s speech and avoid rude, careless, or excessive words.",बोल चाल में संयम राखवो।,B2,family conflict; diplomacy; workplace; teaching; public speaking,"colloquial-formal, advisory, moralizing",Horse and camel reins are familiar in Rajasthan; controlling the tongue like reins reflects restraint valued in elders’ advice.,/d͡ʒɪbʱ pər ləɡɑːm rɑːkʰɳiː/,"बड़ों आगै जिभ पर लगाम राखणी सीख, बात री मर्यादा रहसी।",बैठक में गुस्सो आवे तो भी जिभ पर लगाम राखणी जरूरी है।,नेता जिभ पर लगाम राखे तो झगड़ो आधो थई जावे।
