Idiom (Burkinabe French),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Burkinabe French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Il fait son marché la nuit,"Fixed clause, present tense","Il agit en cachette, souvent pour des raisons douteuses",Il fait des choses en secret,B2,"politics, workplace, gossip","colloquial, ironic",Allusion aux pratiques commerciales nocturnes pour éviter le regard public,il fɛ sɔ̃ maʁʃe la nɥi,"Depuis qu’il a été nommé, il fait son marché la nuit.","Tu vois, ce genre de ministre fait toujours son marché la nuit.",Ils font leur marché la nuit au lieu d’agir en toute transparence.
Avoir la bouche pleine de mil,Infinitive verb phrase,Être réticent à parler franchement ou à dire la vérité,Hésiter à parler,B1,"daily speech, family, interpersonal conflict",colloquial,"Référence au mil, aliment de base qui remplit la bouche et empêche de parler",avwaʁ la buʃ plɛn də mil,Pourquoi tu as la bouche pleine de mil quand il faut dire les choses ?,Elle avait la bouche pleine de mil pendant toute la réunion.,On dirait qu’il a toujours la bouche pleine de mil quand il est stressé.
Les cauris ne tombent pas du ciel,Negative clause with modal implication,L’argent ne vient pas facilement ; il faut travailler,Il faut travailler pour avoir de l’argent,A2,"family, work, finances, education","proverbial, didactic",Cauris étaient une monnaie ancienne ; sagesse transmise oralement,le koʁi nə tɔ̃d pa dy sjɛl,"Mon fils, retiens que les cauris ne tombent pas du ciel.","Les cauris ne tombent pas du ciel, il faut bosser dur.","Même chez les riches, les cauris ne tombent pas du ciel."
Danser comme une chèvre mouillée,"Simile, verbal expression",Danser de façon désordonnée ou ridicule,Mal danser,A2,"humor, family, daily speech","colloquial, humorous",Image animalière locale ; chèvres désorientées sous la pluie,dɑ̃se kɔm yn ʃɛvʁə muje,Il dansait comme une chèvre mouillée à la fête du village.,"Chaque fois qu’il boit, il danse comme une chèvre mouillée.",Même sa sœur danse comme une chèvre mouillée !
Manger le riz avec ses oreilles,"Hyperbolic clause, action verb",Ne pas comprendre ce qu’on entend,Être inattentif ou incompréhensif,B1,"classroom, humor, family, correction","colloquial, sarcastic",Expression burkinabè liée aux habitudes de repas partagés,mɑ̃ʒe lə ʁi avɛk sɛz‿ɔʁɛj,Tu manges le riz avec tes oreilles ou quoi ?,Il mangeait le riz avec ses oreilles pendant toute la leçon.,Encore en train de manger le riz avec ses oreilles celui-là !
Courir après son ombre,"Infinitive clause, reflexive metaphor",Poursuivre un but impossible ou illusoire,Perdre son temps avec quelque chose d’inatteignable,C1,"philosophy, literature, workplace","literary, ironic",Présent dans les contes pour illustrer la vanité humaine,kuʁiʁ apʁɛ sɔ̃ ɔ̃bʁ,Il passe sa vie à courir après son ombre.,"Croire qu’il va changer, c’est courir après son ombre.",On dirait qu’elle court après son ombre avec ce projet.
Faire le lézard au soleil,"Fixed clause, habitual aspect",Être paresseux ou éviter le travail,Se reposer sans raison ou par paresse,A2,"daily speech, workplace, family","colloquial, humorous",Comportement des lézards au soleil dans les zones sahéliennes,fɛʁ lə lezaʁ o sɔlɛj,"Depuis ce matin, il fait le lézard au soleil.","Arrête de faire le lézard au soleil, viens aider !",Encore en train de faire le lézard au soleil comme d’habitude.
Tourner comme une calebasse vide,"Simile, progressive verb phrase",Être désorienté ou confus,Agir sans but clair,B1,"family, daily speech, youth slang","colloquial, poetic","La calebasse vide roule facilement au vent, image très parlante au Sahel",tuʁne kɔm yn kaləbas vid,Tu tournes comme une calebasse vide depuis ce matin !,Il tournait comme une calebasse vide après le départ de son frère.,"Sans plan, on finit par tourner comme une calebasse vide."
Être dans le vent de la saison sèche,Prepositional metaphor,Être pris dans une situation difficile ou pleine de tensions,Traverser une période difficile,C2,"politics, economics, literature","formal, poetic","Le vent de la saison sèche (Harmattan) est rude et agressif, métaphore pour la dureté de vie",ɛtʁ dɑ̃ lə vɑ̃ də la sɛzɔ̃ sɛʃ,Le pays est dans le vent de la saison sèche depuis deux ans.,Ce couple traverse vraiment le vent de la saison sèche.,Son entreprise est tombée dans le vent de la saison sèche.
Avoir la tête comme une marmite fendue,Comparative clause with possessive,Être très confus ou mentalement surchargé,Avoir trop de pensées ou de soucis,B2,"daily speech, education, stress, family","colloquial, sarcastic",La marmite fendue ne garde pas l’eau ; image de l’esprit qui fuit ou ne retient rien,avwaʁ la tɛt kɔm yn maʁmit fɑ̃dy,"Avec tous ces devoirs, j’ai la tête comme une marmite fendue.",Il parle comme s’il avait la tête comme une marmite fendue.,Sa tête est comme une marmite fendue quand il est stressé.
