Idiom (Wakandan),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Wakandan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Intaka yakha isidlo sayo kusasa,"Fixed clause, subject-verb-object",One must prepare early to succeed,Start work early to be successful,B1,"Daily speech, work, family","Colloquial, proverbial",Traditional rural saying highlighting productivity,/iⁿtakʼa jakʼa isidlo sajo kusasa/,"Intaka yakha isidlo sayo kusasa, masiqale umsebenzi ngoku.",Umama uhlala esithi intaka yakha isidlo sayo kusasa.,Abafundi bakhunjuzwa ukuba intaka yakha isidlo sayo kusasa.
Umthi ugotywa uselula,Fixed clause with passive verb,Teach and shape children while they are young,Educate children early in life,A2,"Education, family, parenting","Colloquial, proverbial",Agricultural metaphor comparing young trees to children,/um̩tʰi uɡotʼwa uselula/,"Umthi ugotywa uselula, ngoko kufuneka sifundise abantwana.",Umakhulu uthetha njalo: umthi ugotywa uselula.,Imfundo ibalulekile kuba umthi ugotywa uselula.
Akukho qili lazikhotha emhlana,"Negative clause, fixed structure",No trickster escapes their own deception,Every liar is eventually caught,B2,"Politics, morality, humor","Colloquial, ironic",Moral warning used in community settings,/akʼuʰɔ qʼili laziːkʼʰɔtʼa em̩ɬana/,"Akukho qili lazikhotha emhlana, yiyo loo nto kufuneka sibe nyanisekileyo.",Umphathiswa uthe akakho qili lazikhotha emhlana.,Abantwana bafundiswa ukuba akukho qili lazikhotha emhlana.
Inja yakwaNondaba iyaluma xa inganako,Conditional clause,People lash out when they feel powerless,Weak people often act aggressively,C1,"Politics, social commentary","Ironic, colloquial",Rural idiom reflecting social struggles,/iɲa jakʼwa nondaba ijaluma ʃa iŋanako/,"Inja yakwaNondaba iyaluma xa inganako, kufuneka siyithobe imvakalelo.",Bathi inja yakwaNondaba iyaluma xa inganako.,Inkcoko ibonise ukuba inja yakwaNondaba iyaluma xa inganako.
Amagqabantshintshi awenzi nzulu,Fixed negative clause,Superficial talk is not deep understanding,Small talk doesn’t equal real knowledge,B2,"Academia, workplace, humor","Formal, ironic",Common in scholarly and critical contexts,/amaɡʼabantʃʼintʃʼi awenziː ndzulu/,"Amagqabantshintshi awenzi nzulu, sifuna ubungqina.",Umfundisi uthe amagqabantshintshi awenzi nzulu.,"Kwiingxoxo zoshishino, amagqabantshintshi awenzi nzulu."
Ubuso obuhle abugcini ndlu,Fixed negative clause,Physical beauty does not keep a household together,Beauty is not enough to sustain a family,C1,"Family, morality, advice","Proverbial, colloquial",Used in family and marriage discussions,/ubuso obuʰɬe abutʃʼini ndlu/,"Ubuso obuhle abugcini ndlu, kufuneka kube nothando.",Abadala bathi ubuso obuhle abugcini ndlu.,"Umfazi wathi, ubuso obuhle abugcini ndlu."
Inkomo ingazala ingqanawe,Fixed clause with metaphorical subject,Great things can come from humble beginnings,Small beginnings can lead to greatness,B2,"Inspiration, work, education","Colloquial, poetic",Traditional rural wisdom,/iŋkomo iŋazala iŋǃanawe/,"Inkomo ingazala ingqanawe, masibe nethemba.",Umfundisi uthe inkomo ingazala ingqanawe.,Kwimidlalo bathi inkomo ingazala ingqanawe.
Isono sihamba nomntu,Fixed clause with subject-verb-object,One cannot escape the consequences of their sins,Everyone carries their own burdens,C1,"Religion, morality, family","Formal, religious",Christian influence in Wakandan expressions,/isono sihambʼa nomntu/,"Isono sihamba nomntu, akukho kubaleka.",Umfundisi wathi isono sihamba nomntu.,Kwintlanganiso yecawa bathi isono sihamba nomntu.
Ungalahlwa yintloko kuba iluphu,Negative clause with metaphor,Do not underestimate someone for their appearance,Don’t judge someone by how they look,B1,"Daily life, family, advice","Colloquial, proverbial",Traditional wisdom reflecting humility,/uŋalahlʼwa jintloko kuba ilupʰu/,"Ungalahlwa yintloko kuba iluphu, jonga izenzo zakhe.",Abadala bathi ungalahlwa yintloko kuba iluphu.,Umama wayehlala esithi ungalahlwa yintloko kuba iluphu.
Ugxwala ludla ingqondo,Fixed clause with subject-verb-object,Jealousy consumes rational thought,Jealousy clouds judgment,C2,"Family, relationships, humor","Colloquial, ironic",Widely used to explain destructive emotions,/uɡʼwala ludla iŋɡʼondozi/,"Ugxwala ludla ingqondo, kufuneka sibekezele.",Abahlobo bathi ugxwala ludla ingqondo.,Umfazi wathi ugxwala ludla ingqondo.
