Idiom (Aymara),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Aymara)",First Example Sentence,Second Example Sentence,Third Example Sentence
Qhichhuñaniwa,Fixed verb phrase; reflexive structure,To get angry or upset suddenly,To become angry,B1,"Daily speech, family, emotions",Colloquial,Derived from ‘qhichhuña’ meaning to twist or strain; common in rural Aymara communities around Lake Titicaca,[qʰit͡ʃʰuɲaniwa],Jach’a tata qhichhuñaniwa ukham jiskt’asina.,"Nayaxa qhichhuñaniwa, kunatsa sapxiristi.","Qamaxa qhichhuñaniwa, mä jach’a aruxa ist’asiwa."
Kuntur jamach’iwa,Fixed clause; noun + verb structure,Someone who observes everything but acts rarely,"An observer, not a doer",B2,"Proverbs, workplace, politics","Ironic, reflective","Refers to the condor, sacred bird that sees far; symbolizes wisdom and distance in Andean culture",[kuntur xamat͡ʃʰiwa],"Jupaxa kuntur jamach’iwa, janipuni luraña munani.",Kuntur jamach’iwa ukhamarakiwa jach’a amuyt’ata.,"Nayax sapxarakiwa, kuntur jamach’iwa ukham uñt’ata."
Ch’iyar phaxsiwa,Fixed noun phrase with metaphorical use,A dark or difficult time in life,A bad period,B2,"Emotional, poetic, life reflections","Poetic, melancholic","Refers to the ‘black moon’, a metaphor for hardship; used in Aymara poetry",[t͡ʃʰiʎar pʰaxsiwa],Jupax ch’iyar phaxsiwa qhiparakiwa.,"Ch’iyar phaxsiwa, ukham sasaw nayarusa pasawayxi.",Wawanakaxa ch’iyar phaxsiwa uñjasipxi.
Jach’a aruxa janiw janiñakiti,Clause with negation; complex predicate,Words have power and must be respected,Words are powerful,C1,"Teaching, philosophy, culture","Formal, reflective","Ancient Aymara belief in ‘aruxa’, sacred speech energy",[xat͡ʃʰa aruʃa xanij xanijakiti],"Jach’a aruxa janiw janiñakiti, ukham yatiña wakisiwa.",Awichanakax sapxapxarakixa: jach’a aruxa janiw janiñakiti.,"Tata Felipex arsupxaraki, jach’a aruxa janiw janiñakiti."
Tunka pusi phaxsinakampi sarantaña,Clause; verbal idiom with adverbial phrase,To wander endlessly or without purpose,To travel for a long time,B2,"Travel, life stories, humor","Colloquial, narrative",Refers to long pilgrimage across Aymara months; symbolic of life’s journey,[tuŋka pusi pʰaxsinakampi sarantaɲa],Jupaxa tunka pusi phaxsinakampi sarantaniwa.,"Saraqta, tunka pusi phaxsinakampi sarantañataki.",Nayaxa tunka pusi phaxsinakampi sarantaña munta.
Wawanakaru purintaniwa,Verb phrase; causative-reflexive form,To influence or educate the young,To teach children,A2,"Education, family, community","Formal, respectful",Aymara communal upbringing; reflects collective education values,[wawanakaɾu puɾintaniwa],Jach’a mamaxa wawanakaru purintaniwa.,Jilpachaxa wawanakaru purintaniwa ukham yatiña.,Nayaxa wawanakaru purintaniwa sapxarakta.
Llamay phuqhasiwa,Verb phrase; intransitive structure,To achieve something after long patience,Success after effort,B2,"Work, perseverance, advice","Encouraging, moralistic",Refers to the patience of llamas; endurance as virtue,[ʎamai pʰuqsasiwa],"Llamay phuqhasiwa, ukhamax sarnaqäwiwa.",Jupaxa llamay phuqhasiwa ukhamaw sapxi.,"Llamay phuqhasiwa, janiw mayjt’añäkiti."
Ch’uñu ukhamäña,Fixed simile; noun phrase with comparative structure,To become emotionally cold or distant,To lose warmth or affection,B2,"Relationships, emotions, daily speech","Colloquial, ironic",Ch’uñu (freeze-dried potato) symbolizes loss of warmth or vitality,[t͡ʃʰuɲu uxamæɲa],Jupax ch’uñu ukhamäxiwa nayampi.,"Arux janiw utjkiti, ch’uñu ukhamäxiwa.",Munasiñaxa ch’uñu ukhamäxiwa.
Qullqi jach’a umawa,Nominal phrase; metaphorical expression,Money flows like water; used for excessive spending,Spending a lot of money,C1,"Economy, sarcasm, daily speech","Ironic, sarcastic",Old proverb from mining regions of Potosí and Oruro,[qullqi xat͡ʃʰa umawa],"Qullqi jach’a umawa, janiw qhispiykiti.",Anqha uruxa qullqi jach’a umawa ukhamaraki.,Wilanaka qullqi jach’a umawa sapxi.
Amuyt’añaniwa chhijllañataki,Clause with purposive suffix; complex structure,To think carefully before choosing or deciding,To decide wisely,C2,"Politics, decision-making, education","Formal, advisory",Reflects Aymara value of deliberation (‘amuyt’aña’ = to think) before community decisions,[amujtaɲaniwa t͡ʃʰiʎlaɲataki],"Amuyt’añaniwa chhijllañataki, jan ukax pantjasiñawa.","Jilatanaka, amuyt’añaniwa chhijllañataki.","Aka pachaxa, amuyt’añaniwa chhijllañataki sapxarakiwa."
