Idiom (Ga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ga)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tutsɔfa kɛ la yeee.,Fixed negative declarative clause; compound noun subject plus comitative coordination and stative negative predicate.,"Two people, ideas, or conditions are naturally incompatible and should not be forced together.",Nɔ̃ŋmɛi nɛɛ enyɔ lɛ enyɛɛ akɛ ahã mli.,B2,"Conflict mediation, politics, marriage advice, workplace team selection, cautionary speech.","Colloquial but wise; cautionary, serious, slightly poetic.",Draws on everyday knowledge of fire and gunpowder in coastal trading and household safety; often used by elders to warn against dangerous combinations.,/tùtsɔ́fà kɛ̀ là jéː/,"Mɛni amɛkɛ amɛtsu lɛ, tutsɔfa kɛ la yeee.","Kɛ wòkɛ blɔmɔ nɛɛ ba asafo lɛ mli lɛ, tutsɔfa kɛ la yeee.","Mɛɛtsɛ bo akɛ okɛ no mliŋgbɛ lɛ nɔ fɛɛ lɛ, tutsɔfa kɛ la yeee."
Ka foo loflo.,"Fixed negative proverb clause; animal noun subject, habitual verb, and object complement.","People often show the character, habits, or lineage of where they come from.",Bi lɛ taa tsɔɔ ni gbɛku lɛ mli.,B1,"Family talk, upbringing, character judgment, humor, social commentary.","Colloquial, humorous, sometimes ironic.",Uses the crab and bird contrast from coastal life to express inherited character and recognizable family traits.,/kà fòː lòflò/,"Otsɔɔ lɛ akɛ ebi lɛ yɛ nyɛŋmɔ kpɛŋkpɛŋ, ka foo loflo.","Naa lɛ nyɛ gbɔjɔɔ akɛ bɛ eko lɛ yitso mli, ka foo loflo.","Kɛ gbɛku lɛ yɛ feemɔ kpakpa lɛ, ebi lɛ hu taa yɛ nakai; ka foo loflo."
Silafo etsoo filafo gbɛ.,Fixed negative declarative clause; agentive noun subject with causative/showing verb and path object.,Someone who lacks knowledge or direction cannot reliably guide another person with the same lack.,Mɔ ni leee gbɛ lɛ enyɛɛ akɛ etsɔɔ mɔ kroŋ.,B2,"Education, leadership criticism, mentoring, advice, public debate.","Advisory, critical, proverbial.","A community teaching about responsible guidance, often invoked when unqualified people try to lead others.",/sìlàfó ètsòː fìlàfó gbɛ̀/,"Mɔ ni ekoŋŋ leee sane lɛ mli lɛ ebaatsɔɔ amɛ gbɛ, silafo etsoo filafo gbɛ.","Kɛ onyɛɛɛ shikpɔŋ lɛ nɔ yɛŋ lɛ, kaa kɛ sane lɛ ya; silafo etsoo filafo gbɛ.",Tsɛ ni leee nitsumɔ lɛ enyɛɛ akɛ esusuma kpakpa ha yitso amli; silafo etsoo filafo gbɛ.
Kole nya nshɔ.,"Compact intransitive motion clause; proper noun subject, directional verb, and locative goal.",Secrets and spoken matters can travel farther than expected; be careful what you say.,Sane ni oka lɛ baanyɛ aya he ko ni osusuu.,C1,"Discretion, family warnings, politics, gossip, confidential meetings.","Proverbial, warning, elder-like, discreet.",Refers to the Kole watercourse flowing toward the sea; used in Accra oral discourse like 'walls have ears'.,/kòlè ɲà nʃɔ̀/,"Kaa sane lɛ fɛɛ yɛ maŋtsɛ lɛ shishi, Kole nya nshɔ.","Kɛ obaaŋmɔ ɔsraafɔi lɛ kpɛ lɛ, bu gbɛi mli, Kole nya nshɔ.","Wɔwie sane lɛ yɛ shia mli nko, shi etsɔ yɛ maŋ lɛ fɛɛ; Kole nya nshɔ."
Nmɛ kome fiteo nmɛi fɛɛ.,"Generalizing declarative clause; singular noun phrase subject, habitual transitive verb, and plural object.","One bad person, act, or element can damage the reputation or quality of the whole group.",Mɔ kome ni efeɔ gbɛi lɛ baanyɛ afite asafo lɛ he nilee.,B1,"Group discipline, school, workplace, public reputation, parenting.","Neutral, moralizing, corrective.","Comes from food sorting and market experience, where one spoiled nut can affect a whole batch.",/nmɛ̀ kómè fìtéò nmɛ̀í fɛ́ɛ́/,"Bi kome lɛ sane gbɛi afite klas lɛ hewɔ, nmɛ kome fiteo nmɛi fɛɛ.","Kɛ nitsumɔlɔ kome yɛ adesa shi lɛ, nmɛ kome fiteo nmɛi fɛɛ.","Wɔkɛ gbɛku lɛ hewalɛ bu, ejaakɛ nmɛ kome fiteo nmɛi fɛɛ."
Tsofatsɛ enuu tsofa ehaa helatsɛ.,"Fixed negative declarative clause; professional agent subject, negated verb phrase, beneficiary complement.","No one can fully bear another person’s duty, healing, responsibility, or consequence for them.",Mɔ fɛɛ mɔ bɛ ni efee ehe nitsumɔ lɛ.,C1,"Health, responsibility, law, education, spiritual counsel, family discipline.","Formal-proverbial, instructive, sober.","Rooted in traditional and biomedical healing logic: the healer can prescribe, but the patient must undergo the treatment.",/tsòfàtsɛ́ ènùː tsòfà èhàː hèlàtsɛ́/,"Mɛɛkɛ bo gbɛ lɛ, shi tsofatsɛ enuu tsofa ehaa helatsɛ.","Kɛ okɛɛɛ osuɔŋ lɛ oyeɔ lɛ, tsofatsɛ enuu tsofa ehaa helatsɛ.","Nɔ ni obaafee yɛ wolo lɛ mli lɛ, mɔ ko baanyɛ fee eha bo; tsofatsɛ enuu tsofa ehaa helatsɛ."
Sikpɔŋ ko enyɛɛ gbonyo.,Negative stative clause; locative noun subject plus indefinite quantifier and animate object.,"Every person has a place of belonging, and even the rejected eventually find acceptance somewhere.",Mɔ fɛɛ mɔ baaŋɔɔ he ni ebaanyɛ ahi.,B2,"Funeral discourse, migration, social acceptance, reconciliation, consolation.","Poetic, consoling, dignified.","Draws on Ga burial, land, and belonging; land receives the dead without personal hatred.",/sìkpɔ́ŋ kò èɲɛ́ː gbòɲò/,"Kaa ohia lɛ he gbeyei, sikpɔŋ ko enyɛɛ gbonyo.","Amɛkɛ no lɛ hyɛɛ gbɛi, shi ebaanya he ehi; sikpɔŋ ko enyɛɛ gbonyo.","Wɔhaa gbɛi lɛ ni ebaashɛ hewalɛ, ejaakɛ sikpɔŋ ko enyɛɛ gbonyo."
Blɔmɔ dsee nma ni ayeo.,Equational negative clause; abstract noun subject contrasted with edible noun complement and relative clause.,Quarreling is not beneficial or nourishing; conflict should not be treated as something worth consuming.,Blɔmɔ baaha nyɛɛ nɔ ko kpakpa.,B2,"Family mediation, neighborhood disputes, workplace conflict, peacemaking.","Peaceful, admonishing, elder-like.",Uses food imagery from communal eating to reject needless conflict and encourage settlement.,/blɔ̀mɔ́ dséː nmà nì àjèò/,"Nyɛgbo blɔmɔ lɛ, blɔmɔ dsee nma ni ayeo.","Kɛ sane lɛ baaŋɔɔ gbɛ kpakpa lɛ, ekɛ blɔmɔ yɛmɔ hewɔ? Blɔmɔ dsee nma ni ayeo.","Maŋ lɛ hiɛ shikpɔŋ yitso, ni wɔkaa amɛ akɛ blɔmɔ dsee nma ni ayeo."
Wiemɔ kpakpa dsee mlifu.,"Causative-effect proverb clause; noun phrase subject, transitive verb, and emotion object.",A kind or well-chosen word can calm anger and restore peace.,Wiemɔ fɛɛo ni yɛ miishɛɛ baanyɛ ama mɔ ni efu lɛ ekɔɔ.,A2,"Apology, customer care, parenting, counseling, public speaking, friendship.","Warm, diplomatic, conciliatory.","Reflects Ga respect for tactful speech, greeting etiquette, and communal harmony.",/wjèmɔ́ kpàkpà dséː mlìfù/,"Kɛ Naa wie kpakpa lɛ, wiemɔ kpakpa dsee mlifu.","Atsɛ lɛ fu, shi ɔkɛ wiemɔ kpakpa dsee mlifu.","Mɛkɛ wiemɔ kpakpa baa, ni blɔmɔ lɛ gbo; wiemɔ kpakpa dsee mlifu."
"Abudon ni kpa gbonyo hewɔ lɛ, ekele ate.",Complex relative clause plus result clause; animate subject with relative modifier and sequential consequence.,A person who stays close to wrongdoing or danger may suffer the same consequence as the guilty.,"Kɛ okɛ nɔ gbɛi nɔɔŋ kpe lɛ, obaanyɛ onya afɔŋ lɛ mli.",C2,"Moral warning, peer pressure, politics, crime, youth advice, satire.","Graphic, cautionary, proverbial, sometimes sarcastic.",Uses the fly around a corpse as a vivid image from everyday observation to warn against dangerous association.,/àbùdóŋ nì kpà gbòɲò hèwɔ́ lɛ̀ èkèlè àtè/,"Kaa okɛ amɛyaa gbɛi lɛ mli, abudon ni kpa gbonyo hewɔ lɛ, ekele ate.","Bii lɛ shɛŋ yɛ amɛhe, ejaakɛ abudon ni kpa gbonyo hewɔ lɛ, ekele ate.","Mɔ ni kɛ afɔŋfɔi fee nitsumɔ lɛ, ebaagbe shishi; abudon ni kpa gbonyo hewɔ lɛ, ekele ate."
