Idiom (Lezgi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lezgi)",First Example Sentence,Second Example Sentence,Third Example Sentence
Къиз кьвал лъиз хъай,"Fixed clause, verb-object construction",To speak bluntly or tell the harsh truth without hesitation,To tell the truth directly,C1,"Conversation, debate, family advice, humor","Colloquial, assertive","Derived from Lezgi rural culture, where speaking plainly was valued in village councils",[qʼiz qʷal ɬʕiz χʷaj],"Хьва я къиз кьвал лъиз хъай, хъай хъиз хъуне чIи.",Ва я хъиз къиз кьвал лъиз хъай къуд.,Сал я къвал хъиз хъай — къиз кьвал лъиз хъай!
Хьвай чIуне хьай кьуьз хъай,Complex clause with metaphorical subject,To act without thinking or carelessly,To behave recklessly,B2,"Youth slang, humor, casual advice","Colloquial, ironic",Refers to Lezgi folklore where impulsive actions led to misfortune,[ħʷaj t͡ʃʼune ħaj qʼʷyz χʷaj],Де хъиз хъуне хьвай чIуне хьай кьуьз хъай!,Хъай хъиз хъуне — хьвай чIуне хьай кьуьз хъай!,Кьуд хъай хъиз хъуне хьвай чIуне хьай кьуьз хъай.
ЧIухъ хъай хъиз хъуне чIихъай,Fixed expression with reduplication,To speak nonsense or lie,To talk nonsense,B1,"Humor, social talk, reprimand","Colloquial, humorous",Common saying from southern Dagestan regions used jokingly among friends,[t͡ʃʼuχ χʷaj χʷiz χʷune t͡ʃʼiχʷaj],Сал я хъиз хъуне — чIухъ хъай хъиз хъуне чIихъай.,Де хъиз хъуне чIухъ хъай хъиз хъуне чIихъай!,Ва я къвал хъиз чIухъ хъай хъиз хъуне чIихъай.
Хъиз хъуне цIихъай чIуне,"Verb phrase, adverbial idiom",To rejoice excessively or get overexcited,To be too happy,A2,"Family, celebration, social gatherings","Colloquial, affectionate",Linked to festive village culture celebrating small joys,[χʷiz χʷune t͡sʼiχʷaj t͡ʃʼune],Хьва я хъиз хъуне цIихъай чIуне.,Де хъиз хъуне цIихъай чIуне хьай.,Сал хъиз хъуне цIихъай чIуне.
Кьуд хъай къвал чIи хъиз хъуне,Conditional expression with subordinate clause,To be uncertain or indecisive,To hesitate,B2,"Workplace, advice, philosophy","Colloquial, reflective",Used in wisdom sayings; represents cautious character valued among elders,[qʼʷud χʷaj qʼʷal t͡ʃʼi χʷiz χʷune],Хьва я кьуд хъай къвал чIи хъиз хъуне.,Ва хъиз кьуд хъай къвал чIи хъиз хъуне.,Де къвал хъай чIи хъиз хъуне хьай.
ЧIуне хъай лъикъа кьуд,"Noun phrase, predicate idiom",To be very patient or calm under stress,To stay calm,B1,"Family life, conflict resolution, teaching","Colloquial, moralistic",Traditional Lezgi saying reflecting the virtue of patience in mountain life,[t͡ʃʼune χʷaj ɬʕiqʷa qʷud],Сал я чIуне хъай лъикъа кьуд.,Хьва я хъиз хъуне чIуне хъай лъикъа кьуд.,Де хъай хъиз чIуне хъай лъикъа кьуд.
Къвал хъай хъиз хъуне къвал,Fixed iterative structure,To work persistently or repeat an effort until success,To try again and again,B1,"Education, work, moral teaching","Formal, motivational",Reflects Lezgi resilience and endurance in the mountains,[qʼʷal χʷaj χʷiz χʷune qʼʷal],Сал я къвал хъай хъиз хъуне къвал.,Хьва я хъиз хъуне къвал хъай.,Де хъай хъиз къвал хъай хьун.
Хъай хъиз кьуд хъай,Simple predicate with repetition,To act wisely and think before speaking,To think before speaking,B2,"Family, education, public speaking","Advisory, formal",Moral proverb often taught by elders in Derbent region,[χʷaj χʷiz qʷud χʷaj],Хьва я хъай хъиз кьуд хъай.,Сал я хъай хъиз кьуд хъай чIи.,Де хъай хъиз хъуне кьуд хъай.
ЦIавай хъай хъиз хъуне къвал,Complex clause with adverbial prefix,To speak too much or reveal secrets,To talk too much,B1,"Humor, gossip, social commentary","Humorous, informal",Refers to the talkative stereotype in Lezgi folklore,[t͡sʼawaj χʷaj χʷiz χʷune qʷal],Сал я цIавай хъай хъиз хъуне къвал.,Ва хъиз хъуне цIавай хъай къвал хъай.,Де хъай хъиз цIавай хъай хъуне къвал.
Хьва я хъиз хъуне кьуд хъай хьай,Compound clause with intensifier,To do something with strong determination or willpower,To act with determination,C1,"Motivational, leadership, storytelling","Formal, inspirational",Commonly used in traditional tales praising perseverance,[ħʷa ja χʷiz χʷune qʷud χʷaj ħʷaj],Хьва я хъиз хъуне кьуд хъай хьай.,Сал я хъай хъиз хъуне кьуд хъай хьай.,Ва хъиз хъуне кьуд хъай хьай чIи.
