Idiom (Belarusian),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Belarusian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Лезці на ражон,Фіксаваны выраз з дзеясловам у інфінітыве,"Сваеўпарта рабіць небяспечнае або правакацыйнае, нягледзячы на відавочную пагрозу",Рызыкаваць без патрэбы,B2,"штодзённае маўленне, палітыка, публіцыстыка","размоўны, з лёгкай іроніяй",Ад сярэднявечнага звычаю выступаць супраць варожага шэрагу з ражном — дзідай,[ˈlʲezʲtsʲi na raˈʐon],"Не лезь на ражон, бо зноў усё скончыцца сваркай.","Ён заўсёды лезе на ражон, нават калі ўсе супраць.","Няма чаго лезці на ражон, калі можна дамовіцца."
Як з гускі вада,Параўнальны выраз з прыназоўнікам,"Абсалютна бяссэнсоўна, без выніку або без уплыву",Без рэакцыі або выніку,A2,"штодзённае маўленне, сям’я, гумар","размоўны, гумарыстычны","Народнае назіранне за гускай, з якой вада проста сцякае",[jak z ˈɣuskʲi ˈvada],"Я яму кажу і кажу, а яму як з гускі вада.","Крычалі на яго, а ўсё як з гускі вада.",На парады мае — як з гускі вада.
Гаварыць вушам,Інфінітыў з ускосным дадаткам у творным склоне,"Бязглузда або дзіўна размаўляць, несці лухту",Маляваць бязглузда,C1,"штодзённае маўленне, сарказм, творчасць","размоўны, саркастычны","Гумарыстычная фраза, якая адсылае да немагчымасці фізічна гаварыць вушамі",[ɣavaˈrɨtʲ ˈvuʂam],Што ты там гаворыш вушам? Перастань нясці лухту.,"Ён зноў нешта гаворыць вушам, не зразумець нічога.","Калі пачынае гаварыць вушам, ведай — будзе цікава."
Пераліць з пустога ў парожняе,Інфінітыўны выраз з прыназоўнымі канструкцыямі,Весці бязглуздую ці бессэнсоўную размову або дзейнасць,Дарэмна марнаваць час,B1,"працоўнае асяроддзе, палітыка, гумар","нейтральны, часам іранічны",Ад сялянскага жыцця — пераліваць ваду паміж пустымі сасудамі,[pʲeraˈlʲitʲ z pusˈtoɣa u paˈroʐnʲaje],Яны зноў пераліваюць з пустога ў парожняе.,"У нашых нарадах толькі і робяць, што пераліваюць з пустога ў парожняе.",Гэты дыскус нічога не даў — пералілі з пустога ў парожняе.
Няма ні пуха ні пяра,Негатыўнае жаданне з элементамі народнай магіі,"Пажаданне поспеху перад важнай падзеяй, звычайна ў экзаменах або спаборніцтве",Жадаю поспеху,A2,"школа, экзамены, спаборніцтвы","размоўны, фальклорны","Народны зварот, каб падмануць злых духаў",[nʲiˈma nʲi ˈpuxa nʲi pʲaˈra],Заўтра ў цябе экзамен? Няма ні пуха ні пяра!,Іду на спаборніцтва — няма ні пуха ні пяра!,Сыну сказаў: няма ні пуха ні пяра перад алімпіядай.
Глядзець у рот,Інфінітыўная структура з ускосным дадаткам,Сляпая павага або захапленне кімсьці,"Усхваляць усё, што кажа іншы",B2,"палітыка, сям’я, сарказм","размоўны, з іроніяй",Ад метафарычнага назірання за прамоўцам або аўтарытэтам,[ɣlʲaˈdzʲetsʲ u rɔt],"Яна глядзіць яму ў рот і паўтарае ўсё, што ён кажа.","Не трэба глядзець яму ў рот, думай самастойна.",Глядзелі ў рот кіраўніку і не смелі супярэчыць.
Круціць хвастом,Інфінітыў з аб’ектам у вінавальным склоне,"Падабрэжвацца, заляцацца або ліслівіць","Ліслівіць, паказваць сябе з лепшага боку",B1,"працоўнае асяроддзе, сям’я, гумар","размоўны, з іроніяй","Ад паводзін жывёл, якія вешаюць хвастом у знак добразычлівасці",[ˈkrutsʲitsʲ xvasˈtom],Яна зноў круціць хвастом перад настаўнікам.,"Не круці хвастом, нічога не дапаможа.","Пачаў круціць хвастом, як толькі з’явіўся шэф."
"І ваўкі сытыя, і авечкі цэлыя",Злучаны складаны выраз з апазіцыйнымі часткамі,"Кампраміс, калі задаволены ўсе бакі",Знайсці залатую сярэдзіну,C1,"палітыка, сям’я, праца","нейтральны, літаратурны","Ад пастушых байкаў, дзе ідылічная сітуацыя немагчымая",[i ˈvawkʲi ˈsɨtɨja i aˈvʲet͡ʂkʲi ˈt͡sɛlɨja],"Мы дамовіліся так, што і ваўкі сытыя, і авечкі цэлыя.","Спрабуюць зрабіць так, каб і ваўкі сытыя, і авечкі цэлыя.","Праз кампраміс дасягнулі — і ваўкі сытыя, і авечкі цэлыя."
Дзень з агнём не знойдзеш,Умоўная структура з адмаўленнем,Нешта вельмі рэдкае або амаль немагчыма знайсці,Вельмі цяжка знайсці,B2,"штодзённае маўленне, літаратура","паэтычны, літаратурны",Паходзіць з вобразнага вясковага мыслення: нават удзень з агнём не знойдзеш,[d͡zʲenʲ z aɣˈnʲom nʲi ˈznɔjd͡zʲeʂ],Такога спецыяліста дзень з агнём не знойдзеш.,Такіх сяброў дзень з агнём не знойдзеш.,Надзейнага чалавека дзень з агнём не знойдзеш.
Маўчаць у дзве дзіркі,Інфінітыўны выраз з нязвыклым абаротам,Моўчкі трываць або нічога не адказваць на крыўду,"Маўчаць, нічога не казаць у адказ",B2,"сям’я, гумар, сатыра","размоўны, саркастычны",Народны гумар з вобразам двух «дзюр» — вушы і рот,[maʊ̯ˈt͡ʂatʲ u d͡zvʲe ˈd͡zʲirkʲi],Сказалі — і маўчыць у дзве дзіркі.,"Мог бы адказаць, але маўчыць у дзве дзіркі.","Як крыкнулі, ён і маўчыць у дзве дзіркі."
