Idiom (Afar),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Afar)",First Example Sentence,Second Example Sentence,Third Example Sentence
Afanih gideh sinni maaxam,"Fixed clause, reflexive verb structure",To speak without thinking or to talk carelessly,He/She speaks thoughtlessly,B2,"Daily speech, humor, family","Colloquial, humorous",Common in northern Afar communities; reflects value of discretion in speech,/ʔafanih ɡideh sinni maːxam/,"Inni afanih gideh sinni maaxam, marih qada axceh.",Caddo kee afanih gideh sinni maaxak wala.,"Libi kee maaxayta, afanih gideh sinni maaxam!"
Libi baxsaanih dagah sugte,"Fixed clause, perfect tense",Someone is very proud or boastful,He/She is overly proud,B1,"Social interactions, irony","Ironic, colloquial",Rooted in pastoral imagery—comparing heart swelling to inflated pride,/libi baksaːnih daɡah suɡte/,"Inni libi baxsaanih dagah sugte, abba ma taway.",Caddo kee libi baxsaanih dagah sugte akah way.,Aydah libi baxsaanih dagah sugte ka.
Gaddo maqqa caddo,Nominal phrase,Actions speak louder than words,"Do not talk too much, act instead",A2,"Proverbs, teaching, workplace","Formal, proverbial",Traditional Afar saying reflecting pastoral pragmatism,/ɡaddo maqqa ʕaddo/,"Gaddo maqqa caddo, sinni bar.",Kalli kee gaddo maqqa caddo maaxam.,Abba kee gaddo maqqa caddo way.
Kalli garbih xayyo,Verb phrase with genitive structure,To rely on one’s own strength,Depend on oneself,B2,"Self-empowerment, motivation","Proverbial, motivational",Reflects nomadic resilience and self-reliance,/kalːi ɡarbih xajːo/,"Inni kalli garbih xayyo, caddo wala.",Ani kalli garbih xayyo way.,Qada kee kalli garbih xayyo kee daggah.
Dugguq sinni gideh abba,"Verb phrase, reflexive",To cause one’s own downfall,He/She caused their own trouble,C1,"Moral lessons, sarcasm","Ironic, critical",Used to criticize arrogance and self-sabotage; southern Afar usage,/duɡːuq sinni ɡideh ʔabba/,"Inni dugguq sinni gideh abba, kaah baxxam.",Caddo kee dugguq sinni gideh abba akah way.,"Libi kee dugguq sinni gideh abba, marih dagah faxxim."
Aduunih dagah aysuk,Verb phrase in perfective aspect,The world has changed (irony on moral decay or modernity),Times have changed,C1,"Elderly speech, reflection, social commentary","Philosophical, ironic",Common expression among elders lamenting social change,/ʔaduːnih daɡah ajsuk/,"Aduunih dagah aysuk, sinni ma caddo.",Abbo kee aduunih dagah aysuk yaaba.,Tano kee aduunih dagah aysuk akah iyyan.
Maaxayta caddo akah,"Fixed clause, comparative",To be wise beyond one’s years,He/She is very wise,B1,"Family, admiration","Colloquial, admiring",Reflects Afar respect for wisdom and elders,/maːxajta ʕaddo ʔakah/,"Inni maaxayta caddo akah, sinni dagah wala.",Caddo kee maaxayta caddo akah yaabak.,Nih maaxayta caddo akah faxxim.
Qada marih dagah barteh,"Fixed clause, simple past tense",To overcome hardship,He/She overcame challenges,B2,"Storytelling, perseverance","Poetic, narrative",Historical usage during drought resilience narratives,/qada marih daɡah barteh/,"Qada marih dagah barteh, inni daggah faxxim.",Ani qada marih dagah barteh yaabak.,Kalli kee qada marih dagah barteh akah way.
Kaasih xayyoh xayyo,Reduplicated verb phrase,Good deeds bring reward,Do good and good will come,A2,"Moral teaching, family, religion","Proverbial, moral",Based on Afar Islamic ethics emphasizing reciprocity,/kaːsih xajːoh xajːo/,"Kaasih xayyoh xayyo, sinni dagah wala.",Nih mari kaasih xayyoh xayyo yaabak.,Qada kee kaasih xayyoh xayyo akah barteh.
Xayyo xayyo eddeh abba,Reduplicated clause,All is well that ends well,Things turned out fine,B2,"Daily speech, reconciliation","Colloquial, comforting",Traditional idiom in reconciliation speech; pastoral wisdom,/xajːo xajːo ʔeddeh ʔabba/,"Xayyo xayyo eddeh abba, marih dagah baxxam.",Inni qada kee xayyo xayyo eddeh abba yaabak.,Caddo kee xayyo xayyo eddeh abba akah way.
