Idiom (Eastern Highland Chatino),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Ndë́ xini ñuu ndaa,Fixed nominal clause with evaluative adjective phrase,To act wisely for the good of the community,To make a responsible and thoughtful decision,B2,"Community meetings, family advice, local governance","Formal, respectful, communal",Rooted in traditional assembly decision-making practices in Chatino towns,[ndɨ́ ʃini ɲuː ndaa],"Ndë́ xini ñuu ndaa, ja̱a̱ kḯí ntyaa consejo.",Sa̱a̱ ndë́ xini ñuu ndaa ri̱i̱ xquii ñuu.,Ja̱a̱ ndë́ xini ñuu ndaa ku̱a̱ ri̱i̱ nquii.
Kḯí nquii ña̱a̱ yuku,Verb phrase with locative complement,To be lost or confused without direction,To feel confused,B1,"Daily speech, youth conversations",Colloquial,Refers to mountain terrain common in Eastern Highland region,[kíː n̥quiː ɲã̀ː juku],"Kḯí nquii ña̱a̱ yuku, ndë ja̱a̱ ntyi consejo.",Na̱ kḯí nquii ña̱a̱ yuku sa̱a̱ escuela.,Juan kḯí nquii ña̱a̱ yuku nde̱e̱ examen.
Ndya̱a̱ xquii ndaa ñee,Declarative clause with evaluative complement,To speak harsh but necessary truth,To speak honestly,C1,"Politics, moral discussions","Serious, direct",Historically associated with elder corrective speech,[ndjàː ʃkwiː ndaa ɲeː],Ndya̱a̱ xquii ndaa ñee ri̱i̱ consejo.,Ma̱ ndya̱a̱ xquii ndaa ñee cha̱a̱ familia.,Ja̱a̱ ndya̱a̱ xquii ndaa ñee nde̱e̱ reunión.
Sa̱a̱ ntyaa ñuu xini,Verb phrase with collective noun object,To restore harmony in the community,To reconcile people,B2,"Community mediation, ceremonies","Formal, ceremonial",Connected to traditional conflict resolution rituals,[sàː ntjaː ɲuː ʃini],Sa̱a̱ ntyaa ñuu xini ri̱i̱ fiesta.,Ma̱ sa̱a̱ ntyaa ñuu xini nda̱a̱ conflicto.,Ja̱a̱ sa̱a̱ ntyaa ñuu xini nde̱e̱ asamblea.
Kḯí xini nquii nda̱a̱,Verb phrase with abstract noun complement,To overthink excessively,To think too much,B1,"Daily speech, humor","Ironic, light sarcasm",Metaphor of mind tangled like woven fibers,[kíː ʃini n̥quiː nda̱a̱],Kḯí xini nquii nda̱a̱ ja̱a̱ ri̱i̱ problema.,Na̱ kḯí xini nquii nda̱a̱ nde̱e̱ noche.,Pedro kḯí xini nquii nda̱a̱ cha̱a̱ trabajo.
Ndë́ ndaa yuku ñuu,Copular clause with metaphorical locative,To stand firm in one’s principles,To remain steadfast,C1,"Leadership discourse, literature","Poetic, elevated",Mountains symbolize endurance in Chatino cosmology,[ndɨ́ ndaa juku ɲuː],Ndë́ ndaa yuku ñuu nde̱e̱ crisis.,Ja̱a̱ ndë́ ndaa yuku ñuu ri̱i̱ justicia.,Ma̱ ndë́ ndaa yuku ñuu cha̱a̱ presión.
Kḯí ñee ntyaa xquii,Verb phrase with adverbial complement,To exaggerate a situation,To make something bigger than it is,A2,"Family talk, playful teasing","Colloquial, humorous",Traditional storytelling exaggeration style,[kíː ɲeː ntjaː ʃkwiː],Kḯí ñee ntyaa xquii ja̱a̱ historia.,Na̱ kḯí ñee ntyaa xquii nde̱e̱ fiesta.,Ma̱ kḯí ñee ntyaa xquii ri̱i̱ noticia.
Sa̱a̱ xini ña̱a̱ nda̱,Transitive verb phrase with object noun,To learn from one’s mistake,To learn a lesson,B1,"Advice, parenting","Neutral, instructive",Common parental expression across Eastern Highland villages,[sàː ʃini ɲã̀ː nda̱],Sa̱a̱ xini ña̱a̱ nda̱ ri̱i̱ error.,Na̱ sa̱a̱ xini ña̱a̱ nda̱ nde̱e̱ escuela.,Ja̱a̱ sa̱a̱ xini ña̱a̱ nda̱ cha̱a̱ experiencia.
Ndya̱a̱ ñuu nquii ndaa,Clause with evaluative adjective,To criticize constructively,To give helpful criticism,C1,"Workplace, politics, education","Formal, analytical",Influenced by community assembly critique norms,[ndjàː ɲuː n̥quiː ndaa],Ndya̱a̱ ñuu nquii ndaa ri̱i̱ proyecto.,Ma̱ ndya̱a̱ ñuu nquii ndaa cha̱a̱ alumno.,Ja̱a̱ ndya̱a̱ ñuu nquii ndaa nde̱e̱ debate.
Kḯí ndaa ñuu yuku,Verb phrase with metaphorical noun phrase,To rise above adversity,To overcome hardship,B2,"Motivational speech, ceremonies","Inspirational, poetic",Mountain imagery representing resilience,[kíː ndaa ɲuː juku],Kḯí ndaa ñuu yuku ri̱i̱ dificultad.,Na̱ kḯí ndaa ñuu yuku nde̱e̱ problema.,Ja̱a̱ kḯí ndaa ñuu yuku cha̱a̱ historia.
