Idiom (Mazandarani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mazandarani)",First Example Sentence,Second Example Sentence,Third Example Sentence
اتا کک سّه، اتا لحاف تش نزنّه,ضرب‌المثلِ شرطی-استدلالی با ساخت عددی «اتا...، اتا...» و فعل منفی امری/نهی «نزنّه»؛ ساختِ ثابت و غیرقابل‌تصریف.,برای رسیدن به منفعتی کوچک یا حل مسئله‌ای جزئی نباید چیز بزرگ‌تر و ارزشمندتر را نابود کرد.,برای یک مشکل کوچک، هزینه یا خسارت بزرگ ایجاد نکن.,B2,گفت‌وگوی روزمره، خانواده، اقتصادِ خانه، تصمیم‌گیری، نصیحت، نقدِ افراط.,محاوره‌ای، اندرزگونه، مردمی.,برآمده از زندگی روستایی و ارزش بالای لحاف و رخت‌خواب در اقلیم سرد و مرطوب مازندران؛ بر نسبت‌سنجیِ هزینه و فایده تکیه دارد.,[eˈtɑ kæk sse | eˈtɑ leˈhɑf tæʃ næˈzen.ne],ته وسه اتا اشتباهِ ریز، کلّ پروژه ره خراب نَکِن؛ اتا کک سّه، اتا لحاف تش نزنّه.,ماره ره گفتِم اتا گوشی خراب بوه، ولی خنه ره زیر و رو نَکِنّه؛ اتا کک سّه، اتا لحاف تش نزنّه.,مدیر هِچّی بودجه ره صرفِ اتا ایرادِ جزئی هاکرد؛ من گِتم اتا کک سّه، اتا لحاف تش نزنّه.
آسمون ونه لا هسّه، زمین ونه زیرانداز,جملهٔ اسنادیِ موازی با دو بندِ هم‌پایه؛ «ونه» نقش مضاف‌الیهی/ضمیر ملکی دارد؛ ساختِ تصویری و ثابت.,آدم بی‌پناه، آواره یا بسیار فقیر است و هیچ پشتیبانی یا آسایشی ندارد.,او بی‌خانمان و بی‌پناه است.,B1,روایتِ فقر، همدردی، ادبیات عامه، گزارشِ وضعیت دشوار زندگی.,شعری، تصویری، اندوه‌بار.,از زیستِ کوچنده و کارِ فصلی و نیز از تجربهٔ بی‌سرپناهی در جغرافیای باز و بارانی شمال الهام می‌گیرد؛ تصویر «آسمان و زمین» در فرهنگ شفاهی منطقه پربسامد است.,[ɑsˈmũn veˈne lɑ həsːe | zeˈmin veˈne ziɾændɑz],بعدِ سیل، چنّی خانواده آسمون ونه لا هسّه، زمین ونه زیرانداز بَیّن.,ریکا از غربت بَمونه و آسمون ونه لا هسّه، زمین ونه زیرانداز زندگی هاکرده.,اگه همسایه‌مون کمک نَهاده، مرد آسمون ونه لا هسّه، زمین ونه زیرانداز بَموئه.
آدم دل خَش بوئه، خنه کِلی پشت بوئه,جملهٔ شرطی-نتیجه‌ایِ امثال‌گونه؛ بند نخست حالتِ درونی را می‌سازد و بند دوم نتیجهٔ ادراکی را بیان می‌کند.,وقتی دلِ آدم خوش باشد، تنگدستی و سختیِ محیط کمتر آزاردهنده به نظر می‌رسد.,رضایت و آرامشِ درونی باعث می‌شود سختی‌های زندگی قابل تحمل‌تر شوند.,B1,خانواده، نصیحت، ادبیات، گفت‌وگوی امیدبخش، تاب‌آوری.,محاوره‌ای، حکیمانه، دلگرم‌کننده.,«کِلی» و خانهٔ کوچک پشت‌مانند به معماریِ ساده و معیشتِ روستایی اشاره دارد؛ مثل بر قناعت و دل‌خوشی در فرهنگ مازندرانی تأکید می‌کند.,[ɑˈdæm del xæʃ bu.e | xæˈne keˈli poʃt bu.e],ما خانه‌مون بزرگ نَیّه، ولی آدم دل خَش بوئه، خنه کِلی پشت بوئه.,ننه‌جون همیشه گِنه آدم دل خَش بوئه، خنه کِلی پشت بوئه؛ واسه هِمه چی شکر هاکن.,با وجودِ کم‌درآمدی، خنده از لبش نیفته؛ آدم دل خَش بوئه، خنه کِلی پشت بوئه.
بامشی دست گوشت جا نرسنه، گنه بو دنه,جملهٔ مرکبِ تمثیلی با بندِ علّی-نتیجه‌ای؛ فاعل جانوری و گزارهٔ گفتاری «گنه» در ساختی ثابت.,کسی که به چیزی نمی‌رسد یا توان انجام کاری را ندارد، آن را بی‌ارزش جلوه می‌دهد.,چون نمی‌تواند به خواسته‌اش برسد، آن را بد جلوه می‌دهد.,B2,طعنه، رقابت، روابط اجتماعی، نقدِ خودفریبی، طنز.,محاوره‌ای، طعنه‌آمیز، طنزآلود.,هم‌خانواده با الگوی شناخته‌شدهٔ روباه و انگور در فرهنگ‌های دیگر است، اما در بافتِ مازندرانی با «بامشی» و «گوشت» بومی‌سازی شده و در گفتار روزمره رواج دارد.,[bɑmˈʃi dæst ɡuʃt d͡ʒɑ næˈɾes.ne | ɡeˈne bu deˈne],خودش ره به اون کار نرسوند، هِسا گنه بده؛ بامشی دست گوشت جا نرسنه، گنه بو دنه.,وقتی دانشگاه قبول نَیّه، شروع هاکرده بدگویی؛ بامشی دست گوشت جا نرسنه، گنه بو دنه.,خانه ره نَخَرید و حالا گنه محله بده؛ بامشی دست گوشت جا نرسنه، گنه بو دنه.
آسیه‌گو دوش نیه، گنه زمین تپه‌چاله دارنه,جملهٔ تمثیلیِ خبری با نقلِ غیرمستقیم؛ بند اول ناتوانی را می‌گوید و بند دوم بهانه‌تراشی را.,کسی که مهارت یا توان انجام کاری را ندارد، بهانه می‌آورد و تقصیر را گردنِ شرایط می‌اندازد.,او بلد نیست و برای ناتوانیِ خودش بهانه‌تراشی می‌کند.,B2,کار و حرفه، آموزش، خانواده، نقدِ بی‌کفایتی، طنزِ اجتماعی.,محاوره‌ای، انتقادی، کنایه‌دار.,ریشه در دامداری و شیردوشیِ سنتی دارد؛ «زمینِ تپه‌چاله» به عنوان بهانهٔ ناموجه در بافتِ روستایی کاملاً ملموس است.,[ɑsiˈje ɡu duʃ ni.je | ɡeˈne zæˈmin tæpːe tʃɑˈle dɑɾ.ne],شاگرد هنوز برنامه‌نویسی یاد نَگرفته و هِمه‌اش سیستم ره مقصر دانه؛ آسیه‌گو دوش نیه، گنه زمین تپه‌چاله دارنه.,ورزشکار تمرین نَکرده و گنه کفش بده؛ آسیه‌گو دوش نیه، گنه زمین تپه‌چاله دارنه.,او نِمِه گزارش ره درست بنویسه، بعد مدیر ره سرزنش هاکنه؛ آسیه‌گو دوش نیه، گنه زمین تپه‌چاله دارنه.
تا دست جا چندتا مگر هندوانه گیرنّه,پرسشِ بلاغیِ امثال‌گونه با قیدِ ظرفیت و نفیِ امکان؛ ساختی ثابت برای بیانِ محدودیت.,یک نفر نمی‌تواند چند مسئولیتِ سنگین را هم‌زمان و به‌خوبی انجام دهد.,آدم نمی‌تواند چند کار مهم را با هم بر عهده بگیرد.,B1,مدیریت زمان، کار، درس، نصیحتِ خانوادگی، بهره‌وری.,محاوره‌ای، پندآمیز، روشن و همه‌فهم.,تصویرِ برداشتن چند هندوانه با یک دست از تجربهٔ بازار و کشاورزی می‌آید؛ مثل در نواحی شمالی برای بیانِ محدودیتِ توان انسانی بسیار کاربردی است.,[tɑ dæst d͡ʒɑ tʃændˈtɑ mæˈɡæɾ hendevɑˈne ɡiɾən.ne],هم درس، هم دو شغل، هم سفر؟ تا دست جا چندتا مگر هندوانه گیرنّه.,ته اول اتا کار ره تمام هاکن؛ تا دست جا چندتا مگر هندوانه گیرنّه.,مدیر هِمه پرونده‌ها ره به اتا نفر هاده، ولی تا دست جا چندتا مگر هندوانه گیرنّه.
کارد هرچی تِج بائه، شه دسته ره نَوِرینده,جملهٔ وصفی-نتیجه‌ای با بندِ امکانی و نفیِ فرجام؛ مثلِ ثابت با محورِ تقابلِ تیغه و دسته.,آدم معمولاً به نزدیکانِ خودش آسیب جدی نمی‌زند یا علیه اصل و ریشهٔ خود عمل نمی‌کند.,انسان معمولاً به خانواده یا پشتوانهٔ خود ضربه نمی‌زند.,C1,خانواده، سیاست محلی، وفاداری، تحلیلِ روابط، میانجی‌گری.,حکیمانه، نیمه‌رسمی، تمثیلی.,از ابزارهای روزمرهٔ کشاورزی و خانه‌داری گرفته شده است؛ رابطهٔ تیغه و دسته در فرهنگ عامه نمادِ وابستگیِ ناگسستنی است.,[kɑɾd hæɾˈtʃi ted͡ʒ bɑˈe | ʃe dæsˈte ɾe næ.veˈɾin.de],هرچی بین برارون اختلاف بوشه، آخرِش کارد هرچی تِج بائه، شه دسته ره نَوِرینده.,من باور نَکِردم او علیه خاندانِ خودش واسته؛ کارد هرچی تِج بائه، شه دسته ره نَوِرینده.,در سیاستِ محلّی هم دیدیم که کارد هرچی تِج بائه، شه دسته ره نَوِرینده.
سگ هر چی کال‌چرم بَوره، اَی تیساپه هسته,جملهٔ تمثیلی با بندِ concessive-like «هر چی...» و گزارهٔ ثابت؛ کاربردِ حیوان‌محور برای نقدِ خصلت.,آدم طمّاع یا آزمند هرچه هم به دست بیاورد، باز احساس کمبود می‌کند و سیر نمی‌شود.,آدم حریص با مالِ بیشتر هم قانع نمی‌شود.,C1,نقدِ طمع، اقتصاد، اخلاق، خانواده، طنزِ گزنده.,محاوره‌ای، گزنده، اخلاقی.,در روستاهای مازندران «کال‌چرم» و «تیساپه» به تجربه‌های ملموسِ زندگیِ دامداری و فقر اشاره دارند؛ مثل، حرصِ سیری‌ناپذیر را با تصویری زمینی و تند بیان می‌کند.,[sæɡ hæɾ tʃi kɑlˈtʃæɾm bɑˈveɾe | æj tiˈsɑ.pe həsˈte],هِمه سود ره واسّه خودش خواسته؛ سگ هر چی کال‌چرم بَوره، اَی تیساپه هسته.,دو تا خنه دارنه و باز دنبالِ زمینِ بیشتره؛ سگ هر چی کال‌چرم بَوره، اَی تیساپه هسته.,طمعِ بی‌پایانِ او ره که وینّم، یادِ این مثل اُفتِم: سگ هر چی کال‌چرم بَوره، اَی تیساپه هسته.
اتا گپ زَنه که خر ره خنده گیرنه، بامشی ره سما,جملهٔ مبالغه‌آمیزِ وصفِ گفتار با دو متممِ جانوری؛ ساختِ ثابت برای بیانِ نامعقولی و بی‌ربطی.,کسی آن‌قدر بی‌ربط، اغراق‌آمیز یا نامعقول حرف می‌زند که شنونده از شدتِ بی‌معنایی شگفت‌زده می‌شود.,او حرف‌های بسیار بی‌ربط و نامعقول می‌زند.,B2,شوخی، نقدِ سخنرانی، سیاست، مشاجره، طنزِ جمعی.,محاوره‌ای، طنزآلود، تمسخرآمیز.,الگوی جانورانِ خندان و رقصان از طنزِ اغراق‌گرای شفاهی در فرهنگ مازندرانی می‌آید و برای تمسخرِ گزافه‌گویی بسیار زنده و شنیدنی است.,[eˈtɑ ɡæp zæˈne ke xæɾ ɾe xænˈde ɡiˈɾe.ne | bɑmˈʃi ɾe sæˈmɑ],تو مناظره آن‌قد بی‌ربط حرف هاده که خر ره خنده گیرنه، بامشی ره سما.,هر بار بهانه بیاره، اتا گپ زَنه که خر ره خنده گیرنه، بامشی ره سما.,قصه‌ای ساخت که خر ره خنده گیرنه، بامشی ره سما؛ هِچّی‌کس باور نَکِرده.
خرِ موسِ بِن؛ یا گوزه یا لو,دوپارهٔ تقابلی با حرفِ انتخاب «یا... یا...»؛ جملهٔ کوتاه و کوبنده با ریتمِ شفاهی.,اگر با فرد یا موقعیتِ ناسازگار و زیان‌آور همراه شوی، در هر حال از آن آسیب می‌بینی.,هم‌نشینی با آدمِ بد یا خطرناک سرانجام برایت ضرر دارد.,B2,هشدارِ اخلاقی، تربیتِ نوجوان، انتخابِ دوست، سیاستِ محلی، تجربه‌اندوزی.,محاوره‌ای، هشداردهنده، تند.,از تجربهٔ بدنی و روزمرهٔ کار با چهارپا در زندگیِ روستایی می‌آید؛ نزدیکی به خر هم با گاز و هم با لگد خطر دارد و به‌صورتِ تمثیل برای رفاقتِ بد به کار می‌رود.,[xæɾe muˈse ben | jɑ ɡuˈze jɑ lu],من ته ره از آن رفیق بد پرهیز هادِم؛ خرِ موسِ بِن؛ یا گوزه یا لو.,با آدمِ ناسازگار شریک نَبو؛ خرِ موسِ بِن؛ یا گوزه یا لو.,هر بار با او کار هاکنّی، ضرر هادِی؛ خرِ موسِ بِن؛ یا گوزه یا لو.
