Idiom (Chukchi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chukchi)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ӄэйвылгын ӄытрын,"Fixed nominal phrase (NOUN + stative predicate), metaphorical equative construction.","To be deeply worried or mentally burdened, as if the heart is heavy.",To feel very worried or anxious.,B2,"Daily speech, family conversations, reflective storytelling.","Colloquial, emotional, poetic undertone.",Reflects traditional Chukchi belief associating the heart (ӄэйвылгын) with emotional strength and spirit.,[qəjˈwɨlɣɨn qɨtˈrɨn],"Гымнан ӄэйвылгын ӄытрын, ытлык ымыӈы рыткын.","Ӄорак ӄэйвылгын ӄытрын ынэн, этлыӈ ырыкын.","Мури ӄэйвылгын ӄытрын, ӄоракыт тыткуркын."
Ӄоракыт ӄэвыргын,Plural noun + reflexive verb form; metaphorical reflexive structure.,To stir up unnecessary trouble.,To create problems deliberately.,C1,"Politics, workplace disputes, sarcasm.","Ironic, mildly critical.",Used in coastal communities referring to stirring snow or sea foam meaninglessly.,[qorakɨt qəˈvərɣɨn],"Гыт Ӄоракыт ӄэвыргын, мури ытлык рыткын.","Ӄоракыт ӄэвыргын ынэн, гымнан ӄытрын.",Мыттуркын Ӄоракыт ӄэвыргын?
Ӄытрын вэтлыӈы,Stative verb + temporal noun phrase; fixed descriptive clause.,To wait in vain for something unlikely.,To expect something that will not happen.,B1,"Daily speech, humor, disappointment contexts.","Colloquial, ironic.",Derived from imagery of watching endless tundra winds without result.,[qɨtˈrɨn wɛtˈlɨŋɨ],"Гымнан Ӄытрын вэтлыӈы, проект ынэн.","Ӄытрын вэтлыӈы гыт, этлыӈ рыткын.","Мури Ӄытрын вэтлыӈы, ытлык ымыӈы."
Ӄэйвылгын тылгыткуркын,Noun + causative verb form (Valency: causative).,To encourage someone warmly.,To support or motivate someone.,B2,"Family advice, education, leadership.","Supportive, positive, semi-formal.",Heart imagery linked to courage in reindeer-herding traditions.,[qəjˈwɨlɣɨn tɨlɣɨtˈkurkɨn],Гымнан Ӄэйвылгын тылгыткуркын мури.,Ӄорак Ӄэйвылгын тылгыткуркын гыт.,Мури Ӄэйвылгын тылгыткуркын ынэн.
Ӄорак ӄылягын,Noun + dynamic verb; metaphorical activity expression.,To exaggerate beyond reason.,To overstate something.,B2,"Humor, storytelling, debates.","Colloquial, humorous.",Linked to hunting tales where exaggeration was common entertainment.,[qorak qɨˈljaɣɨn],"Гыт Ӄорак ӄылягын, мури рыткын.","Ӄорак ӄылягын ынэн, гымнан ӄытрын.",Мури Ӄорак ӄылягын этлыӈ.
Ӄэйвылгын ынэн,Nominal predicate construction (NOUN + existential verb).,To lose emotional strength.,To feel discouraged.,A2,"Daily life, supportive speech.","Neutral, empathetic.",Connected to traditional endurance values in Arctic survival.,[qəjˈwɨlɣɨn ɨˈnɛn],"Гымнан Ӄэйвылгын ынэн, проект ӄэвыргын.",Мури Ӄэйвылгын ынэн ынэн.,Ӄорак Ӄэйвылгын ынэн гыт.
Ӄоракыт мынгыткургын,Plural noun + iterative verb; dynamic metaphor.,To rush blindly without planning.,To act recklessly.,C1,"Workplace warnings, politics, leadership.","Critical, cautionary.",From imagery of reindeer scattering in panic.,[qorakɨt mɨŋɨtˈkurɣɨn],"Гыт Ӄоракыт мынгыткургын, гымнан ӄытрын.",Мури Ӄоракыт мынгыткургын этлыӈ.,Ӄоракыт мынгыткургын ынэн.
Ӄэйвылгын рыткын,Noun + present verb; idiomatic active clause.,To speak sincerely from the heart.,To speak honestly.,B1,"Public speaking, family conversations.","Sincere, respectful.",Heart-centered speech valued in elder storytelling traditions.,[qəjˈwɨlɣɨn rɨtˈkɨn],Гымнан Ӄэйвылгын рыткын.,Ӄорак Ӄэйвылгын рыткын гыт.,Мури Ӄэйвылгын рыткын ынэн.
Ӄытрын ӄэвыргын,Stative verb + dynamic verb; metaphorical intensifier.,To worry excessively and create confusion.,To panic unnecessarily.,B2,"Daily life, sarcasm, parental advice.","Ironic, corrective.",Reflects communal disapproval of unnecessary alarm in tundra travel.,[qɨtˈrɨn qəˈvərɣɨn],"Гыт Ӄытрын ӄэвыргын, мури тыткуркын.",Мури Ӄытрын ӄэвыргын ынэн.,Ӄорак Ӄытрын ӄэвыргын.
Ӄорак вэтлыӈы тыткуркын,Noun + temporal noun + transitive verb; extended metaphorical clause.,To delay action endlessly.,To postpone repeatedly.,C2,"Formal discourse, literature, criticism.","Formal, literary.",Associated with prolonged winter waiting seasons in Anadyr region.,[qorak wɛtˈlɨŋɨ tɨtˈkurkɨn],Гымнан Ӄорак вэтлыӈы тыткуркын проект.,Ӄорак вэтлыӈы тыткуркын гыт.,Мури Ӄорак вэтлыӈы тыткуркын ынэн.
