Idiom (Luxembourgish),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Luxembourgish)",First Example Sentence,Second Example Sentence,Third Example Sentence
De Bock gesprongen hunn,"Perfekt Tempus, Verbkonstruktioun mat Hëllefsverb",Eng gewëssen Entscheedung geholl oder eng Aktioun ugefaangen hunn,Eng Entscheedung treffen oder ufänken,B2,"Allgemeng Gespréich, Literatur, Famill","Colloquial, humorvoll",Bezieht sech op de Sprong vum Bock als Metapher fir e Start,[də bɔk ʃpʁuːŋən hʊn],Ech hu lo de Bock gesprongen an hunn endlech meng eegen Firma gegrënnt.,"Si wollt laang net decidéieren, mee gëschter huet si de Bock gesprongen.",No Méint voller Zweifel ass hien de Bock gesprongen an op d'Rees gaangen.
Eppes duerch d'Blumm soen,Verbfras mat Dativobjekt,"Eng Saach net direkt, mee op eng sanft Aart ausdrécken",Eng indirekt Ausso maachen,C1,"Aarbechtsplaz, Politik, Literatur","Ironic, diplomatesch",Metaphoresch Bezuch op d'Blumm als Symbol fir Zärtheet,[ˈɛpəs dʊʁç ˈbluːm ˈzoːən],"Si huet him duerch d'Blumm gesot, datt seng Iddi net esou gutt war.","D'Cheffin huet duerch d'Blumm drop higewisen, datt mir méi effizient musse schaffen.",Ech soen et dir duerch d'Blumm: Dësen Outfit ass net ganz gelongen.
Kapp an d'Sand stiechen,"Reflexiv Konstruktioun, Bildhafte Verbfras",Problemer ignoréieren oder sech engem Problem net stelle wëllen,Eng Situatioun verdrängen oder ignoréieren,B1,"Famill, Schoul, Diskussiounen",Colloquial,"Ofgeleet vum mythesche Bild vum Strauss, deen säi Kapp am Sand verstoppt",[kap ɑn ˈsant ˈʃtiːçən],Du kanns net einfach de Kapp an d'Sand stiechen wann et ëm d'Scholden geet.,Hien huet nees de Kapp an d'Sand gestach amplaz d'Wourecht unzeerkennen.,D'Kand stécht de Kapp an d'Sand soubal et ëm d'Examen geet.
Net all Ried muss Gold sinn,"Negatioun, konditional Satzstruktur",Net all Ausso oder Meenung ass wäertvoll oder richteg,Net alles wat gesot gëtt ass wichteg oder korrekt,B2,"Debatten, Medien, Educatioun","Formal, moralesch",Ofgeleet vum Spréchwuert „Net alles wat glänzt ass Gold“,[nət ɑl ʁiːt mʊs gɔlt zɪn],Net all Ried muss Gold sinn – heiansdo gëtt einfach domm geschnëss.,"Ech lauschtere gär, mee net all Ried muss Gold sinn.","D'Kritik war haart, mee net all Ried muss Gold sinn."
Laachen wéi e klenge Bouf op Chrëschtdag,Simile Konstruktioun mat Temporalbezuch,Grouss Freed weisen,Ganz frou sinn,A2,"Famill, Festlechkeeten, Alldag","Poetesch, familiär",Referenz op d'Freed vun engem Kand op Chrëschtdag,[ˈlaːχən veː ə ˈkləŋə buːf ɔf ˈkʁəʃtdaːk],D'Kand huet gelaacht wéi e klenge Bouf op Chrëschtdag wéi et d'Kaddoen gesinn huet.,Hatt laacht wéi e klenge Bouf op Chrëschtdag wann hatt säi Léifsten gesäit.,Hien huet sech gefreet a gelaacht wéi e Bouf op Chrëschtdag.
D'Kaz aus dem Sak loossen,Verbfras mat Dativobjekt,Eng Geheimnis verroden,Eppes verroden oder ausplappen,B1,"Allgemeng Gespréich, Famill, Medien",Colloquial,"Bezitt sech op en ale Maarttrick, wou d'Kaz amplaz vum Schwäin am Sak verkaaft gouf",[dkats ɑʊs dem zak ˈloːsən],"Wéi hien dat gesot huet, huet hien d'Kaz aus dem Sak gelooss.","Ech wollt nach näischt verroden, mee ech hu leider d'Kaz aus dem Sak gelooss.",Si huet d'Kaz aus dem Sak gelooss a jiddereen huet et gewosst.
Wéi d'Mourekes bei d'Läffelen,Simile Konstruktioun,Eng Persoun oder Situatioun passt perfekt,Et passt ganz gutt zesummen,B2,"Alldag, Literatur, Humor","Poetesch, humorvoll","D'Mourekes bezitt sech op e klenge Mënsch oder Déier, déi sech bequem fillt",[veː dmʊʁəkəs bai dlɛfələn],Si passt wéi d'Mourekes bei d'Läffelen an déi nei Aarbechtsplaz.,Hien huet sech do gefillt wéi d'Mourekes bei d'Läffelen.,D'Relatioun passt wéi d'Mourekes bei d'Läffelen – einfach perfekt.
Fir d'Kaz hire Schied fäerten,Prepositiounssaz mat possessiver Konstruktioun,Onnéideg Angscht hunn,Eng irrational Angscht hunn,C1,"Famill, Humor, Ironic","Ironesch, humorvoll",D'Kaz hirem Schied als Metapher fir eppes Harmloses,[fiʁ dkats hiʁə ʃeːt ˈfɛːʁtən],Du hues wierklech fir d'Kaz hire Schied gefaart – do war näischt Geféierleches.,"Fir d'Kaz hire Schied ze fäerten weist, wéi nervös du bass.",Hien huet Angscht viru virun allem – fir d'Kaz hire Schied eben!
Hien ass net méi ze gebrauchen,Negatioun mat Passivähnlecher Strukture,Eng Persoun oder Saach ass net méi funktionell oder nëtzlech,Net méi tauglech oder effikass,B2,"Aarbecht, Technik, Ironie","Colloquial, ironesch",Bezug op Notzen a Wäert vu Saachen/Mënschen,[hiən ɑs nət meː tsə gəˈbʁɑʊ̯xən],"Déi Maschinn ass esou al, si ass net méi ze gebrauchen.",No deem Accident ass säi Vëlo net méi ze gebrauchen.,"Wann hien esou weider mécht, ass hien geschwënn net méi ze gebrauchen."
Mat der Dier an d’Haus falen,"Verbfras, bildlech Ausdrock",Onerwaart direkt oder rücksichtslos mat engem Thema ufänken,Eng Saach ouni Virbereedung uschwätzen,B2,"Diskussiounen, Aarbecht, Humor","Ironesch, direkt",Bildhafte Metapher vum abrupten Entrée,[mat dɛʁ diːɐ ɑn tsaʊs ˈfaːlən],Du fälls direkt mat der Dier an d’Haus – e bësse Taktik wier net schlecht.,Si huet mat der Dier an d’Haus gefall a seng Feelere virgeworf.,"Ech wëll net mat der Dier an d’Haus falen, mee mer mussen eppes klären."
