Idiom (Tsotsitaal),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tsotsitaal)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Tjo, leya nyiwa ka mafelelo!",Fixed exclamatory clause with reflexive emphasis,You're about to face serious consequences or punishment,You're going to be in serious trouble,B2,"Daily speech, warning, informal conflict","Colloquial, sarcastic","Commonly used in Gauteng townships, referencing street justice implications",[tʃoː le.ja ˈɲiwa ka ma.fe.ˈle.lo],"Tjo, leya nyiwa ka mafelelo gore o tshwere lera ka boss ya rona.",O ja di chips tsa motho? Le wena o tla nyiwa ka mafelelo.,"Banna ba kasi ba tseba gore o seke wa tshela line, o nyiwa ka mafelelo!"
Ke monate wa di gemorse.,Noun phrase with prepositional phrase,Something thrilling or chaotic in an entertaining way,This is entertaining chaos,C1,"Entertainment, humor, gossip","Colloquial, humorous",Popularized on social media as slang for chaotic drama,[ke ˈmɔ.na.te wa di ɡɛ.ˈmɔɾ.sɛ],"Bana ba Twitter ba ya hepi, ke monate wa di gemorse.","Drama e kasi? Tsek, ke monate wa di gemorse!",Di story tsa weekend di ne di le monate wa di gemorse straight.
O shapa di line tsa ko kasi.,Verb phrase with object idiom,You’re spitting authentic township wisdom or rhymes,You’re expressing deep or real knowledge from the township,C2,"Poetry, rap, deep talk, cultural pride","Poetic, informal",Common in township cyphers and kasi intellectual scenes,[ɔ ˈʃa.pa di laɪn tsa ko ˈka.si],Mfethu o shapa di line tsa ko kasi ka maatla.,Di punchline tsa gao di clean – o shapa di line tsa ko kasi.,"Ka Setswana, ka Sesotho, ka slang – ke shapa di line tsa ko kasi!"
Wa chaisa ka style ya stokvel.,Verb clause with comparative phrase,You're showing off flamboyantly like at a stokvel party,You’re flaunting stylishly,B1,"Fashion, celebration, party culture","Colloquial, ironic",Derived from township stokvel gatherings where fashion is showcased,[wa ˈtʃaɪ.sa ka ˈstaɪl ja ˈstɔk.vɛl],Wa chaisa ka style ya stokvel le di new sneaks.,"Girl o shap, mara wa chaisa ka style ya stokvel ne!","Pants tsa gao? Hhayi, wa chaisa ka style ya stokvel."
O ya hlanya ka di facebeat.,Verb clause with instrumental prepositional phrase,She’s stunning with heavy makeup; overly glam,She's excessively made-up with makeup,B2,"Beauty, fashion, gossip","Colloquial, humorous",Urban slang reflecting makeup culture in beauty salons,[ɔ ja ˈɬa.ɲa ka di ˈfeɪs.biːt],"Girl o ya hlanya ka di facebeat, nka mo tshaba.",Mara le wena o ya hlanya ka di facebeat every weekend.,"O ya mo spot, le straight – o ya hlanya ka di facebeat!"
Ba ja monate ba sa dire line.,Clause with adverbial contrast structure,They are enjoying life without working hard,They live well without putting in effort,C1,"Economic disparity, social commentary","Ironic, sarcastic",Critique of corruption or effortless privilege in township lingo,[ba dʒa mɔ.ˈna.te ba sa ˈdi.ɾɛ ˈlaɪn],Ba ja monate ba sa dire line mo parliament.,"O tsaya di short cut, ba ja monate ba sa dire line.","Banna ba thulana ka ntho, ba bang ba ja monate ba sa dire line!"
O dula ka di nyoko.,Verb phrase with locative prepositional phrase,Living lavishly or with wealth,He/she is wealthy or living comfortably,B1,"Lifestyle, financial commentary","Colloquial, informal admiration",‘Nyoko’ refers metaphorically to money or riches,[ɔ ˈdu.la ka di ˈɲɔ.kɔ],"Le yena o dula ka di nyoko, o tlo ba strong.","Tsek, wena o dula ka di nyoko, re a go bona.","Tjo, le magents o dula ka di nyoko straight!"
O jola le di quota ya spaza.,Verb clause with comitative object and quantifier,You're dating multiple partners like you’re running a business,You have many romantic partners,C2,"Romantic gossip, social satire","Colloquial, ironic",Metaphor from township business hustle (spaza shops),[ɔ ˈdʒɔ.la le di ˈkwɔ.ta ja ˈspa.za],"O jola le di quota ya spaza, wa bona.","Babe ke cheater, o jola le di quota ya spaza straight.",Gents tsa mo kasi ba jola le di quota ya spaza – playa vibes.
Ke tsena ka full tank ya stress.,First person verb phrase with metaphorical object,I’m overwhelmed with stress or pressure,I'm extremely stressed,B2,"Mental health, casual complaint, humor","Colloquial, ironic",Urban metaphor from driving or taxi culture,[ke ˈtsɛ.na ka ful ˈtaŋk ja ˈstrɛs],Wena ke tsena ka full tank ya stress straight.,Assignments tsa di due? Ke tsena ka full tank ya stress!,"Mfethu, ke nyaka off – ke tsena ka full tank ya stress le di clients."
O phapha ka lips tsa ntate.,Verb clause with ironic object phrase,You're speaking out of turn or being cheeky,You're being disrespectfully talkative,C1,"Discipline, sarcasm, youth-adult dynamic","Sarcastic, slightly vulgar",Referencing township respect norms; ironic use of ‘ntate’,[ɔ ˈpʰa.pʰa ka lips tsa nˈta.te],O phapha ka lips tsa ntate – tima moubile!,"Ke nyaka go utlwa, mara o phapha ka lips tsa ntate!","Mos, gao hlompha – o phapha ka lips tsa ntate straight!"
