Idiom (Emerillon),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Yvy oikove nde pype,Fixed declarative clause; subject (Yvy) + intransitive verb (oikove) + locative complement (nde pype),To be deeply connected to one’s land or identity,Nde rejerovia nde yvýre,B2,"Cultural identity, heritage discussions, community gatherings","Poetic, cultural, reflective",Reflects Emerillon cosmology where land and personhood are spiritually intertwined,/ɨˈβɨ ojkoˈβe nde ˈpɨpe/,"Ale he’i: yvy oikove nde pype, ani reheja.",Ore ru omombe’u ore rehe: yvy oikove nde pype.,Oko oikuaa yvy oikove nde pype araka’eve.
Py’a guasu ogueru mbarete,Proverbial clause; noun phrase + transitive verb + object,Courage brings strength in adversity,Ere nde py’a guasu ha ere mbarete,B1,"Motivational speech, family advice, leadership","Encouraging, proverbial",Traditional moral teaching transmitted orally in village councils,/pɨʔa ɡwaˈsu oɡweˈɾu mbaˈɾete/,Ore sy he’i: py’a guasu ogueru mbarete.,Ale oikotevẽ py’a guasu ogueru mbarete ko ára.,Oko omano’ẽ py’a guasu ogueru mbarete.
Ka’a ndopytai rei,Negative declarative; noun + negated verb + adverb,Nothing grows without effort,Mba’e ndoikói mba’eapo’ỹre,B2,"Workplace, agriculture, parenting","Didactic, rural wisdom",Derived from agricultural life along the Oyapock River,/kaʔa ndopɨˈtaj ɾej/,Ore jarýi he’i ka’a ndopytai rei.,Ale oikuaa ka’a ndopytai rei tembiapo rehe.,Oko oñemoñe’ẽ ka’a ndopytai rei.
Ysyry oguata mbegue,Intransitive clause with manner adverb,Progress takes time; be patient,Eha’arõ mbegue reiko hag̃ua,A2,"Daily speech, conflict mediation","Calm, reflective",Metaphor from river flow in the Amazonian basin,/ɨsɨˈɾɨ oɡwaˈta mbeˈɡwe/,Ore ru he’i ysyry oguata mbegue.,Ale oikuaa ysyry oguata mbegue tembiapo rehe.,Oko ombohovái: ysyry oguata mbegue.
Tata ndohesarái tatáre,Negative reflexive clause; repetition for emphasis,Past actions leave consequences,Mba’e rejapo ogueru hembiapo,C1,"Politics, social commentary","Ironic, warning tone",Used historically in conflict storytelling traditions,/taˈta ndoheˈsaɾaj taˈtaɾe/,Oko he’i tata ndohesarái tatáre politika rehe.,Ale oñe’ẽ tata ndohesarái tatáre.,Ore ruvicha omombe’u tata ndohesarái tatáre.
Guyra oikuaa yvága,Simple declarative; animate subject + verb + object,Experts know their domain well,Oikuaa porã hembiapo rehe,B1,"Education, mentoring","Respectful, metaphorical",Bird imagery common in Emerillon storytelling,/ɡuˈjɾa ojkwaˈa ɨˈβaɡa/,Ale he’i guyra oikuaa yvága.,Oko omombe’u guyra oikuaa yvága mbo’epy rehe.,Ore sy omyesakã guyra oikuaa yvága.
Maino’ẽ oikove py’a rupi,Complex clause with locative metaphor,Kindness lives in the heart,Ere porã nde py’ápe,A2,"Family, spirituality","Poetic, affectionate",Reflects communal ethics and compassion norms,/majnoʔe ojkoˈβe pɨʔa ɾuˈpi/,Ore jarýi he’i maino’ẽ oikove py’a rupi.,Ale ohecha maino’ẽ oikove py’a rupi nde rehe.,Oko oñandú maino’ẽ oikove py’a rupi.
Yvyra oikuaa yvytu,Declarative with metaphorical object,Experience teaches resilience,Ohasa asy ha oikuaa mba’éichapa oiko,B2,"Coming-of-age, elder advice","Metaphorical, reflective",Forest-based imagery tied to Maroni region,/ɨβɨˈɾa ojkwaˈa ɨβɨˈtu/,Oko he’i yvyra oikuaa yvytu.,Ale oñemoarandu yvyra oikuaa yvytu.,Ore ru omombe’u yvyra oikuaa yvytu.
Eirete oikuaa ára,Declarative; animate noun + verb + temporal object,Time reveals truth,Ára ohechauka añete,C1,"Legal, reflective discourse","Proverbial, solemn",Used in storytelling about justice and reconciliation,/ejɾeˈte ojkwaˈa ˈaɾa/,Ale he’i eirete oikuaa ára.,Oko omombe’u eirete oikuaa ára.,Ore ruvicha oñe’ẽ eirete oikuaa ára.
Ko’ẽ ogueru tesape,Simple declarative; temporal noun + verb + object,Every day brings new hope,Ko’ẽrõ oúta mba’e porã,A1,"Daily encouragement, greetings","Optimistic, poetic",Morning symbolism central in village routines,/koʔe oɡweˈɾu tesaˈpe/,Ore sy he’i ko’ẽ ogueru tesape.,Ale omombe’u ko’ẽ ogueru tesape ko’ẽrõ.,Oko oñandu ko’ẽ ogueru tesape.
