Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Avoir la frite,Verbal phrase with indefinite direct object,"Être en pleine forme, avoir beaucoup d’énergie",Être très en forme,B1,"Daily speech, informal settings, workplace","Colloquial, humorous","Expression populaire, liée à la Belgique et largement utilisée en Suisse romande",[a.vwaʁ la fʁit],"Ce matin, j’ai la frite ! Je vais courir avant le boulot.","Elle avait la frite pendant la réunion, super dynamique.","Malgré la fatigue, il avait encore la frite pour aller danser."
C’est la Bérézina,Fixed nominal phrase with demonstrative subject,C’est un désastre total,C’est un échec complet,C1,"Politics, workplace, education, sarcasm","Ironic, literary, formal","Référence à la bataille de la Bérézina (Napoléon, 1812)",[sɛ la be.ʁe.zi.na],"Avec ce bug en production, c’est la Bérézina.","L’examen ? La Bérézina, j’ai rien compris.","Quand il a vu les résultats, il a murmuré : 'C’est la Bérézina.'"
Faire la vaisselle en chantant,Infinitive clause with gerund complement,"Faire une corvée avec joie, relativiser les tâches ennuyeuses",Accomplir une tâche pénible avec bonne humeur,A2,"Family, daily speech, encouragement","Colloquial, poetic","Origine domestique suisse, ancrée dans les valeurs de légèreté au quotidien",[fɛʁ la vɛ.sɛl ɑ̃ ʃɑ̃.tɑ̃],"Chez nous, on fait la vaisselle en chantant après chaque repas.","Même si t’as eu une mauvaise journée, fais la vaisselle en chantant.","Il m’a dit : 'Je fais la vaisselle en chantant, sinon je déprime.'"
Tourner autour du pot,Verbal phrase with prepositional complement,Éviter de dire directement ce qu’on pense,"Être indirect, ne pas aller droit au but",B2,"Workplace, relationships, interviews","Neutral, slightly ironic","France + Suisse romande, usage courant dans le monde francophone",[tuʁ.ne o.tuʁ dy po],Arrête de tourner autour du pot et dis-moi la vérité.,Il a tourné autour du pot pendant dix minutes avant d’avouer.,"Quand on lui parle d’engagement, il tourne autour du pot."
Tirer le diable par la queue,Verbal idiom with infinitive object,Avoir des difficultés financières,Être en situation économique difficile,B2,"Finance, social commentary, daily speech","Colloquial, idiomatic","France rurale, mais très présent dans les parlers suisses populaires",[ti.ʁe lə djabl paʁ la kø],"Depuis le début de l’année, on tire le diable par la queue.","Avec son petit salaire, il tire le diable par la queue.",Elle disait qu’elle tirait le diable par la queue pour élever ses enfants seule.
Être chocolat,Copulative verb with nominal predicate,"Se faire avoir, être dupé",Être trompé ou berné,B1,"Humor, youth speech, casual conversation","Informal, playful, ironic","Argot genevois, calqué sur l’humour des jeunes",[ɛtʁ ʃɔ.kɔ.la],J’ai attendu une heure… j’étais chocolat.,T’as cru qu’il allait venir ? T’es chocolat mon pote.,"Ils ont promis un bonus, mais on est chocolat comme d’hab."
Avoir une faim de loup,Verbal phrase with figurative nominal complement,Avoir très faim,Avoir très grand appétit,A2,"Daily life, food-related speech",Colloquial,Proverbe courant en Suisse romande,[a.vwaʁ yn fɛ̃ də lu],"Après cette rando, j’ai une faim de loup !",Il avait une faim de loup après son match.,Tous les enfants ont une faim de loup à midi.
C’est pas demain la veille,Negative construction with temporal phrase,Ce n’est pas prêt d’arriver,Cela n'arrivera probablement pas de sitôt,B2,"Politics, cynicism, workplace","Ironic, pessimistic",Tradition orale franco-suisse,[sɛ pa də.mɛ̃ la vɛj],Qu’il arrive à l’heure ? C’est pas demain la veille.,Qu’on ait un bonus ? C’est pas demain la veille.,Une réforme efficace ? C’est pas demain la veille.
Être soupe au lait,Copulative verb with idiomatic predicate,Être facilement irritable,Être très susceptible,B1,"Family, humor, emotional speech","Informal, regional",Usité en Suisse rurale et romande,[ɛtʁ sup o lɛ],"Il est soupe au lait, faut pas le titiller.",Elle est soupe au lait depuis ce matin.,T’es soupe au lait aujourd’hui ou quoi ?
Mettre de l’eau dans son vin,Infinitive clause with reflexive possessive complement,"Faire des compromis, modérer ses propos",Être conciliant,B2,"Workplace, family, negotiations","Neutral, proverbial",Tradition viticole suisse et française,[mɛtʁ də lo dɑ̃ sɔ̃ vɛ̃],Ils ont dû mettre de l’eau dans leur vin pour conclure le contrat.,"Si on veut avancer, faudra mettre de l’eau dans son vin.",Il a mis de l’eau dans son vin après leur dispute.
