Idiom (Sinhala),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sinhala)",First Example Sentence,Second Example Sentence,Third Example Sentence
ගොන් වැට උඩ ගියවා වගේ,අනුපිළිවෙලකින් යුතු ක්‍රියා විශේෂණ වාක්‍ය,අනිසි ලෙස විශේෂිත තැනක සිටීම,ඔහු/ඇය අයෙකු ලෙස නොගැලපෙන තැනක සිටී,C1,"දෛනික කතාබස්, විහිළු","විහිළුමය, සාමාන්‍ය",ගොවිතැනේ භාවිතවූ පැරණි ප්‍රබන්ධයකට සම්බන්ධ,ɡon væʈə uɖə ɡijavā vaɡe,ඔයා ඒ සාකච්ඡාවට දායක වුණා කියලා හිතෙන්නෙ ගොන් වැට උඩ ගියවා වගේ.,ඇය ව්‍යාපාරික මණ්ඩලයේ සිටියි කියලා නම් ගොන් වැට උඩ යන එකක්.,මම ඔය තැනට ගියාම හැමෝම බලන්නෙ ගොන් වැට උඩ ගිය කෙනෙකුට වගේ.
කටට හිත නෑ,අභ්‍යන්තර ක්‍රියාවක් දක්වන ශබ්දනාට්‍යමය වාක්‍ය,සැබෑ අදහස නොකියා සිටීම,ඔහු/ඇය තමන්ගේ අදහස ප්‍රකාශ නොකරයි,B2,"දෛනික කතා, පවුලේ තත්ව","සාමාන්‍ය, කවියාවන්ත",පැරණි විශේෂණ ක්‍රමයකට සම්බන්ධ වන භාෂාව,kaʈəʈə hita næ,"ඔහුට කවදාවත් කටට හිත නෑ, ඒකයි අපිට විශ්වාස කරන්න අමාරු.",කේන්ති වෙලාත් ඇයගේ කටට හිත නෑ.,ඔයාගේ කටට හිත නෑ කියන එකට මට බරපතලයි.
ගස්වලා පොල් කෑවා වගේ,උදාහරණාත්මක කාර්යක්‍රියාවක් සහිත වාක්‍ය,අනෙකුගේ උත්සාහය භාවිත කරලා ප්‍රතිඵල ලබා ගැනීම,වෙනෙකුගේ මහන්සියෙන් ලාභ ලබාගැනීම,C1,"දේශපාලනය, ආයතනික විවේචනය","උගතු, විකරණාත්මක",කෘෂිකර්මය සම්බන්ධ දේශීය සංකල්පයකින්,ɡasvalā pol kævɑː vaɡe,"අපිම වැඩ කරා, ඒත් ලාභය ඔයාලා ගස්වලා පොල් කෑවා වගේම ගත්තා.",මේ ව්‍යාපෘතියේ අරමුණු වෙන කෙනාගෙ ලාභයක් වුණා - ගස්වලා පොල් කෑවා වගේ.,අපේ උත්සාහය ඔහු විශේෂ වශයෙන් භාවිතා කළා - එතකොට ගස්වලා පොල් කෑවා වගේ නේද?
අස්සෙ උඩින් ගියා වගේ,ක්‍රියා විශේෂණ වාක්‍යය,දෙයක් නොතේරුනවා,ඇය/ඔහු ඒ දෙය තේරුණේ නැහැ,B1,"පාසල්, විවිධ ව්‍යාපෘති","විහිළුමය, සාමාන්‍ය",මිනිසුන්ගේ සන්සුන් නොවීම විදහා දැක්වීමේ අරමුණ,asse uɖin ɡijɑː vaɡe,ඔයා කතාව කිව්වත් මට නම් අස්සෙ උඩින් ගියා වගේ.,අද ලියුම කියවද්දි අස්සෙ උඩින් ගියා වගේ හිතුණා.,ඔහුගේ විස්තර අස්සෙ උඩින් ගියා වගේයි හැමෝම කියනවා.
"තලෙත් නැහැ, බෙත් නැහැ",විශේෂිත නාම වාක්‍යය,කිසිදු සාධාරණ හෝ සැලැස්වීමක් නොමැති තත්වය,කිසිදු මූලික හෝ සරල විසඳුමක් නොමැත,C1,"දේශපාලන විවේචන, සාහිත්‍ය","විකරණාත්මක, සාමාන්‍ය",පැරණි වෛද්‍යවෙදනාව හා ග්‍රාමීය තේරුම්,"talet næhæ, bet næhæ","මෙම ආයතනයේ තත්ත්වය දැන් තලෙත් නැහැ, බෙත් නැහැ.","අපේ පළාතේ ව්‍යාපාරය තලෙත් නැහැ, බෙත් නැහැ වගේ වෙලා.","ඔහුගේ ව්‍යායාමය දැක්කාම හිතෙන්නෙ තලෙත් නැහැ, බෙත් නැහැ කියලා."
අල්ලලා ගලවන්න බැහැ,ස්ථානයක් දැක්වූ ක්‍රියාදායක වාක්‍යය,අසීරු තත්වයකින් ගලවිය නොහැකි වීම,එම තත්වය හෝ අවස්ථාවෙන් ගැළවිය නොහැක,B2,"දෛනික ජීවිතය, පවුල, රාජකාරි","සාමාන්‍ය, විවේචනාත්මක",සිරකරුවන් පිළිබඳ පුරාණ සංකල්ප,allalā ɡalavanna bæhæ,ඔහු ඒ උවමනාවෙන් අල්ලලා ගලවන්න බැහැ.,කාර්යාලේ ව්‍යාපෘතියකින් අල්ලලා ගලවන්න බැහැ වගේ.,මේ කතාවේ ඇය අල්ලලා ගලවන්න බැරි තැනකයි.
මකුළු ජාලෙට වැටුණා වගේ,සංකීර්ණ ක්‍රියාපද වාක්‍යය,අතින් ගැලවිය නොහැකි අවාසි තත්වයකට යටත් වීම,අසීරු තත්වයකට හසු වීම,C2,"අධිකරණ, නවීන සාහිත්‍ය","උගතු, සාහිත්‍යමය",ජීව විද්‍යාත්මක විශ්ලේෂණවලින් සම්බන්ධ,makuɭu jɑːletə væʈunɑː vaɡe,ඔහු ඔහුගේම වචන වලට මකුළු ජාලෙට වැටුණා වගේ.,ඇය පාර්ලිමේන්තුවේ ප්‍රශ්නයකට මකුළු ජාලෙට වැටුණා වගේම උත්තර දුන්නා.,ඔබ එම ගිවිසුමට අත්සන් කළාම මකුළු ජාලෙට වැටුණා වගේයි.
කැටි ගැහුවා වගේ,උදාහරණාත්මක ක්‍රියාවක් සහිත වාක්‍ය,"තදින්, ස්ථිරව පවසන කීයක්",එම කාරණාව පක්ෂපාතිව හා නිශ්චිතව ප්‍රකාශ කළා,B1,"දෛනික කතාබස්, වැඩමුළු","ඉතා සාමාන්‍ය, තීරණාත්මක",දක්ෂ මුල්‍ය වාණිජ කතාන්දර වලින්,kæʈi gæhuwɑː vaɡe,ඔහු තමන්ගේ අදහස කැටි ගැහුවා වගේම කියනවා.,මම කියන එක ඒ තරම්ම නිවැරදි - කැටි ගැහුවා වගේ.,ඔයාගේ වචන කැටි ගැහුවා වගේ තීරණාත්මකයි.
අතීතයෙ ජීවත්වනවා වගේ,වාක්‍ය ප්‍රකාශකය සහිත අර්ථවත් ක්‍රියාවක්,පැරණි අනුස්මරණ සහ සංකල්ප වලින් තොරව නොසිටීම,පැරණි අතීත සිදුවීම් සහ මතකවලට සවිවී සිටීම,B2,"සාහිත්‍ය, පවුලේ සංවාද","සංවේදී, සාහිත්‍යමය",ආගමික හා පුරාණ චින්තනාවලීන්,athiːthaye jīvathvɑnɑː vaɡe,ඔයා තවම අතීතයෙ ජීවත්වනවා වගේ.,ඇයගේ හැසිරීම අතීතයෙ ජීවත්වනවා වගේ.,ඔහුගේ කථාව අහනකොට අතීතයෙ ජීවත්වනවා වගේ කියලා හිතෙනවා.
අලි ගෙදරට ගිහිල්ලා වගේ,සංසර්ග ක්‍රියාවක් සහිත විහිළුමය වාක්‍ය,හදිසි සහ බලවත් තත්වයකට මුහුණදීම,වෙරළක් වගේ තත්වයකට මුහුණ දීම,C1,"විහිළු, දෛනික ජීවිතය","විහිළුමය, විවෘත",ශ්‍රී ලංකාවේ වනජීවී වලට ආශ්‍රිත ව්‍යාජ කතා,ali ɡedərətə ɡihillɑː vaɡe,ඔයා ඔහුට එච්චර වචන කිව්වම අලි ගෙදරට ගිහිල්ලා වගේ.,අලුත්ම කාර්ය මණ්ඩලේට ගියේම අලි ගෙදරට ගිහිල්ලා වගේමයි.,අද සාකච්ඡාවට ගියම අලි ගෙදරට ගිහිල්ලා වගේම හිතෙනවා.
